
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 10, 2001 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2001
H. influenzae, Invasive cummulative for 2000
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2000
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2001
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2001
Measles (Rubeola), Total cummulative for 2001
Measles (Rubeola), Total cummulative for 2000

tab delimited data:
test
UNITED STATES	242	258	1,469	2,449	851	1,052	1	12	1	7	19	13									
NEW ENGLAND	11	22	77	64	12	18	-	3	-	1	4	-									
Maine	-	-	1	3	1	1	-	-	-	-	-	-									
N.H.	-	3	3	7	4	5	-	-	-	-	-	-									
Vt.	-	3	2	2	1	2	-	1	-	-	1	-									
Mass.	11	16	26	27	2	1	-	2	-	1	3	-									
R.I.	-	-	3	-	4	-	-	-	-	-	-	-									
Conn.	-	-	42	25	-	9	-	-	-	-	-	-									
MID. ATLANTIC	26	37	65	152	68	182	-	1	1	1	2	5									
Upstate N.Y.	10	14	30	51	16	18	-	-	1	1	1	-									
N.Y. City	8	12	27	77	44	98	-	-	-	-	-	5									
N.J.	7	9	-	6	-	8	-	-	-	-	-	-									
Pa.	1	2	8	18	8	58	-	1	-	-	1	-									
E.N. CENTRAL	27	46	167	355	123	107	-	-	-	2	2	3									
Ohio	18	14	52	80	26	23	-	-	-	-	-	2									
Ind.	5	3	5	8	3	5	-	-	-	-	-	-									
Ill.	-	17	32	149	7	2	-	-	-	2	2	-									
Mich.	2	3	78	105	87	76	-	-	-	-	-	1									
Wis.	2	9	-	13	-	1	-	-	-	-	-	-									
W.N. CENTRAL	5	9	101	211	36	67	1	3	-	-	3	-									
Minn.	-	5	3	20	1	3	-	-	-	-	-	-									
Iowa	1	-	9	23	5	10	-	-	-	-	-	-									
Mo.	3	3	29	130	23	45	1	3	-	-	3	-									
N. Dak.	-	1	-	-	-	-	-	-	-	-	-	-									
S. Dak.	-	-	1	-	1	-	-	-	-	-	-	-									
Nebr.	1	-	17	6	4	6	-	-	-	-	-	-									
Kans.	-	-	42	32	2	3	-	-	-	-	-	-									
S. ATLANTIC	92	58	246	210	164	144	-	2	-	1	3	-									
Del.	-	-	-	4	-	1	-	-	-	-	-	-									
Md.	26	21	47	30	25	31	-	2	-	1	3	-									
D.C.	-	-	7	-	2	-	-	-	-	-	-	-									
Va.	8	11	27	32	16	25	-	-	-	-	-	-									
W. Va.	3	1	-	22	1	-	-	-	-	-	-	-									
N.C.	16	5	23	52	49	55	-	-	-	-	-	-									
S.C.	1	1	9	3	-	1	-	-	-	-	-	-									
Ga.	16	16	52	26	32	2	-	-	-	-	-	-									
Fla.	22	3	81	41	39	29	-	-	-	-	-	-									
E.S. CENTRAL	12	13	54	103	63	77	-	-	-	-	-	-									
Ky.	-	8	7	5	5	10	-	-	-	-	-	-									
Tenn.	5	3	28	35	24	35	U	-	U	-	-	-									
Ala.	6	2	18	15	22	5	-	-	-	-	-	-									
Miss.	1	-	1	48	12	27	-	-	-	-	-	-									
W.S. CENTRAL	4	19	185	473	41	106	-	-	-	-	-	-									
Ark.	-	-	16	35	16	15	-	-	-	-	-	-									
La.	1	6	13	20	12	32	-	-	-	-	-	-									
Okla.	3	13	30	72	12	9	-	-	-	-	-	-									
Tex.	-	-	126	346	1	50	-	-	-	-	-	-									
MOUNTAIN	54	28	184	155	110	83	-	-	-	1	1	-									
Mont.	-	-	4	1	1	3	-	-	-	-	-	-									
Idaho	1	1	22	7	4	4	-	-	-	1	1	-									
Wyo.	-	-	1	2	-	-	-	-	-	-	-	-									
Colo.	9	9	24	38	22	23	-	-	-	-	-	-									
N. Mex.	9	9	5	20	33	24	-	-	-	-	-	-									
Ariz.	33	6	89	61	35	22	-	-	-	-	-	-									
Utah	1	2	13	12	4	3	-	-	-	-	-	-									
Nev.	1	1	26	14	11	4	-	-	-	-	-	-									
PACIFIC	11	26	390	726	234	268	-	3	-	1	4	5									
Wash.	-	2	10	33	17	7	-	-	-	-	-	2									
Oreg.	10	8	21	55	34	23	-	2	-	-	2	-									
Calif.	-	5	351	631	182	232	-	1	-	1	2	3									
Alaska	1	1	8	3	1	3	-	-	-	-	-	-									
Hawaii	-	10	-	4	-	3	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	1	8	75	9	44	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


