
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending April 1, 2006 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2006
Lyme disease cummulative for 2005
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2006
Malaria cummulative for 2005

tab delimited data:
test
UNITED STATES	62	300	1,336	1,046	1,649	8	24	59	208	276											
NEW ENGLAND	-	50	232	54	137	-	1	12	7	8											
Conn.	-	9	154	31	6	-	0	10	1	-											
Maine	-	2	26	7	9	-	0	1	-	-											
Mass.	-	18	164	1	105	-	0	4	5	6											
N.H.	-	3	17	14	15	-	0	1	-	2											
R.I.	-	0	12	-	1	-	0	2	-	-											
Vt.	-	0	5	1	1	-	0	2	1	-											
MID. ATLANTIC	57	180	915	693	1,075	-	5	15	26	69											
N.J.	-	27	309	109	362	-	0	7	-	16											
N.Y. (Upstate)	53	66	821	342	181	-	1	10	7	13											
N.Y. City	-	0	0	-	-	-	3	8	11	33											
Pa.	4	61	464	242	532	-	1	2	8	7											
E.N. CENTRAL	-	13	157	29	70	1	2	6	27	24											
Ill.	-	0	6	-	1	-	0	2	7	7											
Ind.	-	0	4	-	2	-	0	3	5	3											
Mich.	-	1	7	6	1	-	0	2	4	7											
Ohio	-	1	5	2	13	-	0	3	7	3											
Wis.	-	10	148	21	53	1	0	3	4	4											
W.N. CENTRAL	-	12	99	26	37	-	0	5	5	9											
Iowa	-	1	8	1	4	-	0	1	1	2											
Kans.	-	0	3	-	2	-	0	1	-	1											
Minn.	-	8	96	23	31	-	0	3	2	1											
Mo.	-	0	2	1	-	-	0	3	1	5											
Nebr.	-	0	2	1	-	-	0	2	-	-											
N. Dak.	-	0	0	-	-	-	0	0	-	-											
S. Dak.	-	0	1	-	-	-	0	1	1	-											
S. ATLANTIC	5	34	124	176	293	6	6	15	76	59											
Del.	-	9	37	53	104	-	0	1	-	1											
D.C.	-	0	2	5	1	-	0	2	-	1											
Fla.	1	1	8	11	9	-	1	6	10	13											
Ga.	-	0	1	-	1	4	0	6	21	9											
Md.	3	16	86	97	142	1	1	9	21	18											
N.C.	1	0	5	8	14	1	0	8	9	8											
S.C.	-	0	3	2	4	-	0	2	2	1											
Va.	-	3	21	-	18	-	0	9	12	7											
W. Va.	-	0	42	-	-	-	0	2	1	1											
E.S. CENTRAL	-	0	4	-	5	-	1	2	5	6											
Ala.	-	0	1	-	-	-	0	1	2	1											
Ky.	-	0	1	-	1	-	0	2	1	2											
Miss.	-	0	0	-	-	-	0	0	-	-											
Tenn.	-	0	4	-	4	-	0	2	2	3											
W.S. CENTRAL	-	1	7	1	15	-	1	16	7	30											
Ark.	-	0	2	-	-	-	0	2	-	2											
La.	-	0	1	-	2	-	0	1	-	1											
Okla.	-	0	0	-	-	-	0	6	1	2											
Tex.	-	1	7	1	13	-	1	15	6	25											
MOUNTAIN	-	0	4	2	1	-	1	6	13	14											
Ariz.	-	0	4	2	-	-	0	4	1	2											
Colo.	-	0	1	-	-	-	0	3	4	7											
Idaho	-	0	1	-	-	-	0	0	-	-											
Mont.	-	0	0	-	-	-	0	1	1	-											
Nev.	-	0	2	-	-	-	0	2	-	-											
N. Mex.	-	0	1	-	-	-	0	1	-	1											
Utah	-	0	1	-	-	-	0	2	7	3											
Wyo.	-	0	1	-	1	-	0	1	-	1											
PACIFIC	-	4	18	65	16	1	4	12	42	57											
Alaska	-	0	1	-	1	1	0	1	3	2											
Calif.	-	2	18	65	14	-	3	10	31	47											
Hawaii	N	0	0	N	N	-	0	4	-	4											
Oreg.	-	0	3	-	1	-	0	2	4	2											
Wash.	-	0	3	-	-	-	0	5	4	2											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	-	0	1	-	-											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


