
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending May 29, 1999 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis NETSS cummulative for 1999
Shigellosis NETSS cummulative for 1998
Shigellosis PHLIS cummulative for 1999
Shigellosis PHLIS cummulative for 1998
Syphilis (Primary and Secondary) cummulative for 1999
Syphilis (Primary and Secondary) cummulative for 1998
Tuberculosis cummulative for 1999
Tuberculosis cummulative for 1998

tab delimited data:
test
UNITED STATES	4,481	6,504	1,575	2,835	2,501	2,807	2,087	3,298													
NEW ENGLAND	113	178	99	164	26	30	124	165													
Maine	2	4	-	-	-	1	6	3													
N.H.	7	6	5	6	-	1	1	2													
Vt.	4	3	3	-	1	2	-	1													
Mass.	62	111	57	111	16	20	59	92													
R.I.	12	13	9	12	1	-	16	18													
Conn.	26	41	25	35	8	6	42	49													
MID. ATLANTIC	335	1,026	154	913	103	117	768	855													
Upstate N.Y.	83	195	25	61	15	16	119	113													
N.Y. City	90	316	73	367	44	22	482	528													
N.J.	103	351	56	342	12	43	167	214													
Pa.	59	164	-	143	32	36	U	U													
E.N. CENTRAL	693	1,039	254	198	502	401	135	176													
Ohio	234	262	14	61	37	67	U	U													
Ind.	31	72	8	20	136	76	U	U													
Ill.	259	528	172	98	259	154	U	U													
Mich.	129	104	45	4	70	72	101	132													
Wis.	40	73	15	15	U	32	34	44													
W.N. CENTRAL	281	326	201	150	16	68	180	149													
Minn.	40	69	34	71	5	5	76	49													
Iowa	5	19	3	19	4	-	14	2													
Mo.	201	41	150	26	U	50	70	64													
N. Dak.	2	3	-	2	-	-	1	3													
S. Dak.	8	19	4	15	-	1	3	9													
Nebr.	13	164	-	9	4	4	6	5													
Kans.	12	11	10	8	3	8	10	17													
S. ATLANTIC	869	1,121	172	406	829	1,129	376	595													
Del.	5	6	2	1	4	12	-	8													
Md.	50	84	9	23	171	307	U	U													
D.C.	25	9	-	-	14	31	19	45													
Va.	29	54	5	22	65	72	83	118													
W. Va.	4	6	2	4	2	2	19	21													
N.C.	77	109	39	64	220	317	152	293													
S.C.	40	59	15	25	104	138	103	110													
Ga.	83	238	27	88	128	123	U	U													
Fla.	556	556	73	179	121	127	U	U													
E.S. CENTRAL	436	366	191	210	478	466	181	247													
Ky.	40	70	-	38	43	47	U	U													
Tenn.	313	58	171	67	260	227	U	U													
Ala.	46	211	19	103	115	101	125	152													
Miss.	37	27	1	2	60	91	56	95													
W.S. CENTRAL	668	1,136	299	438	359	355	113	834													
Ark.	41	55	21	14	27	52	61	41													
La.	62	71	29	120	102	111	U	U													
Okla.	187	76	60	30	89	20	52	46													
Tex.	378	934	189	274	141	172	U	747													
MOUNTAIN	277	436	120	245	83	93	61	93													
Mont.	6	1	-	1	-	-	5	12													
Idaho	5	10	3	6	-	-	-	4													
Wyo.	2	-	1	-	-	-	1	2													
Colo.	47	60	33	45	1	4	U	U													
N. Mex.	35	87	13	36	-	10	22	25													
Ariz.	148	252	64	141	78	71	U	U													
Utah	19	11	-	9	2	3	18	21													
Nev.	15	15	6	7	2	5	15	29													
PACIFIC	809	876	85	111	105	148	149	184													
Wash.	38	47	40	47	28	7	58	98													
Oreg.	25	50	26	44	1	1	U	U													
Calif.	725	761	-	-	73	140	U	U													
Alaska	-	3	-	2	1	-	28	18													
Hawaii	21	15	19	18	2	-	63	68													
Guam	-	19	-	-	-	-	-	37													
P.R.	17	24	-	-	78	98	41	46													
V.I.	-	-	-	-	U	U	U	U													
Amer. Samoa	-	-	-	-	U	U	U	U													
C.N.M.I.	-	10	-	-	-	98	-	54													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


