
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending November 24, 2007 (WEEK 47)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	49	171	1,479	7,809	12,834	14	100	187	5,015	5,158	2	32	211	1,835	1,996						
NEW ENGLAND	-	27	77	1,184	1,670	1	11	22	531	451	-	0	10	5	11						
Conn.	-	1	5	59	113	-	4	10	208	195	-	0	0	-	-						
Maine	-	1	13	74	136	-	2	5	79	117	-	0	1	1	N						
Mass.	-	22	39	928	1,062	-	0	0	-	N	-	0	1	4	10						
N.H.	-	1	6	52	207	-	1	4	51	45	-	0	0	-	1						
R.I.	-	0	31	24	50	-	0	4	37	30	-	0	9	-	-						
Vt.	-	0	9	47	102	1	3	13	156	64	-	0	0	-	-						
MID. ATLANTIC	4	22	155	1,025	1,689	-	25	56	1,321	500	-	1	6	60	85						
N.J.	-	3	11	139	273	N	0	0	N	N	-	0	2	9	38						
N.Y. (Upstate)	4	11	146	510	768	-	11	20	482	N	-	0	1	3	-						
N.Y. City	-	2	6	105	98	-	1	5	42	36	-	0	3	26	23						
Pa.	-	6	15	271	550	-	15	44	797	464	-	0	3	22	24						
E.N. CENTRAL	2	28	79	1,235	2,069	-	4	48	380	161	-	1	4	41	63						
Ill.	-	3	23	133	528	-	1	15	113	46	-	0	3	24	26						
Ind.	-	0	45	52	213	-	0	1	12	11	-	0	2	4	6						
Mich.	2	6	17	257	571	-	1	27	179	46	-	0	1	3	4						
Ohio	-	12	54	594	548	-	0	11	76	58	-	0	2	10	26						
Wis.	-	3	24	199	209	N	0	0	N	N	-	0	0	-	1						
W.N. CENTRAL	6	13	151	659	1,167	-	5	13	245	293	-	5	33	382	192						
Iowa	-	2	16	124	300	-	0	3	31	57	-	0	4	14	5						
Kans.	-	3	12	122	280	-	2	7	101	73	-	0	1	1	1						
Minn.	-	0	119	210	161	-	0	5	32	38	-	0	1	1	3						
Mo.	3	1	9	76	290	-	0	3	39	64	-	4	27	348	158						
Nebr.	3	1	12	63	91	-	0	0	-	-	-	0	2	14	25						
N. Dak.	-	0	18	8	25	-	0	6	21	24	-	0	0	-	-						
S. Dak.	-	1	7	56	20	-	0	2	21	37	-	0	1	4	-						
S. ATLANTIC	3	16	163	845	1,017	9	40	76	1,906	2,150	-	14	112	887	1,124						
Del.	-	0	2	11	3	-	0	0	-	-	-	0	2	14	21						
