
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending November 9, 2002 (WEEK 45)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	15,952	16,856	3,549	3,204	2,020	2,250	226	371													
NEW ENGLAND	287	276	167	197	17	112	3	40													
Maine	10	6	20	10	-	-	-	-													
N.H.	11	6	35	N	-	-	N	N													
Vt.	1	7	9	14	5	7	2	1													
Mass.	171	195	88	59	N	N	N	N													
R.I.	16	17	15	12	12	4	1	3													
Conn.	78	45	-	102	-	101	-	36													
MID. ATLANTIC	1,169	1,356	568	593	97	143	59	96													
Upstate N.Y.	270	435	261	236	81	136	58	96													
N.Y. City	355	374	133	157	U	U	U	U													
N.J.	332	252	118	124	N	N	N	N													
Pa.	212	295	56	76	16	7	1	-													
E.N. CENTRAL	1,577	3,918	646	714	199	161	99	115													
Ohio	570	2,613	190	181	53	1	19	-													
Ind.	89	198	45	56	141	160	55	54													
Ill.	611	545	145	231	2	-	-	61													
Mich.	162	279	266	195	3	-	N	N													
Wis.	145	283	-	51	N	N	25	-													
W.N. CENTRAL	909	1,728	214	337	414	137	49	54													
Minn.	201	387	108	156	292	63	49	45													
Iowa	115	340	-	-	N	N	N	N													
Mo.	166	286	42	69	5	9	-	-													
N. Dak.	16	21	-	17	1	6	-	9													
S. Dak.	150	543	13	11	1	4	-	-													
Nebr.	179	84	18	36	29	19	N	N													
Kans.	82	67	33	48	86	36	N	N													
S. ATLANTIC	5,892	2,396	716	529	1,067	1,187	7	5													
Del.	275	14	2	4	3	6	N	N													
Md.	1,024	137	123	N	N	N	N	N													
D.C.	53	52	7	21	48	5	1	3													
Va.	870	336	68	70	N	N	N	N													
W. Va.	9	8	19	19	39	37	6	2													
N.C.	396	312	112	134	N	N	U	U													
S.C.	106	237	34	10	169	243	N	N													
Ga.	1,350	449	153	166	268	370	N	N													
Fla.	1,809	851	198	105	540	526	N	N													
E.S. CENTRAL	1,261	1,516	103	107	119	216	-	-													
Ky.	157	717	18	35	17	24	N	N													
Tenn.	93	91	85	72	102	191	N	N													
Ala.	699	189	-	-	-	1	N	N													
Miss.	312	519	-	-	-	-	-	-													
W.S. CENTRAL	1,523	2,600	100	292	67	253	5	61													
Ark.	164	532	6	-	6	15	-	-													
La.	372	218	-	1	61	238	2	61													
Okla.	518	76	41	39	N	N	3	-													
Tex.	469	1,774	53	252	N	N	-	-													
MOUNTAIN	806	864	514	361	40	37	4	-													
Mont.	3	8	-	-	-	-	-	-													
Idaho	15	39	9	7	N	N	N	N													
Wyo.	9	7	7	11	9	7	-	-													
Colo.	163	223	132	139	-	-	-	-													
N. Mex.	192	112	95	75	30	28	-	-													
Ariz.	346	354	241	126	-	-	N	N													
Utah	33	52	30	3	-	-	4	-													
Nev.	45	69	-	-	1	2	-	-													
PACIFIC	2,528	2,202	521	74	-	4	-	-													
Wash.	145	186	65	-	-	-	N	N													
Oreg.	103	98	N	N	N	N	N	N													
Calif.	2,213	1,857	364	-	N	N	N	N													
Alaska	6	6	-	-	-	-	N	N													
Hawaii	61	55	92	74	-	4	-	-													
Guam	-	45	-	1	-	-	-	-													
P.R.	8	16	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	17	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


