
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending February 8, 2003 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Hepatitis (Viral Acute), Type A cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2002

tab delimited data:
test
UNITED STATES	116	190	2	-	15	30	1	1	443	1,032											
NEW ENGLAND	14	14	-	-	-	3	-	-	15	51											
Maine	-	1	-	-	-	-	-	-	1	1											
N.H.	3	-	-	-	-	-	-	-	-	1											
Vt.	4	-	-	-	-	-	-	-	1	-											
Mass.	5	9	-	-	-	2	-	-	11	28											
R.I.	-	-	-	-	-	-	-	-	-	2											
Conn.	2	4	-	-	-	1	-	-	2	19											
MID. ATLANTIC	9	35	-	-	3	3	-	-	67	100											
Upstate N.Y.	3	14	-	-	1	2	-	-	5	9											
N.Y. City	5	11	-	-	2	1	-	-	62	27											
N.J.	1	7	-	-	-	-	-	-	-	27											
Pa.	-	3	-	-	-	-	-	-	-	37											
E.N. CENTRAL	9	38	1	-	2	6	-	-	60	129											
Ohio	5	20	-	-	2	3	-	-	21	28											
Ind.	1	3	-	-	-	1	-	-	2	1											
Ill.	-	14	-	-	-	2	-	-	10	57											
Mich.	3	1	1	-	-	-	-	-	24	27											
Wis.	-	-	-	-	-	-	-	-	3	16											
W.N. CENTRAL	9	3	-	-	1	-	1	1	17	43											
Minn.	4	-	-	-	-	-	-	-	1	-											
Iowa	-	1	-	-	-	-	-	-	7	11											
Mo.	3	2	-	-	-	-	1	1	3	10											
N. Dak.	-	-	-	-	-	-	-	-	1	-											
S. Dak.	-	-	-	-	-	-	-	-	-	1											
Nebr.	-	-	-	-	-	-	-	-	1	1											
Kans.	2	-	-	-	1	-	-	-	4	20											
S. ATLANTIC	28	50	-	-	2	9	-	-	153	256											
Del.	-	-	-	-	-	-	-	-	1	2											
Md.	8	16	-	-	1	-	-	-	21	53											
D.C.	-	-	-	-	-	-	-	-	-	10											
Va.	1	3	-	-	-	1	-	-	1	5											
W. Va.	-	-	-	-	-	-	-	-	2	1											
N.C.	2	3	-	-	-	-	-	-	5	31											
S.C.	1	-	-	-	-	-	-	-	6	5											
Ga.	4	18	-	-	-	4	-	-	63	35											
Fla.	12	10	-	-	1	4	-	-	54	114											
E.S. CENTRAL	13	2	-	-	3	1	-	-	13	46											
Ky.	1	-	-	-	-	-	-	-	2	7											
Tenn.	5	1	-	-	2	-	-	-	8	16											
Ala.	7	1	-	-	1	1	-	-	3	5											
Miss.	-	-	-	-	-	-	-	-	-	18											
W.S. CENTRAL	8	4	-	-	1	1	-	-	6	108											
Ark.	1	-	-	-	-	-	-	-	-	4											
La.	2	-	-	-	-	-	-	-	3	4											
Okla.	5	4	-	-	1	1	-	-	3	6											
Tex.	-	-	-	-	-	-	-	-	-	94											
MOUNTAIN	20	24	1	-	2	3	-	-	28	50											
Mont.	-	-	-	-	-	-	-	-	-	2											
Idaho	-	-	-	-	-	-	-	-	-	5											
Wyo.	-	-	-	-	-	-	-	-	-	2											
Colo.	3	4	-	-	-	-	-	-	4	12											
N. Mex.	2	5	-	-	-	1	-	-	-	3											
Ariz.	11	12	1	-	1	2	-	-	17	11											
Utah	3	3	-	-	1	-	-	-	4	5											
Nev.	1	-	-	-	-	-	-	-	3	10											
PACIFIC	6	20	-	-	1	4	-	-	84	249											
Wash.	-	-	-	-	-	-	-	-	2	7											
Oreg.	4	12	-	-	1	1	-	-	12	20											
Calif.	-	2	-	-	-	2	-	-	67	222											
Alaska	-	1	-	-	-	1	-	-	1	-											
Hawaii	2	5	-	-	-	-	-	-	2	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	-	6											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


