
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 14, 2004 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	95	146	15	38	11	17	1,254	2,729	25,248	37,378											
NEW ENGLAND	2	8	1	-	2	1	82	97	600	908											
Maine	-	-	-	-	-	-	13	12	17	15											
N.H.	-	2	-	-	-	-	-	5	-	15											
Vt.	-	-	-	-	-	-	5	9	4	14											
Mass.	-	3	-	-	2	1	61	67	417	361											
R.I.	-	-	-	-	-	-	3	4	116	121											
Conn.	2	3	1	-	-	-	-	-	46	382											
MID. ATLANTIC	8	13	-	-	2	2	257	339	3,054	5,212											
Upstate N.Y.	2	2	-	-	1	-	68	49	651	601											
N.Y. City	2	1	-	-	-	-	79	136	1,055	1,633											
N.J.	-	3	-	-	1	-	19	53	493	1,214											
Pa.	4	7	-	-	-	2	91	101	855	1,764											
E.N. CENTRAL	22	28	2	2	1	1	175	328	3,833	8,600											
Ohio	11	4	-	-	1	1	95	112	353	2,632											
Ind.	2	1	-	-	-	-	-	-	565	806											
Ill.	1	6	-	-	-	-	13	96	892	2,721											
Mich.	5	6	-	-	-	-	50	81	1,656	1,718											
Wis.	3	11	2	2	-	-	17	39	367	723											
W.N. CENTRAL	14	15	4	3	6	2	99	179	1,188	1,877											
Minn.	6	7	-	3	-	-	26	33	89	351											
Iowa	-	1	-	-	-	-	22	30	-	41											
Mo.	5	3	4	-	1	-	32	66	639	1,032											
N. Dak.	-	-	-	-	3	1	2	4	4	4											
S. Dak.	-	1	-	-	-	-	4	7	23	15											
Nebr.	1	3	-	-	-	-	5	19	123	120											
Kans.	2	-	-	-	2	1	8	20	310	314											
S. ATLANTIC	6	49	5	28	-	10	214	1,302	5,613	8,054											
Del.	-	-	N	N	N	N	6	6	122	169											
Md.	2	-	-	-	-	-	12	14	941	940											
D.C.	-	-	-	-	-	-	4	-	186	316											
Va.	-	1	1	-	-	-	22	13	374	761											
W. Va.	-	-	-	-	-	-	1	-	100	95											
N.C.	-	-	3	3	-	-	N	N	1,144	1,639											
S.C.	-	-	-	-	-	-	1	4	917	753											
Ga.	1	1	-	-	-	-	55	130	246	1,342											
Fla.	3	47	1	25	-	10	113	1,135	1,583	2,039											
E.S. CENTRAL	2	6	1	-	-	-	21	37	2,510	3,254											
Ky.	-	-	1	-	-	-	N	N	272	445											
Tenn.	-	4	-	-	-	-	12	16	801	914											
Ala.	1	2	-	-	-	-	9	21	753	1,114											
Miss.	1	-	-	-	-	-	-	-	684	781											
W.S. CENTRAL	2	4	-	2	-	1	29	22	4,522	4,871											
Ark.	-	1	-	-	-	-	15	15	381	449											
La.	-	-	-	-	-	-	3	-	1,658	1,155											
Okla.	2	-	-	-	-	-	11	7	390	348											
Tex.	-	3	-	2	-	1	-	-	2,093	2,919											
MOUNTAIN	19	7	1	2	-	-	139	137	1,029	1,270											
Mont.	1	-	-	-	-	-	5	2	8	18											
Idaho	2	3	-	1	-	-	22	21	9	8											
Wyo.	-	-	-	-	-	-	1	3	5	8											
Colo.	5	2	1	-	-	-	25	43	261	391											
N. Mex.	-	-	-	1	-	-	3	8	4	130											
Ariz.	7	1	N	N	N	N	49	32	711	490											
Utah	2	1	-	-	-	-	25	15	31	31											
Nev.	2	-	-	-	-	-	9	13	-	194											
PACIFIC	20	16	1	1	-	-	238	288	2,899	3,332											
Wash.	3	4	-	-	-	-	20	9	331	322											
Oreg.	4	1	1	1	-	-	40	35	105	88											
Calif.	10	11	-	-	-	-	168	222	2,407	2,726											
Alaska	-	-	-	-	-	-	5	9	55	70											
Hawaii	3	-	-	-	-	-	5	13	1	126											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	6	10	5											
V.I.	-	-	-	-	-	-	-	-	-	8											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


