
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending March 17, 2007 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	74	249	768	1,318	2,961	19	107	173	567	980	4	29	118	72	261						
NEW ENGLAND	1	21	53	46	318	7	11	26	83	88	-	0	1	-	-						
Conn.	-	1	9	-	18	3	4	14	38	23	-	0	0	-	-						
Maine	1	2	14	24	19	-	2	8	15	13	N	0	0	N	N						
Mass.	-	1	28	-	241	-	1	17	-	36	-	0	1	-	-						
N.H.	-	2	27	7	2	-	1	5	8	2	-	0	1	-	-						
R.I.	-	0	17	-	11	2	0	3	6	2	-	0	1	-	-						
Vt.	-	1	14	15	27	2	2	5	16	12	-	0	0	-	-						
MID. ATLANTIC	8	36	156	286	354	1	17	57	72	143	-	1	6	8	10						
N.J.	-	4	11	9	92	-	0	0	-	-	-	0	1	-	2						
N.Y. (Upstate)	4	21	150	200	88	-	0	0	-	-	-	0	2	-	-						
N.Y. City	-	0	8	-	19	1	1	5	16	-	-	0	3	1	2						
Pa.	4	10	25	77	155	-	16	56	56	143	-	1	4	7	6						
E.N. CENTRAL	24	41	78	299	464	-	2	18	1	4	-	1	6	1	3						
Ill.	-	10	23	35	115	-	0	7	-	1	-	0	4	-	1						
Ind.	1	3	34	2	30	-	0	2	-	-	-	0	1	-	-						
