
TABLE I.  Provisional cases of infrequently reported notifiable diseases (<1,000 cases reported during the preceding year), United States, week ending February 9, 2008 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Disease
Current week
Cummulative for 2008
5-year weekly average†
Total cases reported for year 2007
Total cases reported for year 2006
Total cases reported for year 2005
Total cases reported for year 2004
Total cases reported for year 2003
States reporting cases during current week (No.)

tab delimited data:
test
Anthrax	-	-	0	-	1	-	-	-		
Botulism:										
foodborne	-	1	0	20	20	19	16	20		
infant	-	5	2	84	97	85	87	76		
other(wound & unspecified)	-	-	1	24	48	31	30	33		
Brucellosis	-	3	2	126	121	120	114	104		
Chancroid	-	3	1	31	33	17	30	54		
Cholera	-	-	0	7	9	8	6	2		
Cyclosporiasis §	-	2	1	99	137	543	160	75		
Diphtheria	-	-	-	-	-	-	-	1		
Domestic arboviral diseases §, ¶ :										
California serogroup	-	-	-	44	67	80	112	108		
eastern equine	-	-	-	4	8	21	6	14		
Powassan	-	-	-	1	1	1	1	-		
St. Louis	-	-	-	7	10	13	12	41		
western equine	-	-	-	-	-	-	-	-		
Ehrlichiosis/Anaplasmosis §,**:										
Ehrlichia chaffeensis	-	-	-	N	N	N	N	N		
Ehrlichia ewingii	-	-	-	N	N	N	N	N		
Anaplasma phagocytophilum	-	-	-	N	N	N	N	N		
undetermined	-	-	-	N	N	N	N	N		
Haemophilus influenzae ††, invasive disease (age &lt;5 yrs):										
serotype B	1	3	0	21	29	9	19	32	MN (1 )	
nonserotype B	-	14	3	167	175	135	135	117		
unknown serotype	3	21	5	188	179	217	177	227	PA (1 ), NC (1 ), AK (1 )	
Hansen disease §	-	5	1	65	66	87	105	95		
Hantavirus pulmonary syndrome §	-	-	0	32	40	26	24	26		
Hemolytic uremic syndrome, post-diarrheal §	-	3	2	253	288	221	200	178		
Hepatitis C viral, acute	9	51	16	759	766	652	720	1,102	PA (1 ), MO (1 ), NC (5 ), OK (1 ), TX (1 )	
HIV infection, pediatric (age &lt;13 yrs) §§	-	-	5	-	-	380	436	504		
Influenza-associated pediatric mortality §, ¶¶	9	9	1	76	43	45	-	N	MS (2 ), AK (1 ), TN (1 ), NY (2 ), TX (3 )	
Listeriosis	5	42	9	762	884	896	753	696	NY (2 ), PA (1 ), MO (1 ), CA (1 )	
Measles ***	1	1	1	35	55	66	37	56	PA (1 )	
Meningococcal disease, invasive ††† :										
A,C,Y, and W-135	2	3	6	276	318	297	-	-	MN (2 )	
serogroup B	2	5	3	138	193	156	-	-	MN (2 )	
other serogroup	1	2	1	29	32	27	-	-	MN (1 )	
unknown serogroup	2	5	17	585	651	765	-	-	MN (2 )	
Mumps	4	40	10	755	6,584	314	258	231	PA (1 ), FL (1 ), MT (1 ), CA (1 )	
Novel influenza A infection virus	-	-	-	4	N	N	N	N		
Plague	-	-	-	6	17	8	3	1		
Poliomyelitis, paralytic	-	-	-	-	-	1	-	-		
Poliovirus infection, nonparalytic §	-	-	-	-	N	N	N	N		
Psittacosis §	-	-	0	10	21	16	12	12		
Q fever §,§§§:										
acute	-	-	-	-	-	-	-	-		
chronic	-	-	-	-	-	-	-	-		
Rabies, human	-	-	0	-	3	2	7	2		
Rubella ¶¶¶	-	-	0	11	11	11	10	7		
Rubella, congenital syndrome	-	-	0	-	1	1	-	1		
SARS CoV §, ****	-	-	-	-	-	-	-	8		
Smallpox §	-	-	-	-	-	-	-	-		
Streptococcal toxic-shock syndrome §	-	2	3	103	125	129	132	161		
Syphilis, congenital (age &lt;1 yr)	-	19	8	614	349	329	353	413		
Tetanus	-	-	0	23	41	27	34	20		
Toxic-shock syndrome (staphylococcal) §	1	5	2	78	101	90	95	133	ID (1 )	
Trichinellosis	-	1	0	6	15	16	5	6		
Tularemia	-	-	0	113	95	154	134	129		
Typhoid fever	1	23	5	339	353	324	322	356	VA (1 )	
