
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 10, 2004 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2004
Hepatitis (Viral Acute), Type A cummulative for 2003

tab delimited data:
test
UNITED STATES	23	13	-	-	-	-	3	2	56	56											
NEW ENGLAND	1	3	-	-	-	-	-	-	8	2											
Maine	-	-	-	-	-	-	-	-	-	-											
N.H.	-	-	-	-	-	-	-	-	-	-											
Vt.	1	-	-	-	-	-	-	-	-	-											
Mass.	-	1	-	-	-	-	-	-	7	2											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	2	-	-	-	-	-	-	1	-											
MID. ATLANTIC	7	2	-	-	-	-	-	1	11	11											
Upstate N.Y.	3	-	-	-	-	-	-	-	1	-											
N.Y. City	-	1	-	-	-	-	-	1	-	6											
N.J.	-	1	-	-	-	-	-	-	3	3											
Pa.	4	-	-	-	-	-	-	-	7	2											
E.N. CENTRAL	5	2	-	-	-	-	2	-	5	11											
Ohio	3	-	-	-	-	-	1	-	1	-											
Ind.	-	-	-	-	-	-	-	-	-	-											
Ill.	-	2	-	-	-	-	-	-	2	4											
Mich.	2	-	-	-	-	-	1	-	2	5											
Wis.	-	-	-	-	-	-	-	-	-	2											
W.N. CENTRAL	-	-	-	-	-	-	-	-	2	3											
Minn.	-	-	-	-	-	-	-	-	-	-											
Iowa	-	-	-	-	-	-	-	-	2	2											
Mo.	-	-	-	-	-	-	-	-	-	1											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	-											
Nebr.	-	-	-	-	-	-	-	-	-	-											
Kans.	-	-	-	-	-	-	-	-	-	-											
S. ATLANTIC	9	2	-	-	-	-	1	-	22	21											
Del.	-	-	-	-	-	-	-	-	-	-											
Md.	2	2	-	-	-	-	-	-	3	6											
D.C.	-	-	-	-	-	-	-	-	-	-											
Va.	-	-	-	-	-	-	-	-	-	-											
W. Va.	-	-	-	-	-	-	-	-	-	-											
N.C.	-	-	-	-	-	-	-	-	-	-											
S.C.	-	-	-	-	-	-	-	-	-	-											
Ga.	5	-	-	-	-	-	1	-	11	2											
Fla.	2	-	-	-	-	-	-	-	8	13											
E.S. CENTRAL	1	2	-	-	-	-	-	1	-	2											
Ky.	-	-	-	-	-	-	-	-	-	-											
Tenn.	1	-	-	-	-	-	-	-	-	-											
Ala.	-	2	-	-	-	-	-	1	-	1											
Miss.	-	-	-	-	-	-	-	-	-	1											
W.S. CENTRAL	-	1	-	-	-	-	-	-	-	4											
Ark.	-	-	-	-	-	-	-	-	-	-											
La.	-	1	-	-	-	-	-	-	-	-											
Okla.	-	-	-	-	-	-	-	-	-	-											
Tex.	-	-	-	-	-	-	-	-	-	4											
MOUNTAIN	-	1	-	-	-	-	-	-	1	-											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	-	-	-	-	-	-	-	-	-	-											
Wyo.	-	-	-	-	-	-	-	-	1	-											
Colo.	-	1	-	-	-	-	-	-	-	-											
N. Mex.	-	-	-	-	-	-	-	-	-	-											
Ariz.	-	-	-	-	-	-	-	-	-	-											
Utah	-	-	-	-	-	-	-	-	-	-											
Nev.	-	-	-	-	-	-	-	-	-	-											
PACIFIC	-	-	-	-	-	-	-	-	7	2											
Wash.	-	-	-	-	-	-	-	-	-	-											
Oreg.	-	-	-	-	-	-	-	-	-	2											
Calif.	-	-	-	-	-	-	-	-	7	-											
Alaska	-	-	-	-	-	-	-	-	-	-											
Hawaii	-	-	-	-	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


