
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending February 5, 2011 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis current week
Legionellosis previous 52 weeks median 
Legionellosis previous 52 weeks maximum 
Legionellosis cummulative for 2011
Legionellosis cummulative for 2010
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2011
Lyme disease cummulative for 2010
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2011
Malaria cummulative for 2010

tab delimited data:
test
UNITED STATES	21	53	116	129	208	33	397	1,673	341	1,252	10	27	80	82	122						
NEW ENGLAND	-	4	15	1	12	-	126	504	11	381	-	1	5	1	7						
Conn.	-	1	6	-	3	-	47	213	-	172	-	0	1	-	-						
Maine	-	0	4	-	-	-	12	65	5	6	-	0	1	-	-						
Mass.	-	2	10	-	6	-	41	223	-	127	-	1	4	-	7						
N.H.	-	0	5	-	1	-	24	68	4	65	-	0	2	-	-						
R.I.	-	0	4	-	1	-	1	40	-	1	-	0	1	-	-						
Vt.	-	0	2	1	1	-	4	27	2	10	-	0	1	1	-						
MID. ATLANTIC	3	14	47	31	53	17	172	738	226	580	1	7	17	20	40						
N.J.	-	1	11	-	8	-	49	220	-	166	-	0	1	-	-						
N.Y. (Upstate)	3	5	19	12	16	7	38	200	27	46	-	1	6	2	8						
N.Y. City	-	2	17	7	10	-	2	7	-	14	-	4	14	15	23						
Pa.	-	6	18	12	19	10	86	387	199	354	1	1	3	3	9						
E.N. CENTRAL	3	12	44	24	38	-	26	324	2	51	1	3	9	7	10						
Ill.	-	2	15	-	7	-	1	17	-	3	-	1	7	-	6						
Ind.	-	2	7	3	3	-	1	7	-	4	-	0	2	-	-						
Mich.	-	3	20	5	9	-	1	14	-	-	-	0	4	-	2						
Ohio	3	4	15	16	16	-	0	9	1	3	1	1	5	6	2						
Wis.	-	1	11	-	3	-	21	297	1	41	-	0	1	1	-						
W.N. CENTRAL	-	2	9	2	2	-	1	11	-	2	-	1	4	-	9						
Iowa	-	0	2	-	-	-	0	10	-	2	-	0	2	-	2						
Kans.	-	0	2	-	-	-	0	1	-	-	-	0	2	-	2						
Minn.	-	0	8	-	-	-	0	0	-	-	-	0	3	-	-						
Mo.	-	1	4	2	1	-	0	1	-	-	-	0	3	-	2						
Nebr.	-	0	2	-	1	-	0	2	-	-	-	0	1	-	3						
N. Dak.	-	0	1	-	-	-	0	5	-	-	-	0	1	-	-						
S. Dak.	-	0	2	-	-	-	0	1	-	-	-	0	2	-	-						
S. ATLANTIC	4	9	28	19	41	12	57	176	91	220	6	7	44	37	37						
Del.	-	0	3	-	3	2	10	33	20	58	-	0	1	-	-						
D.C.	-	0	4	-	-	-	0	4	-	1	-	0	2	-	-						
Fla.	3	3	9	11	16	-	2	10	4	4	2	2	7	10	15						
Ga.	-	1	4	-	4	-	0	2	-	1	1	0	6	7	2						
Md.	-	2	6	3	11	4	24	105	31	105	2	1	24	8	10						
N.C.	1	0	7	2	2	-	1	9	5	4	-	0	13	4	2						
S.C.	-	0	2	-	-	-	0	3	-	1	-	0	1	-	-						
Va.	-	1	10	3	4	6	18	82	31	44	1	1	5	8	8						
W. Va.	-	0	3	-	1	-	0	29	-	2	-	0	1	-	-						
E.S. CENTRAL	2	2	10	6	13	-	0	4	-	5	-	0	3	1	3						
Ala.	-	0	2	1	2	-	0	1	-	-	-	0	1	-	1						
Ky.	2	0	4	3	3	-	0	1	-	1	-	0	1	-	2						
Miss.	-	0	3	1	2	-	0	0	-	-	-	0	2	-	-						
Tenn.	-	1	6	1	6	-	0	4	-	4	-	0	2	1	-						
W.S. CENTRAL	1	3	8	5	4	-	2	9	-	1	-	1	10	-	8						
Ark.	-	0	2	-	-	-	0	0	-	-	-	0	1	-	1						
La.	-	0	2	-	1	-	0	1	-	-	-	0	1	-	1						
Okla.	1	0	3	1	-	-	0	0	-	-	-	0	1	-	1						
Tex.	-	2	7	4	3	-	2	9	-	1	-	1	10	-	5						
MOUNTAIN	-	3	10	3	13	-	0	3	-	2	-	1	4	6	3						
Ariz.	-	1	7	2	3	-	0	1	-	-	-	0	3	2	1						
Colo.	-	0	2	-	5	-	0	1	-	-	-	0	3	2	-						
Idaho	-	0	1	-	-	-	0	2	-	1	-	0	1	-	-						
Mont.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
Nev.	-	0	2	1	3	-	0	1	-	-	-	0	2	2	-						
N. Mex.	-	0	2	-	1	-	0	2	-	-	-	0	1	-	-						
Utah	-	0	2	-	1	-	0	1	-	1	-	0	1	-	2						
Wyo.	-	0	2	-	-	-	0	0	-	-	-	0	0	-	-						
PACIFIC	8	5	15	38	32	4	4	10	11	10	2	4	10	10	5						
Alaska	-	0	2	-	-	-	0	1	-	1	-	0	1	-	-						
Calif.	6	4	14	35	32	4	3	8	10	6	2	2	9	6	4						
Hawaii	-	0	1	-	-	N	0	0	N	N	-	0	1	-	-						
Oreg.	-	0	3	1	-	-	1	4	1	3	-	0	3	2	-						
Wash.	2	0	5	2	-	-	0	3	-	-	-	0	5	2	1						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	N	0	0	N	N	-	0	2	-	1						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2010 and 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


