
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 19, 2004 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	17,011	19,186	379,464	393,708	2,388	1,428	1,003	898	1	4											
NEW ENGLAND	569	655	13,293	12,592	-	-	62	63	-	-											
Maine	5	27	894	880	N	N	14	5	-	-											
N.H.	23	15	705	722	-	-	14	10	-	-											
Vt.	13	6	467	455	-	-	6	10	-	-											
Mass.	150	277	6,336	4,791	-	-	17	26	-	-											
R.I.	66	50	1,618	1,477	-	-	2	9	-	-											
Conn.	312	280	3,273	4,267	N	N	9	3	-	-											
MID. ATLANTIC	3,912	4,069	49,877	47,649	-	-	155	132	-	-											
Upstate N.Y.	453	267	10,247	8,712	N	N	38	32	-	-											
N.Y. City	2,154	1,974	14,234	15,788	-	-	36	48	-	-											
N.J.	675	783	5,901	7,017	-	-	10	8	-	-											
Pa.	630	1,045	19,495	16,132	N	N	71	44	-	-											
E.N. CENTRAL	1,455	1,987	65,252	71,867	6	3	225	225	-	-											
Ohio	237	302	16,740	19,407	-	-	62	32	-	-											
Ind.	166	260	8,340	7,859	N	N	30	21	-	-											
Ill.	700	960	16,335	22,444	-	-	13	36	-	-											
Mich.	269	363	17,899	14,256	6	3	49	41	-	-											
Wis.	83	102	5,938	7,901	-	-	71	95	-	-											
W.N. CENTRAL	331	360	23,084	22,795	4	2	127	84	-	-											
Minn.	81	73	4,093	4,962	N	N	49	37	-	-											
Iowa	21	41	2,311	2,466	N	N	18	13	-	-											
Mo.	135	180	9,134	8,276	3	1	19	8	-	-											
N. Dak.	12	1	724	709	N	N	6	3	-	-											
S. Dak.	5	6	1,148	1,127	-	-	16	17	-	-											
Nebr.	18	24	2,345	1,988	1	1	7	3	-	-											
Kans.	59	35	3,329	3,267	N	N	12	3	-	-											
S. ATLANTIC	5,282	5,392	70,214	73,440	-	2	200	123	-	1											
Del.	78	105	1,348	1,438	N	N	-	3	-	-											
Md.	601	555	8,488	7,486	-	2	9	8	-	-											
D.C.	308	595	1,508	1,551	-	-	3	1	-	-											
Va.	288	477	9,935	8,602	-	-	23	12	-	-											
W. Va.	30	41	1,180	1,163	N	N	2	2	-	-											
N.C.	305	565	12,674	11,999	N	N	36	15	-	-											
S.C.	329	326	7,047	6,277	-	-	9	2	-	-											
Ga.	782	736	9,026	15,711	-	-	62	46	-	1											
Fla.	2,561	1,992	19,008	19,213	N	N	56	34	-	-											
E.S. CENTRAL	782	836	24,234	25,333	2	1	44	52	-	-											
Ky.	71	78	2,500	3,771	N	N	14	10	-	-											
Tenn.	326	373	10,272	8,910	N	N	12	18	-	-											
Ala.	208	185	4,692	6,790	-	-	11	21	-	-											
Miss.	177	200	6,770	5,862	2	1	7	3	-	-											
W.S. CENTRAL	2,047	2,084	49,802	49,452	2	-	26	20	-	3											
Ark.	87	63	3,634	3,397	1	-	8	3	-	-											
La.	346	365	11,656	9,445	1	-	-	1	-	-											
Okla.	90	91	4,996	5,001	N	N	9	4	-	-											
Tex.	1,524	1,565	29,516	31,609	-	-	9	12	-	3											
MOUNTAIN	571	717	18,971	23,496	1,573	942	52	40	1	-											
Mont.	-	10	971	1,074	N	N	11	8	-	-											
Idaho	3	13	1,344	1,124	N	N	4	7	-	-											
Wyo.	6	5	491	462	-	-	2	1	-	-											
Colo.	98	157	3,751	5,957	N	N	24	8	-	-											
N. Mex.	91	51	2,586	3,458	9	3	2	3	-	-											
Ariz.	208	337	6,357	6,960	1,523	918	7	2	1	-											
Utah	34	32	1,501	1,706	12	3	1	8	-	-											
Nev.	131	112	1,970	2,755	29	18	1	3	-	-											
PACIFIC	2,062	3,086	64,737	67,084	801	478	112	159	-	-											
Wash.	165	211	8,059	7,160	N	N	14	14	-	-											
Oreg.	111	126	2,069	3,471	-	-	13	17	-	-											
Calif.	1,731	2,691	51,765	52,224	801	478	84	128	-	-											
Alaska	14	12	1,684	1,767	-	-	-	-	-	-											
Hawaii	41	46	1,160	2,462	-	-	1	-	-	-											
Guam	1	1	-	337	-	-	-	-	-	-											
P.R.	209	514	1,002	1,069	N	N	N	N	-	-											
V.I.	5	15	143	147	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	32	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


