
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 28, 1997 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1997
Meningococcal Disease cummulative for 1996
Mumps current week
Mumps cummulative for 1997
Mumps cummulative for 1996
Pertussis current week
Pertussis cummulative for 1997
Pertussis cummulative for 1996
Rubella current week
Rubella cummulative for 1997
Rubella cummulative for 1996

tab delimited data:
test
UNITED STATES	1,961	1,891	7	320	366	62	2,424	1,891	14	61	127										
NEW ENGLAND	120	79	-	7	-	6	509	427	-	-	24										
Maine	12	9	-	-	-	-	6	9	-	-	-										
N.H.	13	3	-	-	-	1	59	19	-	-	-										
Vt.	2	3	-	-	-	3	169	10	-	-	2										
Mass.	60	29	-	2	-	2	253	386	-	-	20										
R.I.	8	7	-	4	-	-	12	-	-	-	-										
Conn.	25	28	-	1	-	-	10	3	-	-	2										
MID. ATLANTIC	175	212	2	30	53	3	170	121	-	3	7										
Upstate N.Y.	44	53	-	6	15	-	52	60	-	1	3										
N.Y. City	31	31	-	-	13	-	40	19	-	2	2										
N.J.	40	45	-	-	2	-	5	7	-	-	2										
Pa.	60	83	2	24	23	3	73	35	-	-	-										
E.N. CENTRAL	268	269	-	32	83	2	185	246	1	4	3										
Ohio	106	94	-	14	27	2	74	76	-	-	-										
Ind.	32	36	-	4	5	-	29	15	-	-	-										
Ill.	79	82	-	7	16	-	28	60	1	1	1										
Mich.	29	28	-	7	34	-	31	21	-	-	2										
Wis.	22	29	-	-	1	-	23	74	-	3	-										
W.N. CENTRAL	143	143	1	12	5	14	143	70	-	-	-										
Minn.	19	14	1	5	1	11	96	43	-	-	-										
Iowa	31	30	-	6	-	-	16	3	-	-	-										
Mo.	71	59	-	-	2	3	19	15	-	-	-										
N. Dak.	1	2	-	-	2	-	2	-	-	-	-										
S. Dak.	4	7	-	-	-	-	2	2	-	-	-										
Nebr.	5	12	-	1	-	-	3	2	-	-	-										
Kans.	12	19	-	-	-	-	5	5	-	-	-										
S. ATLANTIC	357	290	-	46	49	26	241	180	12	33	22										
Del.	4	2	-	-	-	-	-	13	-	-	-										
Md.	33	33	-	4	17	-	76	63	-	-	-										
D.C.	1	4	-	-	-	-	2	-	-	-	1										
Va.	33	34	-	6	4	-	25	20	-	1	2										
W. Va.	14	12	-	-	-	-	4	2	-	-	-										
N.C.	62	49	-	7	10	22	68	34	12	22	8										
S.C.	41	38	-	10	5	-	11	6	-	9	1										
Ga.	72	81	-	4	2	-	7	9	-	-	-										
Fla.	97	37	-	15	11	4	48	33	-	1	10										
E.S. CENTRAL	151	136	-	16	15	2	44	149	-	-	2										
Ky.	37	19	-	3	-	-	2	128	-	-	-										
Tenn.	54	41	-	3	1	2	22	12	-	-	-										
Ala.	44	40	-	6	3	-	12	4	-	-	2										
Miss.	16	36	U	4	11	U	8	5	U	-	N										
W.S. CENTRAL	200	213	-	34	27	1	42	60	-	4	7										
Ark.	25	26	-	-	-	1	8	2	-	-	-										
La.	38	36	-	11	10	-	11	4	-	-	1										
Okla.	23	20	-	-	-	-	6	5	-	-	-										
Tex.	114	131	-	23	17	-	17	49	-	4	6										
MOUNTAIN	116	116	-	43	15	4	710	180	1	5	6										
Mont.	8	5	-	-	-	1	9	7	-	-	-										
Idaho	8	16	-	2	-	1	509	60	-	1	2										
Wyo.	1	3	-	1	-	-	4	1	-	-	-										
Colo.	32	19	-	3	2	2	136	39	-	-	2										
N. Mex.	18	20	N	N	N	-	31	31	-	-	-										
Ariz.	32	29	-	29	1	-	15	12	1	4	1										
Utah	11	11	-	6	2	-	4	5	-	-	-										
Nev.	6	13	-	2	10	-	2	25	-	-	1										
PACIFIC	431	433	4	100	119	4	380	458	-	12	56										
Wash.	52	54	-	12	17	3	182	182	-	-	12										
Oreg.	89	75	-	1	-	1	18	33	-	-	1										
Calif.	287	298	4	75	84	-	173	230	-	7	40										
Alaska	1	4	-	2	2	-	1	1	-	-	-										
Hawaii	2	2	-	10	16	-	6	12	-	5	3										
Guam	-	2	U	1	4	U	-	-	U	-	-										
P.R.	8	8	-	4	1	-	-	2	-	-	-										
V.I.	-	-	U	-	1	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	4	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


