
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending January 19, 2002 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	10	4	-	-	-	-	757	1,159													
NEW ENGLAND	-	-	-	-	-	-	54	75													
Maine	-	-	-	-	-	-	5	7													
N.H.	-	-	-	-	-	-	1	4													
Vt.	-	-	-	-	-	-	2	5													
Mass.	-	-	-	-	-	-	36	57													
R.I.	-	-	-	-	-	-	2	-													
Conn.	-	-	-	-	-	-	8	2													
MID. ATLANTIC	1	-	-	-	-	-	49	172													
Upstate N.Y.	-	-	-	-	-	-	8	13													
N.Y. City	-	-	-	-	-	-	11	42													
N.J.	-	-	-	-	-	-	-	84													
Pa.	1	-	-	-	-	-	30	33													
E.N. CENTRAL	1	1	-	-	-	-	96	189													
Ohio	1	-	-	-	-	-	39	54													
Ind.	-	-	-	-	-	-	6	4													
Ill.	-	1	-	-	-	-	14	70													
Mich.	-	-	-	-	-	-	36	23													
Wis.	-	-	-	-	-	-	1	38													
W.N. CENTRAL	-	-	-	-	-	-	74	62													
Minn.	-	-	-	-	-	-	9	13													
Iowa	-	-	-	-	-	-	10	5													
Mo.	-	-	-	-	-	-	47	27													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	-	3	5													
Nebr.	-	-	-	-	-	-	-	6													
Kans.	-	-	-	-	-	-	5	6													
S. ATLANTIC	8	3	-	-	-	-	235	226													
Del.	-	-	-	-	-	-	-	3													
Md.	2	1	-	-	-	-	38	20													
D.C.	-	-	-	-	-	-	6	6													
Va.	-	-	-	-	-	-	-	10													
W. Va.	-	-	-	-	-	-	-	-													
N.C.	6	2	-	-	-	-	53	60													
S.C.	-	-	-	-	-	-	7	14													
Ga.	-	-	-	-	-	-	131	86													
Fla.	-	-	-	-	-	-	-	27													
E.S. CENTRAL	-	-	-	-	-	-	49	55													
Ky.	-	-	-	-	-	-	3	8													
Tenn.	-	-	-	-	-	-	8	5													
Ala.	-	-	-	-	-	-	36	24													
Miss.	-	-	-	-	-	-	2	18													
W.S. CENTRAL	-	-	-	-	-	-	28	167													
Ark.	-	-	-	-	-	-	13	16													
La.	-	-	-	-	-	-	-	31													
Okla.	-	-	-	-	-	-	13	2													
Tex.	-	-	-	-	-	-	2	118													
MOUNTAIN	-	-	-	-	-	-	40	51													
Mont.	-	-	-	-	-	-	-	2													
Idaho	-	-	-	-	-	-	5	3													
Wyo.	-	-	-	-	-	-	-	3													
Colo.	-	-	-	-	-	-	28	18													
N. Mex.	-	-	-	-	-	-	2	11													
Ariz.	-	-	-	-	-	-	-	4													
Utah	-	-	-	-	-	-	5	5													
Nev.	-	-	-	-	-	-	-	5													
PACIFIC	-	-	-	-	-	-	132	162													
Wash.	-	-	-	-	-	-	1	-													
Oreg.	-	-	-	-	-	-	18	-													
Calif.	-	-	-	-	-	-	105	152													
Alaska	-	-	-	-	-	-	2	1													
Hawaii	-	-	-	-	-	-	6	9													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	14													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	1	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


