
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending December 4, 2004 (WEEK 48)*

column labels in same order that data fields appears in each record below:
Reporting Area
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2003
Syphilis (Congenital) cummulative for 2004
Syphilis (Congenital) cummulative for 2003
Tuberculosis cummulative for 2004
Tuberculosis cummulative for 2003
Typhoid Fever cummulative for 2004
Typhoid Fever cummulative for 2003
Varicella (Chicken Pox) cummulative for 2004
Varicella (Chicken Pox) cummulative for 2003

tab delimited data:
test
UNITED STATES	6,795	6,462	296	403	10,210	11,362	258	332	16,279	15,744											
NEW ENGLAND	166	195	5	1	341	379	21	27	649	3,034											
Maine	2	8	-	-	-	19	-	-	222	774											
N.H.	4	17	3	-	16	13	-	3	-	-											
Vt.	-	1	-	-	-	9	-	-	427	721											
Mass.	107	123	-	-	221	201	14	15	-	147											
R.I.	22	21	1	-	30	43	1	2	-	5											
Conn.	31	25	1	1	74	94	6	7	-	1,387											
MID. ATLANTIC	890	811	39	60	1,863	2,038	58	75	83	38											
Upstate N.Y.	89	40	4	9	256	268	8	12	-	-											
N.Y. City	552	466	15	31	901	1,044	20	35	-	-											
N.J.	136	163	19	20	404	409	15	21	-	-											
Pa.	113	142	1	-	302	317	15	7	83	38											
E.N. CENTRAL	805	824	55	72	1,082	1,075	17	32	5,521	5,538											
Ohio	214	184	1	3	181	182	5	2	1,271	1,133											
Ind.	53	44	9	15	122	124	-	4	61	-											
Ill.	341	350	14	20	482	515	-	16	2	-											
Mich.	168	230	31	33	216	193	10	10	3,795	3,497											
Wis.	29	16	-	1	81	61	2	-	392	908											
W.N. CENTRAL	134	139	5	5	409	428	9	6	130	75											
Minn.	16	42	1	-	164	177	5	2	-	-											
Iowa	5	8	-	-	33	30	-	2	N	N											
Mo.	84	56	2	4	109	104	2	1	5	-											
N. Dak.	-	2	-	-	4	4	-	-	82	75											
S. Dak.	-	2	-	-	8	16	-	-	43	-											
Nebr.	6	6	-	1	36	24	2	1	-	-											
Kans.	23	23	2	-	55	73	-	-	-	-											
S. ATLANTIC	1,776	1,695	50	80	2,121	2,300	43	52	1,989	2,027											
Del.	8	6	1	-	-	23	-	-	4	29											
Md.	325	283	9	12	226	224	11	9	-	1											
D.C.	85	46	1	-	71	-	-	-	23	28											
Va.	92	74	3	1	229	235	9	14	487	483											
W. Va.	2	2	-	-	20	20	-	-	1,221	1,239											
N.C.	174	142	11	19	291	285	8	9	N	N											
S.C.	110	92	7	14	163	150	-	-	254	247											
Ga.	326	459	2	13	353	478	5	6	-	-											
Fla.	654	591	16	21	768	885	10	14	-	-											
E.S. CENTRAL	359	296	19	12	489	638	7	7	-	-											
Ky.	46	32	1	1	108	112	3	1	-	-											
Tenn.	119	124	8	2	195	215	4	3	-	-											
Ala.	147	106	8	7	153	210	-	3	-	-											
Miss.	47	34	2	2	33	101	-	-	-	-											
W.S. CENTRAL	1,103	863	50	73	1,027	1,670	19	30	5,537	4,398											
Ark.	38	45	-	2	104	87	-	-	-	-											
La.	261	160	-	1	-	-	-	-	50	16											
Okla.	24	60	2	1	138	137	1	1	-	-											
Tex.	780	598	48	69	785	1,446	18	29	5,487	4,382											
MOUNTAIN	313	301	42	33	474	416	7	6	2,370	634											
Mont.	-	-	-	-	14	5	-	-	-	-											
Idaho	22	11	2	2	4	8	-	1	-	-											
Wyo.	3	-	-	-	4	4	-	-	55	81											
Colo.	38	34	-	3	95	100	2	3	1,790	-											
N. Mex.	54	63	1	10	33	43	-	-	99	4											
Ariz.	153	171	39	18	208	199	2	2	-	-											
Utah	8	11	-	-	36	35	1	-	426	549											
Nev.	35	11	-	-	80	22	2	-	-	-											
PACIFIC	1,249	1,338	31	67	2,404	2,418	77	97	-	-											
Wash.	131	74	-	-	216	221	6	3	-	-											
Oreg.	25	42	-	-	74	99	2	4	-	-											
Calif.	1,085	1,212	30	65	1,979	1,943	63	89	-	-											
Alaska	1	1	-	-	35	53	-	-	-	-											
Hawaii	7	9	1	2	100	102	6	1	-	-											
Guam	-	1	-	-	-	48	-	-	-	143											
P.R.	158	191	5	14	84	100	-	-	271	568											
V.I.	4	1	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	-	U	10	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


