
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 17, 2001 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2001
Gonorrhea cummulative for 2000
Hepatitis C/NA,NB cummulative for 2001
Hepatitis C/NA,NB cummulative for 2000
Legionellosis cummulative for 2001
Legionellosis cummulative for 2000
Listeriosis cummulative for 2001
Listeriosis cummulative for 2000
Lyme Disease cummulative for 2001
Lyme Disease cummulative for 2000

tab delimited data:
test
UNITED STATES	31,571	44,540	162	473	55	82	30	209	406												
NEW ENGLAND	719	976	2	2	1	6	5	66	38												
Maine	-	8	-	-	-	2	-	-	-												
N.H.	12	15	-	-	-	-	-	42	11												
Vt.	14	3	2	-	1	-	-	-	-												
Mass.	373	379	-	2	-	3	3	1	13												
R.I.	109	79	-	-	-	-	-	-	-												
Conn.	211	492	-	-	-	1	2	23	14												
MID. ATLANTIC	1,612	3,997	6	70	1	8	1	86	291												
Upstate N.Y.	443	339	3	-	1	2	1	63	58												
N.Y. City	418	1,330	-	-	-	-	-	-	11												
N.J.	188	1,015	-	65	-	-	-	-	45												
Pa.	563	1,313	3	5	-	6	-	23	177												
E.N. CENTRAL	4,567	9,156	20	39	25	32	5	9	9												
Ohio	143	2,367	1	-	14	14	2	9	1												
Ind.	814	777	-	-	3	3	-	-	-												
Ill.	1,117	3,233	-	5	-	3	-	-	1												
Mich.	2,124	1,814	19	34	8	6	3	-	-												
Wis.	369	965	-	-	-	6	-	U	7												
W.N. CENTRAL	1,655	2,043	35	68	6	3	1	3	7												
Minn.	234	431	-	-	-	1	-	3	1												
Iowa	110	86	-	-	1	1	-	-	-												
Mo.	844	992	34	65	3	1	-	-	2												
N. Dak.	4	4	-	-	-	-	-	-	-												
S. Dak.	30	33	-	-	-	-	-	-	-												
Nebr.	42	135	-	1	1	-	-	-	-												
Kans.	391	362	1	2	1	-	1	-	4												
S. ATLANTIC	9,038	12,427	7	9	8	19	4	33	49												
Del.	217	220	-	-	-	1	-	-	6												
Md.	902	974	4	2	5	7	2	30	37												
D.C.	415	345	-	-	-	-	-	1	-												
Va.	1,231	1,263	-	-	2	3	1	1	1												
W. Va.	55	76	-	1	N	N	-	-	2												
N.C.	1,661	1,490	1	5	-	1	-	1	3												
S.C.	1,209	3,199	-	-	-	2	-	-	-												
Ga.	1,287	2,119	-	-	-	-	1	-	-												
Fla.	2,061	2,741	2	1	1	5	-	-	-												
E.S. CENTRAL	4,182	4,152	22	73	3	1	4	2	-												
Ky.	466	421	-	5	2	-	1	2	-												
Tenn.	1,442	1,319	6	15	-	-	2	-	-												
Ala.	1,182	1,372	-	3	1	1	1	-	-												
Miss.	1,092	1,040	16	50	-	-	-	-	-												
W.S. CENTRAL	6,442	7,267	51	149	1	4	-	-	2												
Ark.	871	294	1	-	-	-	-	-	-												
La.	1,699	1,864	3	84	1	2	-	-	2												
Okla.	603	568	-	-	-	-	-	-	-												
Tex.	3,269	4,541	47	65	-	2	-	-	-												
MOUNTAIN	905	1,286	7	36	1	5	1	-	-												
Mont.	5	-	-	-	-	-	-	-	-												
Idaho	18	16	-	-	-	1	-	-	-												
Wyo.	12	9	2	23	-	-	-	-	-												
Colo.	231	444	1	5	-	2	-	-	-												
N. Mex.	117	114	4	4	-	-	-	-	-												
Ariz.	390	462	-	4	1	-	1	-	-												
Utah	9	51	-	-	-	2	-	-	-												
Nev.	123	190	-	-	-	-	-	-	-												
PACIFIC	2,451	3,236	12	27	9	4	9	10	10												
Wash.	421	331	-	2	1	1	-	-	-												
Oreg.	114	56	3	7	N	N	1	2	1												
Calif.	1,828	2,760	9	18	8	3	8	8	9												
Alaska	26	30	-	-	-	-	-	-	-												
Hawaii	62	59	-	-	-	-	-	N	N												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	87	74	-	1	2	-	-	N	N												
V.I.	U	U	U	U	U	U	-	U	U												
Amer. Samoa	U	U	U	U	U	U	-	U	U												
C.N.M.I.	U	U	U	U	U	U	-	U	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


