
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending March 18, 2000 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis NETSS cummulative for 2000
Shigellosis NETSS cummulative for 1999
Shigellosis PHLIS cummulative for 2000
Shigellosis PHLIS cummulative for 1999
Syphilis (Primary and Secondary) cummulative for 2000
Syphilis (Primary and Secondary) cummulative for 1999
Tuberculosis cummulative for 2000
Tuberculosis cummulative for 1999

tab delimited data:
test
UNITED STATES	2,506	2,562	1,015	1,396	1,106	1,391	1,569	2,501													
NEW ENGLAND	60	64	43	61	14	13	47	72													
Maine	2	1	-	-	-	-	-	3													
N.H.	1	4	1	5	-	-	1	-													
Vt.	1	3	-	3	-	1	-	-													
Mass.	41	42	31	38	12	8	35	35													
R.I.	7	9	4	7	1	1	2	15													
Conn.	8	5	7	8	1	3	9	19													
MID. ATLANTIC	122	212	138	128	22	61	312	432													
Upstate N.Y.	70	39	31	19	1	7	20	35													
N.Y. City	39	71	60	57	6	22	187	222													
N.J.	-	67	15	52	4	14	79	101													
Pa.	13	35	32	-	11	18	26	74													
E.N. CENTRAL	380	457	119	210	244	210	179	249													
Ohio	26	159	4	16	13	18	34	64													
Ind.	60	18	9	8	92	56	15	23													
Ill.	115	171	2	159	68	103	111	113													
Mich.	170	52	99	13	56	26	13	37													
Wis.	9	57	5	14	15	7	6	12													
W.N. CENTRAL	173	130	92	116	16	59	83	83													
Minn.	42	19	38	22	2	5	31	33													
Iowa	25	2	21	3	6	2	7	-													
Mo.	85	81	25	79	5	48	34	38													
N. Dak.	-	1	-	1	-	-	-	1													
S. Dak.	1	-	-	1	-	-	3	3													
Nebr.	14	9	4	4	2	1	2	1													
Kans.	6	18	4	6	1	3	6	7													
S. ATLANTIC	293	394	66	105	343	511	253	382													
Del.	1	5	-	1	2	1	-	4													
Md.	24	24	8	5	64	111	38	44													
D.C.	-	19	U	U	15	33	-	10													
Va.	12	16	12	5	25	34	-	17													
W. Va.	1	3	1	1	1	1	8	7													
N.C.	18	53	5	33	111	120	43	60													
S.C.	3	24	1	10	11	47	18	75													
Ga.	25	42	18	17	59	94	99	74													
Fla.	209	208	21	33	55	70	47	91													
E.S. CENTRAL	121	292	70	176	188	244	109	133													
Ky.	28	27	16	20	18	26	-	15													
Tenn.	58	214	51	145	123	122	48	42													
Ala.	9	28	1	11	24	59	61	59													
Miss.	26	23	2	-	23	37	-	17													
W.S. CENTRAL	238	401	192	456	167	202	27	406													
Ark.	45	30	3	20	12	20	20	14													
La.	19	30	34	26	45	29	-	U													
Okla.	9	111	4	26	36	51	7	20													
Tex.	165	230	151	384	74	102	-	372													
MOUNTAIN	210	156	63	87	36	32	67	64													
Mont.	-	3	-	-	-	-	-	-													
Idaho	22	2	-	2	-	-	-	-													
Wyo.	1	2	1	1	-	-	-	-													
Colo.	29	31	15	20	3	-	6	U													
N. Mex.	25	18	13	12	3	-	15	11													
Ariz.	79	83	28	38	28	32	22	27													
Utah	5	11	6	12	-	-	7	11													
Nev.	49	6	-	2	2	-	17	15													
PACIFIC	909	456	232	57	76	59	492	680													
Wash.	162	13	182	27	11	5	35	29													
Oreg.	75	12	43	15	2	1	-	19													
Calif.	660	419	-	-	63	51	428	590													
Alaska	2	-	1	-	-	1	12	8													
Hawaii	10	12	6	15	-	1	17	34													
Guam	-	3	U	U	-	-	-	-													
P.R.	1	7	U	U	20	52	-	-													
V.I.	-	U	U	U	-	U	-	U													
Amer. Samoa	-	U	U	U	-	U	-	U													
C.N.M.I.	-	U	U	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


