
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending January 24, 2009 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2009
Syphillis, primary & secondary cummulative for 2008

tab delimited data:
test
UNITED STATES	31	52	105	150	290	1	8	23	10	31	93	242	303	390	633						
NEW ENGLAND	1	1	48	2	5	-	0	5	-	-	4	5	14	12	15						
Conn.	-	0	48	-	-	-	0	5	-	-	-	0	3	-	-						
Maine	-	0	2	-	2	-	0	1	-	-	-	0	2	-	-						
Mass.	-	0	0	-	-	-	0	0	-	-	3	4	11	9	12						
N.H.	-	0	0	-	-	-	0	0	-	-	1	0	2	3	1						
R.I.	-	0	2	-	2	-	0	1	-	-	-	0	5	-	2						
Vt.	1	0	2	2	1	-	0	1	-	-	-	0	2	-	-						
MID. ATLANTIC	3	4	13	4	22	-	0	2	-	1	30	32	52	87	93						
N.J.	-	0	0	-	-	-	0	0	-	-	-	4	10	5	11						
N.Y. (Upstate)	1	1	5	1	3	-	0	1	-	-	1	3	7	1	1						
N.Y. City	-	1	6	-	7	-	0	0	-	-	28	20	36	72	57						
Pa.	2	1	9	3	12	-	0	2	-	1	1	5	12	9	24						
E.N. CENTRAL	5	12	41	32	83	-	2	7	2	13	15	23	38	46	69						
Ill.	-	0	7	-	31	-	0	2	-	7	2	7	19	6	29						
Ind.	-	2	31	-	12	-	0	5	-	-	2	3	10	4	4						
Mich.	-	0	3	2	4	-	0	1	-	1	6	3	21	15	10						
Ohio	5	7	18	30	36	-	1	4	2	5	4	6	15	19	23						
Wis.	-	0	0	-	-	-	0	0	-	-	1	1	4	2	3						
W.N. CENTRAL	-	2	9	5	23	-	0	2	-	1	2	8	14	10	26						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	-	-						
Kans.	-	1	5	-	7	-	0	1	-	1	-	0	5	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	2	6	1	5						
Mo.	-	1	5	5	16	-	0	1	-	-	2	4	10	9	21						
Nebr.	-	0	0	-	-	-	0	0	-	-	-	0	2	-	-						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
S. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
S. ATLANTIC	21	21	53	86	121	1	3	13	6	10	26	55	106	127	90						
Del.	-	0	1	-	-	-	0	0	-	-	-	0	4	2	-						
D.C.	-	0	3	-	3	-	0	1	-	-	-	2	9	14	6						
Fla.	17	13	30	62	74	-	2	12	5	8	6	19	37	55	51						
Ga.	4	6	23	21	38	1	1	5	1	2	-	13	51	-	3						
Md.	-	0	2	1	1	-	0	1	-	-	5	7	14	11	12						
N.C.	N	0	0	N	N	N	0	0	N	N	14	5	19	32	6						
S.C.	-	0	0	-	-	-	0	0	-	-	1	2	6	3	4						
Va.	N	0	0	N	N	N	0	0	N	N	-	5	16	10	8						
W. Va.	-	1	9	2	5	-	0	2	-	-	-	0	1	-	-						
E.S. CENTRAL	1	5	20	13	23	-	1	4	1	2	6	21	37	36	54						
Ala.	N	0	0	N	N	N	0	0	N	N	-	8	17	9	25						
Ky.	-	1	6	6	6	-	0	2	1	-	2	1	10	5	4						
Miss.	-	0	2	-	-	-	0	1	-	-	4	3	19	5	5						
Tenn.	1	3	18	7	17	-	0	3	-	2	-	8	19	17	20						
