
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending July 28, 2007 (WEEK 30)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2007
Varicella (chickenpox) cummulative for 2006
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2007
West Nile virus disease † Neuroinvasive cummulative for 2006
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2007
West Nile virus disease † Non-neuroinvasive § cummulative for 2006

tab delimited data:
test
UNITED STATES	149	795	2,813	24,215	30,851	-	1	178	60	319	2	2	417	125	466						
NEW ENGLAND	-	21	124	466	3,095	-	0	3	-	-	-	0	2	-	1						
Conn.	-	0	76	1	1,081	-	0	3	-	-	-	0	1	-	1						
Maine	-	0	7	-	168	-	0	0	-	-	-	0	0	-	-						
Mass.	-	0	9	-	1,123	-	0	1	-	-	-	0	1	-	-						
N.H.	-	7	17	200	236	-	0	0	-	-	-	0	0	-	-						
R.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Vt.	-	9	66	265	487	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	13	109	195	2,990	3,258	-	0	11	-	5	-	0	4	-	1						
N.J.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	5	-	-	-	0	1	-	-						
N.Y. City	-	0	0	-	-	-	0	4	-	1	-	0	2	-	-						
Pa.	13	109	195	2,990	3,258	-	0	2	-	4	-	0	0	-	1						
E.N. CENTRAL	16	228	568	6,860	10,224	-	0	42	3	9	-	0	33	1	7						
Ill.	-	2	11	91	87	-	0	24	2	6	-	0	22	1	3						
Ind.	-	0	0	-	-	-	0	5	-	2	-	0	12	-	1						
Mich.	6	97	258	2,830	3,037	-	0	10	-	-	-	0	4	-	1						
Ohio	10	107	449	3,264	6,358	-	0	11	1	-	-	0	3	-	-						
Wis.	-	17	72	675	742	-	0	2	-	1	-	0	2	-	2						
W.N. CENTRAL	3	32	136	1,204	1,235	-	0	37	22	50	1	0	78	53	96						
Iowa	N	0	0	N	N	-	0	3	1	4	-	0	4	1	7						
Kans.	-	9	52	426	234	-	0	3	2	7	1	0	3	1	3						
Minn.	-	0	0	-	-	-	0	7	3	11	-	0	7	1	16						
Mo.	3	16	78	634	940	-	0	14	-	10	-	0	2	2	-						
Nebr.	N	0	0	N	N	-	0	9	-	8	-	0	38	12	30						
N. Dak.	-	0	60	84	27	-	0	5	4	1	-	0	28	10	23						
S. Dak.	-	2	15	60	34	-	0	8	12	9	-	0	22	26	17						
S. ATLANTIC	32	96	239	3,200	2,990	-	0	2	1	5	-	0	7	-	-						
Del.	-	1	6	22	45	-	0	0	-	-	-	0	0	-	-						
D.C.	-	0	8	14	21	-	0	0	-	-	-	0	1	-	-						
Fla.	16	16	81	801	N	-	0	1	-	2	-	0	0	-	-						
Ga.	N	0	0	N	N	-	0	1	-	2	-	0	4	-	-						
Md.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
N.C.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
S.C.	4	18	72	676	795	-	0	1	-	-	-	0	0	-	-						
Va.	-	27	190	960	1,115	-	0	1	1	-	-	0	2	-	-						
W. Va.	12	23	50	727	1,014	-	0	1	-	1	-	0	0	-	-						
E.S. CENTRAL	4	2	571	329	25	-	0	15	7	35	-	0	17	10	19						
Ala.	4	2	571	327	25	-	0	1	2	5	-	0	1	2	-						
Ky.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
