
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending July 20, 2002 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	365	239	5	15	2	-	16,309	18,009													
NEW ENGLAND	-	2	-	-	-	-	1,008	1,297													
Maine	-	-	-	-	-	-	74	111													
N.H.	-	-	-	-	-	-	65	103													
Vt.	-	-	-	-	-	-	37	38													
Mass.	-	2	-	-	-	-	559	754													
R.I.	-	-	-	-	-	-	72	64													
Conn.	-	-	-	-	-	-	201	227													
MID. ATLANTIC	20	12	3	6	-	-	2,046	2,436													
Upstate N.Y.	5	-	2	1	-	-	725	561													
N.Y. City	2	1	-	4	-	-	657	659													
N.J.	3	3	1	1	-	-	193	579													
Pa.	10	8	-	-	-	-	471	637													
E.N. CENTRAL	8	13	-	2	-	-	2,635	2,442													
Ohio	6	1	-	-	-	-	720	707													
Ind.	1	1	-	-	-	-	234	246													
Ill.	-	11	-	2	-	-	804	674													
Mich.	1	-	-	-	-	-	468	438													
Wis.	-	-	-	-	-	-	409	377													
W.N. CENTRAL	56	37	-	3	-	-	1,236	1,042													
Minn.	-	-	-	-	-	-	294	322													
Iowa	1	1	-	1	-	-	210	162													
Mo.	51	34	-	1	-	-	440	260													
N. Dak.	-	-	-	-	-	-	25	15													
S. Dak.	-	2	-	-	-	-	44	72													
Nebr.	4	-	-	-	-	-	70	73													
Kans.	-	-	-	1	-	-	153	138													
S. ATLANTIC	198	101	-	3	-	-	3,999	3,994													
Del.	2	-	-	-	-	-	31	45													
Md.	27	19	-	-	-	-	408	401													
D.C.	-	-	-	-	-	-	41	39													
Va.	12	10	-	-	-	-	434	735													
W. Va.	1	-	-	-	-	-	57	54													
N.C.	103	49	-	-	-	-	545	548													
S.C.	32	13	-	2	-	-	245	368													
Ga.	18	7	-	-	-	-	858	724													
Fla.	3	3	-	1	-	-	1,380	1,080													
E.S. CENTRAL	35	47	-	-	1	-	1,130	1,028													
Ky.	2	1	-	-	-	-	170	177													
Tenn.	24	36	-	-	1	-	281	265													
Ala.	9	5	-	-	-	-	325	297													
Miss.	-	5	-	-	-	-	354	289													
W.S. CENTRAL	37	20	1	-	-	-	668	2,132													
Ark.	2	4	-	-	-	-	351	292													
La.	-	1	-	-	-	-	122	371													
Okla.	35	15	-	-	-	-	193	153													
Tex.	-	-	1	-	-	-	2	1,316													
MOUNTAIN	9	7	-	-	-	-	1,070	1,098													
Mont.	1	1	-	-	-	-	51	40													
Idaho	-	1	-	-	-	-	64	71													
Wyo.	2	2	-	-	-	-	32	35													
Colo.	1	-	-	-	-	-	270	300													
N. Mex.	-	1	-	-	-	-	148	128													
Ariz.	-	-	-	-	-	-	294	318													
Utah	-	2	-	-	-	-	100	117													
Nev.	5	-	-	-	-	-	111	89													
PACIFIC	2	-	1	1	1	-	2,517	2,540													
Wash.	-	-	-	-	-	-	241	230													
Oreg.	1	-	-	-	-	-	207	159													
Calif.	1	-	1	-	-	-	1,886	1,934													
Alaska	-	-	-	-	-	-	36	26													
Hawaii	-	-	-	1	1	-	147	191													
Guam	-	-	-	-	-	-	-	18													
P.R.	-	-	-	3	-	-	106	502													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	21	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


