
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending September 5, 2009 (WEEK 35)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	27	101	239	3,822	4,087	18	36	122	1,172	1,221											
NEW ENGLAND	-	5	28	223	296	-	1	12	41	60											
Conn.	-	0	21	63	83	-	0	11	-	-											
Maine	-	0	2	13	20	-	0	1	3	1											
Mass.	-	2	10	91	140	-	1	4	28	44											
N.H.	-	1	4	34	20	-	0	2	8	8											
R.I.	-	0	2	9	21	-	0	2	-	7											
Vt.	-	0	3	13	12	-	0	1	2	-											
MID. ATLANTIC	6	19	43	776	839	3	5	33	180	153											
N.J.	-	3	6	103	153	-	1	4	31	46											
N.Y. (Upstate)	4	7	25	258	261	2	2	17	85	68											
N.Y. City	-	4	12	145	151	1	0	31	64	39											
Pa.	2	6	18	270	274	N	0	2	N	N											
E.N. CENTRAL	3	17	42	731	779	3	6	18	177	222											
Ill.	-	5	12	204	210	-	1	5	23	63											
Ind.	-	3	23	116	102	-	0	13	25	24											
Mich.	-	3	11	119	133	-	1	5	47	57											
Ohio	3	4	13	185	214	3	1	6	52	41											
Wis.	-	2	10	107	120	-	1	4	30	37											
W.N. CENTRAL	1	6	37	318	311	3	2	11	107	66											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	1	5	37	32	N	0	1	N	N											
Minn.	1	0	34	146	150	2	0	10	60	18											
Mo.	-	1	8	69	72	-	0	4	29	29											
Nebr.	-	1	3	35	31	1	0	1	8	7											
N. Dak.	-	0	4	11	8	-	0	3	4	6											
S. Dak.	-	0	3	20	18	-	0	2	6	6											
S. ATLANTIC	12	22	48	869	832	2	6	16	216	239											
Del.	-	0	1	9	6	-	0	0	-	-											
D.C.	-	0	3	11	12	N	0	0	N	N											
Fla.	2	6	12	212	189	-	1	6	49	46											
Ga.	5	5	13	206	185	1	2	6	54	63											
Md.	4	3	12	138	145	1	1	4	51	46											
N.C.	-	2	12	81	104	N	0	0	N	N											
S.C.	1	1	5	53	51	-	1	6	32	42											
Va.	-	3	9	125	108	-	0	4	18	37											
W. Va.	-	1	4	34	32	-	0	3	12	5											
E.S. CENTRAL	1	4	10	147	144	2	2	7	61	63											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	5	28	31	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	14	8											
Tenn.	1	3	9	119	113	2	1	6	47	55											
W.S. CENTRAL	3	9	79	318	359	4	6	46	198	189											
Ark.	-	0	2	14	8	-	0	4	20	11											
La.	-	0	3	11	14	-	0	3	13	11											
Okla.	-	3	20	108	81	1	1	7	40	49											
Tex.	3	5	59	185	256	3	4	34	125	118											
MOUNTAIN	1	10	22	329	422	1	4	16	169	193											
Ariz.	1	3	7	110	146	1	2	10	88	89											
Colo.	-	3	9	107	106	-	1	4	32	42											
Idaho	-	0	2	7	12	-	0	2	7	3											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	5	8	-	0	1	-	3											
N. Mex.	-	2	7	59	103	-	0	4	15	27											
Utah	-	1	6	40	41	-	0	5	27	28											
Wyo.	-	0	1	1	6	-	0	1	-	1											
PACIFIC	-	3	9	111	105	-	0	4	23	36											
Alaska	-	1	3	21	26	-	0	3	17	23											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	3	8	90	79	-	0	2	6	13											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	30	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


