
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending March 29, 2003 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	5,387	6,629	4,284	3,378	1,367	1,223	659	632	88	52											
NEW ENGLAND	236	331	68	56	78	64	2	1	1	1											
Maine	16	43	3	2	10	12	-	-	-	-											
N.H.	17	14	-	3	11	16	-	-	N	N											
Vt.	4	15	-	-	6	1	2	1	1	1											
Mass.	133	186	41	43	50	35	N	N	N	N											
R.I.	16	5	2	-	1	-	-	-	-	-											
Conn.	50	68	22	8	-	-	-	-	-	-											
MID. ATLANTIC	449	874	262	190	175	206	30	28	22	13											
Upstate N.Y.	130	172	64	25	107	93	21	28	17	13											
N.Y. City	171	230	87	69	23	36	U	U	U	U											
N.J.	47	240	65	48	13	52	N	N	N	N											
Pa.	101	232	46	48	32	25	9	-	5	-											
E.N. CENTRAL	721	1,153	276	463	296	305	138	55	41	25											
Ohio	245	290	69	236	99	57	98	-	36	-											
Ind.	55	50	26	13	24	10	40	53	5	8											
Ill.	232	472	108	140	55	106	-	2	-	-											
Mich.	120	198	55	42	117	90	N	N	N	N											
Wis.	69	143	18	32	1	42	N	N	-	17											
W.N. CENTRAL	355	450	185	327	108	78	85	175	13	10											
Minn.	99	90	20	37	42	34	-	108	13	9											
Iowa	77	60	8	30	N	N	N	N	N	N											
Mo.	95	188	61	36	22	22	4	4	-	1											
N. Dak.	8	5	-	-	5	-	3	-	-	-											
S. Dak.	17	20	8	111	12	3	-	1	-	-											
Nebr.	25	29	68	78	15	7	4	19	N	N											
Kans.	34	58	20	35	12	12	74	43	N	N											
S. ATLANTIC	1,561	1,669	1,877	1,271	254	198	346	281	2	1											
Del.	7	12	75	3	3	-	N	N	N	N											
Md.	146	129	149	143	86	26	-	-	-	-											
D.C.	8	19	14	15	5	3	-	26	-	1											
Va.	120	144	62	263	22	23	N	N	N	N											
W. Va.	8	9	-	2	9	-	17	11	2	-											
N.C.	261	223	205	65	31	50	N	N	U	U											
S.C.	67	72	44	12	5	15	24	60	N	N											
Ga.	371	365	685	472	25	51	110	108	N	N											
Fla.	573	696	643	296	68	30	195	76	N	N											
E.S. CENTRAL	344	329	209	245	46	39	28	58	-	-											
Ky.	66	40	34	43	7	5	1	8	N	N											
Tenn.	118	104	61	15	39	34	27	50	N	N											
Ala.	108	102	82	96	-	-	-	-	N	N											
Miss.	52	83	32	91	-	-	-	-	-	-											
W.S. CENTRAL	275	435	552	239	68	66	18	17	9	-											
Ark.	63	61	11	31	1	-	4	2	-	-											
La.	52	67	51	31	1	1	14	15	7	-											
Okla.	43	58	163	56	26	11	N	N	2	-											
Tex.	117	249	327	121	40	54	N	N	-	-											
MOUNTAIN	408	391	241	109	185	102	11	17	-	2											
Mont.	30	10	1	-	-	-	-	-	-	-											
Idaho	46	21	6	2	9	1	N	N	N	N											
Wyo.	4	14	1	1	-	3	3	7	-	-											
Colo.	109	107	40	28	64	34	-	-	-	-											
N. Mex.	31	60	34	15	43	34	8	10	-	-											
Ariz.	129	100	140	46	62	22	-	-	N	N											
Utah	35	32	9	10	7	8	-	-	-	2											
Nev.	24	47	10	7	-	-	-	-	-	-											
PACIFIC	1,038	997	614	478	157	165	1	-	-	-											
Wash.	71	41	36	15	-	26	-	-	N	N											
Oreg.	65	63	16	30	N	N	N	N	N	N											
Calif.	844	830	547	417	130	124	N	N	N	N											
Alaska	23	16	4	1	-	-	-	-	N	N											
Hawaii	35	47	11	15	27	15	1	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	20	-	1	-	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


