
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending May 11, 2013 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2013
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2013
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2013
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012

tab delimited data:
test
UNITED STATES	3	7	70	33	112	3	20	75	41	362	-	2	21	6	34						
NEW ENGLAND	-	0	4	3	3	2	4	23	7	104	-	0	0	-	-						
Conn.	-	0	0	-	-	-	0	11	1	59	-	0	0	-	-						
Maine	-	0	1	-	-	2	0	4	4	11	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N.H.	-	0	1	1	-	-	0	4	1	13	-	0	0	-	-						
R.I.	-	0	3	1	3	-	1	11	1	18	-	0	0	-	-						
Vt.	-	0	1	1	-	-	0	2	-	3	-	0	0	-	-						
MID. ATLANTIC	-	1	11	3	20	-	7	24	10	85	-	0	3	2	3						
N.J.	-	0	6	-	12	-	2	9	-	34	-	0	1	-	-						
N.Y. (Upstate)	-	0	3	1	4	-	4	17	8	43	-	0	2	1	2						
N.Y. City	-	0	3	2	3	-	0	4	2	7	-	0	1	1	-						
Pa.	-	0	1	-	1	-	0	2	-	1	-	0	2	-	1						
E.N. CENTRAL	-	0	5	2	9	1	5	42	13	157	-	1	15	4	23						
Ill.	-	0	4	1	5	-	0	1	1	4	-	0	1	-	-						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	7	2	7						
Mich.	-	0	1	-	-	-	0	0	-	-	-	0	2	1	3						
Ohio	-	0	1	1	-	1	0	1	1	-	-	0	1	-	-						
Wis.	-	0	3	-	4	-	5	42	11	153	-	0	6	1	13						
W.N. CENTRAL	-	1	21	3	30	-	0	6	-	2	-	0	3	-	-						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	4	1	9	-	0	1	-	-	-	0	0	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	-	1	20	1	21	-	0	6	-	2	-	0	3	-	-						
Nebr.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
N. Dak.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
S. Dak.	-	0	1	1	-	-	0	0	-	-	-	0	1	-	-						
S. ATLANTIC	2	4	32	15	32	-	1	7	10	5	-	0	2	-	3						
Del.	-	0	2	1	3	-	0	1	-	-	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	2	5	-	0	2	1	-	-	0	0	-	-						
Ga.	-	0	3	7	4	-	0	1	2	2	-	0	1	-	1						
Md.	-	0	4	-	2	-	0	2	1	-	-	0	0	-	-						
N.C.	-	0	19	1	9	-	0	6	1	1	-	0	0	-	-						
S.C.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
Va.	2	1	16	4	9	-	0	2	4	2	-	0	2	-	2						
W. Va.	-	0	0	-	-	-	0	1	1	-	-	0	1	-	-						
E.S. CENTRAL	-	1	9	3	5	-	0	3	1	7	-	0	1	-	4						
Ala.	-	0	1	1	1	-	0	3	-	2	-	0	1	-	3						
Ky.	-	0	4	1	-	-	0	1	-	-	-	0	0	-	-						
Miss.	-	0	1	-	-	-	0	0	-	1	-	0	0	-	-						
Tenn.	-	0	6	1	4	-	0	2	1	4	-	0	1	-	1						
W.S. CENTRAL	1	0	16	4	13	-	0	2	-	2	-	0	1	-	-						
Ark.	1	0	10	4	11	-	0	1	-	1	-	0	0	-	-						
La.	-	0	0	-	1	-	0	0	-	-	-	0	1	-	-						
Okla.	-	0	14	-	-	-	0	2	-	-	-	0	0	-	-						
Tex.	-	0	1	-	1	-	0	0	-	1	-	0	0	-	-						
MOUNTAIN	-	0	0	-	-	-	0	0	-	-	-	0	1	-	1						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	1						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
PACIFIC	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
