
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 1, 1999 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	893	1,094	5	120	311	66	1,708	1,388	2	19	181										
NEW ENGLAND	42	56	-	1	-	9	145	268	-	3	30										
Maine	3	4	-	-	-	-	-	5	-	-	-										
N.H.	-	1	-	1	-	9	30	21	-	-	-										
Vt.	3	1	-	-	-	-	10	26	-	-	-										
Mass.	28	24	-	-	-	-	97	210	-	3	6										
R.I.	2	3	-	-	-	-	3	-	-	-	-										
Conn.	6	23	-	-	-	-	5	6	-	-	24										
MID. ATLANTIC	79	116	-	15	161	21	418	165	-	2	88										
Upstate N.Y.	20	28	-	2	3	20	372	91	-	2	80										
N.Y. City	19	14	-	3	153	-	10	9	-	-	4										
N.J.	16	31	-	-	2	-	-	8	-	-	4										
Pa.	24	43	-	10	3	1	36	57	-	-	-										
E.N. CENTRAL	126	162	-	15	26	1	135	162	-	-	-										
Ohio	60	56	-	6	11	1	93	53	-	-	-										
Ind.	7	26	-	-	2	-	2	40	-	-	-										
Ill.	40	46	-	3	3	-	22	12	-	-	-										
Mich.	19	16	-	6	10	-	18	19	-	-	-										
Wis.	-	18	-	-	-	-	-	38	-	-	-										
W.N. CENTRAL	111	95	1	4	18	-	23	105	-	-	2										
Minn.	26	16	-	-	9	-	-	58	-	-	-										
Iowa	26	13	1	3	6	-	11	24	-	-	-										
Mo.	40	40	-	1	2	-	9	9	-	-	1										
N. Dak.	-	-	-	-	1	-	-	-	-	-	-										
S. Dak.	5	5	-	-	-	-	2	4	-	-	-										
Nebr.	4	4	-	-	-	-	1	4	-	-	-										
Kans.	10	17	-	-	-	-	-	6	-	-	1										
S. ATLANTIC	156	164	3	27	17	6	90	93	-	2	4										
Del.	2	1	-	-	-	-	-	-	-	-	-										
Md.	25	17	-	3	-	1	28	19	-	1	-										
D.C.	1	-	-	1	-	-	-	1	-	-	-										
Va.	20	18	1	8	4	-	12	6	-	-	-										
W. Va.	2	5	-	-	-	-	1	1	-	-	-										
N.C.	18	24	-	5	6	-	22	40	-	1	3										
S.C.	19	28	-	2	3	1	8	10	-	-	-										
Ga.	24	37	-	-	1	-	7	1	-	-	-										
Fla.	45	34	2	8	3	4	12	15	-	-	1										
E.S. CENTRAL	80	84	-	1	3	2	33	41	-	-	-										
Ky.	23	15	-	-	-	1	3	17	-	-	-										
Tenn.	27	31	-	-	-	1	21	11	-	-	-										
Ala.	18	26	-	1	1	-	6	12	-	-	-										
Miss.	12	12	U	-	2	U	3	1	U	-	-										
W.S. CENTRAL	54	109	-	14	23	4	48	74	-	5	42										
Ark.	14	15	-	-	-	-	5	11	-	-	-										
La.	26	22	-	1	1	-	3	-	-	-	-										
Okla.	12	21	-	1	-	-	2	6	-	-	-										
Tex.	2	51	-	12	22	4	38	57	-	5	42										
MOUNTAIN	70	66	-	8	13	1	183	241	2	5	5										
Mont.	-	2	-	-	-	-	1	1	-	-	-										
Idaho	7	3	-	-	1	-	85	86	-	-	-										
Wyo.	2	3	-	-	1	-	2	7	-	-	-										
Colo.	20	16	-	3	1	-	35	54	-	-	-										
N. Mex.	8	10	N	N	N	-	13	50	-	-	1										
Ariz.	24	22	-	-	4	-	21	23	2	5	1										
Utah	4	6	-	4	1	1	24	12	-	-	2										
Nev.	5	4	-	1	5	-	2	8	-	-	1										
PACIFIC	175	242	1	35	50	22	633	239	-	2	10										
Wash.	24	26	1	1	4	22	396	84	-	-	8										
Oreg.	30	42	N	N	N	-	8	15	-	-	-										
Calif.	114	169	-	28	31	-	223	136	-	2	1										
Alaska	3	1	-	1	2	-	2	-	-	-	-										
Hawaii	4	4	-	5	13	-	4	4	-	-	1										
Guam	-	-	U	-	2	U	-	-	U	-	-										
P.R.	2	2	-	-	1	-	-	2	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	2	U	-	1	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


