
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 14, 1997 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1997
Meningococcal Disease cummulative for 1996
Mumps current week
Mumps cummulative for 1997
Mumps cummulative for 1996
Pertussis current week
Pertussis cummulative for 1997
Pertussis cummulative for 1996
Rubella current week
Rubella cummulative for 1997
Rubella cummulative for 1996

tab delimited data:
test
UNITED STATES	1,857	1,776	10	298	341	59	2,241	1,642	-	46	112										
NEW ENGLAND	111	71	-	7	-	-	475	319	-	-	23										
Maine	11	9	U	-	-	U	6	10	U	-	-										
N.H.	10	2	-	-	-	-	61	19	-	-	-										
Vt.	2	3	-	-	-	-	163	10	-	-	2										
Mass.	59	24	-	2	-	-	228	277	-	-	19										
R.I.	8	7	-	4	-	-	12	-	-	-	-										
Conn.	21	26	-	1	-	-	5	3	-	-	2										
MID. ATLANTIC	164	194	-	27	50	1	164	106	-	3	6										
Upstate N.Y.	41	45	-	5	13	-	52	53	-	1	3										
N.Y. City	30	28	-	-	13	-	40	16	-	2	1										
N.J.	36	44	-	-	2	-	5	6	-	-	2										
Pa.	57	77	-	22	22	1	67	31	-	-	-										
E.N. CENTRAL	260	254	-	31	80	4	170	230	-	2	3										
Ohio	104	85	-	13	27	3	68	73	-	-	-										
Ind.	32	37	-	4	5	-	27	14	-	-	-										
Ill.	77	78	-	7	15	-	24	53	-	-	1										
Mich.	27	28	-	7	32	1	31	19	-	-	2										
Wis.	20	26	U	-	1	U	20	71	U	2	-										
W.N. CENTRAL	139	132	-	9	5	4	128	66	-	-	-										
Minn.	17	14	-	3	1	2	84	42	-	-	-										
Iowa	29	28	-	4	-	1	16	3	-	-	-										
Mo.	70	55	-	-	2	-	16	14	-	-	-										
N. Dak.	1	2	-	-	2	-	2	-	-	-	-										
S. Dak.	4	4	-	-	-	1	2	1	-	-	-										
Nebr.	6	12	-	2	-	-	3	2	-	-	-										
Kans.	12	17	-	-	-	-	5	4	-	-	-										
S. ATLANTIC	335	268	1	41	46	1	199	157	-	21	14										
Del.	4	2	-	-	-	-	-	13	-	-	-										
Md.	31	30	-	4	16	-	72	55	-	-	-										
D.C.	1	6	-	-	-	-	2	-	-	-	1										
Va.	30	32	-	4	4	-	19	18	-	1	2										
W. Va.	12	10	-	-	-	-	4	2	-	-	-										
N.C.	55	45	-	7	9	-	46	27	-	10	-										
S.C.	41	36	-	9	5	-	8	5	-	9	1										
Ga.	69	74	-	4	2	-	7	7	-	-	-										
Fla.	92	33	1	13	10	1	41	30	-	1	10										
E.S. CENTRAL	140	131	1	16	15	2	39	148	-	-	2										
Ky.	35	19	1	3	-	-	2	128	-	-	-										
Tenn.	50	39	-	3	1	2	17	12	-	-	-										
Ala.	39	37	-	6	3	-	12	4	-	-	2										
Miss.	16	36	U	4	11	U	8	4	U	-	N										
W.S. CENTRAL	195	205	4	33	27	-	38	49	-	4	7										
Ark.	25	26	-	-	-	-	7	2	-	-	-										
La.	33	35	4	11	10	-	11	4	-	-	1										
Okla.	23	20	-	-	-	-	5	4	-	-	-										
Tex.	114	124	-	22	17	-	15	39	-	4	6										
MOUNTAIN	109	109	3	41	14	31	691	164	-	4	6										
Mont.	8	5	-	-	-	1	8	5	-	-	-										
Idaho	7	12	-	2	-	21	509	58	-	1	2										
Wyo.	1	3	-	1	-	-	4	-	-	-	-										
Colo.	30	19	-	3	2	5	118	30	-	-	2										
N. Mex.	18	20	N	N	N	-	31	30	-	-	-										
Ariz.	28	27	2	27	1	4	15	12	-	3	1										
Utah	11	11	1	6	2	-	4	5	-	-	-										
Nev.	6	12	-	2	9	-	2	24	-	-	1										
PACIFIC	404	412	1	93	104	16	337	403	-	12	51										
Wash.	51	52	-	12	10	14	177	154	-	-	11										
Oreg.	83	74	-	1	-	1	17	30	-	-	1										
Calif.	267	280	1	69	78	1	136	208	-	7	36										
Alaska	1	4	-	2	2	-	1	1	-	-	-										
Hawaii	2	2	-	9	14	-	6	10	-	5	3										
Guam	-	1	U	1	4	U	-	-	U	-	-										
P.R.	8	8	-	4	1	-	-	2	-	-	-										
V.I.	-	-	U	-	1	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	4	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


