
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending August 29, 1998 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1998
H. influenzae, Invasive cummulative for 1997
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1997
Hepatitis (Viral), Type B cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1997
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1998
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1998
Measles (Rubeola), Total cummulative for 1998
Measles (Rubeola), Total cummulative for 1997

tab delimited data:
test
UNITED STATES	715	745	14,253	18,112	5,381	6,132	-	29	-	18	47	105									
NEW ENGLAND	39	42	159	457	107	113	-	1	-	2	3	19									
Maine	2	4	15	47	2	6	-	-	-	-	-	1									
N.H.	7	6	8	21	11	7	-	-	-	-	-	1									
Vt.	5	3	13	8	3	6	-	-	-	1	1	-									
Mass.	22	25	46	194	22	49	-	1	-	1	2	16									
R.I.	2	2	11	103	51	12	-	-	-	-	-	-									
Conn.	1	2	66	84	18	33	-	-	-	-	-	1									
MID. ATLANTIC	100	111	975	1,411	768	898	-	9	-	4	13	23									
Upstate N.Y.	41	32	234	216	205	187	-	2	-	-	2	5									
N.Y. City	20	30	238	629	196	340	-	-	-	-	-	7									
N.J.	34	34	224	203	144	164	-	7	-	1	8	3									
Pa.	5	15	279	363	223	207	-	-	-	3	3	8									
E.N. CENTRAL	122	124	2,037	1,863	549	996	-	11	-	3	14	9									
Ohio	42	69	228	226	53	57	-	-	-	1	1	-									
Ind.	31	12	110	208	70	74	-	2	-	1	3	-									
Ill.	42	28	336	500	111	190	-	-	-	-	-	7									
Mich.	3	15	1,242	792	290	292	-	9	-	1	10	2									
Wis.	4	-	121	137	25	383	-	-	-	-	-	-									
W.N. CENTRAL	70	38	981	1,415	262	322	-	-	-	-	-	12									
Minn.	55	27	90	129	31	25	-	-	-	-	-	3									
Iowa	2	4	376	277	47	26	-	-	-	-	-	-									
Mo.	8	4	391	722	151	234	-	-	-	-	-	1									
N. Dak.	-	-	3	10	4	4	-	-	-	-	-	-									
S. Dak.	-	2	21	17	1	1	-	-	-	-	-	8									
Nebr.	-	1	24	63	9	9	-	-	-	-	-	-									
Kans.	5	-	76	197	19	23	-	-	-	-	-	-									
S. ATLANTIC	147	117	1,217	1,092	797	799	-	3	-	5	8	10									
Del.	-	-	3	23	-	4	-	-	-	1	1	-									
Md.	41	44	202	135	107	113	-	-	-	1	1	2									
D.C.	-	-	38	17	8	25	U	-	U	-	-	1									
Va.	13	10	153	143	72	82	-	-	-	2	2	1									
W. Va.	4	3	3	8	5	11	-	-	-	-	-	-									
N.C.	22	17	74	126	150	171	-	-	-	-	-	1									
S.C.	3	4	22	74	24	68	-	-	-	-	-	1									
Ga.	32	23	360	242	123	90	-	1	-	1	2	1									
Fla.	32	16	362	324	308	235	-	2	-	-	2	3									
E.S. CENTRAL	40	40	269	429	267	465	-	-	-	1	1	1									
Ky.	6	6	17	53	30	27	-	-	-	-	-	-									
Tenn.	22	24	157	266	187	299	-	-	-	-	-	-									
Ala.	10	8	52	60	49	46	-	-	-	1	1	1									
Miss.	2	2	43	50	1	93	-	-	-	-	-	-									
W.S. CENTRAL	42	33	2,779	3,681	914	755	-	-	-	-	-	7									
Ark.	-	2	68	157	57	56	-	-	-	-	-	-									
La.	19	7	51	139	66	95	-	-	-	-	-	-									
Okla.	20	22	388	1,053	59	27	-	-	-	-	-	-									
Tex.	3	2	2,272	2,332	732	577	-	-	-	-	-	7									
MOUNTAIN	74	70	2,163	2,813	560	585	-	-	-	-	-	7									
Mont.	-	-	72	58	5	6	-	-	-	-	-	-									
Idaho	-	1	187	97	23	24	-	-	-	-	-	-									
Wyo.	1	3	27	24	4	20	-	-	-	-	-	-									
Colo.	16	13	191	292	75	109	-	-	-	-	-	-									
N. Mex.	5	7	108	223	233	180	-	-	-	-	-	-									
Ariz.	41	28	1,352	1,398	138	137	-	-	-	-	-	5									
Utah	4	3	141	423	51	65	-	-	-	-	-	-									
Nev.	7	15	85	298	31	44	U	-	U	-	-	2									
PACIFIC	81	170	3,673	4,951	1,157	1,199	-	5	-	3	8	17									
Wash.	7	3	716	359	73	51	-	-	-	1	1	1									
Oreg.	34	27	252	246	74	73	-	-	-	-	-	-									
Calif.	32	130	2,659	4,219	996	1,056	-	4	-	2	6	12									
Alaska	1	3	15	25	9	11	-	1	-	-	1	-									
Hawaii	7	7	31	102	5	8	-	-	-	-	-	4									
Guam	-	-	-	-	-	3	U	-	U	-	-	-									
P.R.	2	-	47	215	314	502	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	6	3	1	28	34	U	-	U	-	-	1									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


