
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 13, 2004 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	-	8,321	140,132	157,427	1,364	657	488	454	5	57											
NEW ENGLAND	-	279	5,532	5,261	-	-	28	25	-	-											
Maine	-	8	213	347	N	N	4	1	-	-											
N.H.	-	3	330	290	-	-	7	3	-	-											
Vt.	-	5	220	207	-	-	3	3	-	-											
Mass.	-	111	2,822	2,011	-	-	10	13	-	-											
R.I.	-	21	704	526	-	-	-	3	-	-											
Conn.	-	131	1,243	1,880	N	N	4	2	-	-											
MID. ATLANTIC	-	2,163	20,739	17,663	-	-	87	50	1	-											
Upstate N.Y.	-	92	3,563	2,776	N	N	18	10	-	-											
N.Y. City	-	1,272	6,286	6,316	-	-	14	22	-	-											
N.J.	-	296	2,331	2,854	-	-	4	2	-	-											
Pa.	-	503	8,559	5,717	N	N	51	16	1	-											
E.N. CENTRAL	-	856	21,469	30,078	3	2	100	77	-	-											
Ohio	-	128	2,561	8,210	-	-	35	11	-	-											
Ind.	-	119	3,426	3,419	N	N	14	4	-	-											
Ill.	-	365	5,470	9,531	-	-	8	13	-	-											
Mich.	-	202	8,152	5,628	3	2	21	17	-	-											
Wis.	-	42	1,860	3,290	-	-	22	32	-	-											
W.N. CENTRAL	-	136	7,983	8,988	-	1	56	28	1	-											
Minn.	-	23	1,223	2,090	N	N	19	16	-	-											
Iowa	-	23	-	783	N	N	7	5	-	-											
Mo.	-	73	3,665	3,407	-	1	13	2	1	-											
N. Dak.	-	-	207	200	N	N	-	-	-	-											
S. Dak.	-	4	456	437	-	-	4	4	-	-											
Nebr.	-	6	943	779	-	-	1	1	-	-											
Kans.	-	7	1,489	1,292	N	N	12	-	-	-											
S. ATLANTIC	-	1,814	22,388	27,804	-	-	98	163	2	57											
Del.	-	49	589	573	N	N	-	1	-	-											
Md.	-	187	3,805	2,941	-	-	6	6	-	-											
D.C.	-	233	633	649	-	-	1	-	-	-											
Va.	-	264	1,245	2,694	-	-	9	4	-	-											
W. Va.	-	13	404	490	N	N	-	-	-	-											
N.C.	-	192	4,926	4,500	N	N	24	4	-	-											
S.C.	-	169	3,354	2,577	-	-	2	1	1	-											
Ga.	-	415	743	5,720	-	-	30	18	-	-											
Fla.	-	292	6,689	7,660	N	N	26	129	1	57											
E.S. CENTRAL	-	324	8,972	10,587	N	N	19	19	-	-											
Ky.	-	38	1,110	1,637	N	N	5	2	-	-											
Tenn.	-	145	3,654	3,492	N	N	10	9	-	-											
Ala.	-	64	2,025	2,838	-	-	2	6	-	-											
Miss.	-	77	2,183	2,620	N	N	2	2	-	-											
W.S. CENTRAL	-	940	19,879	19,801	-	1	19	8	1	-											
Ark.	-	23	1,460	1,171	-	-	8	2	-	-											
La.	-	49	4,870	3,849	N	N	-	-	1	-											
Okla.	-	40	1,481	1,553	N	N	8	1	-	-											
Tex.	-	828	12,068	13,228	-	1	3	5	-	-											
MOUNTAIN	-	312	8,552	10,010	1,035	501	26	15	-	-											
Mont.	-	7	27	399	N	N	1	1	-	-											
Idaho	-	4	647	490	N	N	1	4	-	-											
Wyo.	-	2	215	208	-	-	2	-	-	-											
Colo.	-	72	1,191	2,571	N	N	15	3	-	-											
N. Mex.	-	27	1,245	1,544	2	-	1	-	-	-											
Ariz.	-	145	3,675	3,154	1,020	493	5	1	-	-											
Utah	-	14	498	476	4	1	-	4	-	-											
Nev.	-	41	1,054	1,168	9	7	1	2	-	-											
PACIFIC	-	1,497	24,618	27,235	326	152	55	69	-	-											
Wash.	-	117	3,285	2,833	N	N	3	-	-	-											
Oreg.	-	66	1,312	1,296	-	-	6	5	-	-											
Calif.	-	1,294	19,388	21,402	326	152	45	64	-	-											
Alaska	-	7	622	674	-	-	-	-	-	-											
Hawaii	-	13	11	1,030	-	-	1	-	-	-											
Guam	-	1	-	-	-	-	-	-	-	-											
P.R.	-	235	298	199	N	N	N	N	-	-											
V.I.	-	6	-	60	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	32	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


