
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending June 7, 2008 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	58	167	843	2,682	4,170	89	91	176	1,666	2,460	20	27	195	197	503						
NEW ENGLAND	-	26	49	268	613	3	8	20	145	238	-	0	2	-	4						
Conn.	-	1	5	-	29	1	4	17	80	96	-	0	0	-	-						
Maine	-	1	5	16	35	-	1	5	20	39	N	0	0	N	N						
Mass.	-	18	36	224	490	N	0	0	N	N	-	0	2	-	4						
N.H.	-	1	5	9	35	-	1	4	14	19	-	0	1	-	-						
R.I.	-	0	25	14	4	N	0	0	N	N	-	0	0	-	-						
Vt.	-	0	6	5	20	2	2	6	31	84	-	0	0	-	-						
MID. ATLANTIC	8	22	43	320	548	13	19	29	366	422	-	1	6	19	29						
N.J.	-	2	9	3	91	-	0	0	-	-	-	0	2	2	9						
N.Y. (Upstate)	6	7	23	120	267	13	9	20	167	191	-	0	2	5	1						
N.Y. City	-	2	7	29	61	-	0	2	10	24	-	0	2	8	11						
Pa.	2	8	23	168	129	-	8	18	189	207	-	0	2	4	8						
E.N. CENTRAL	7	19	188	580	931	1	3	43	25	33	-	1	3	3	19						
Ill.	-	3	8	51	87	N	0	0	N	N	-	0	3	1	14						
Ind.	-	0	12	20	15	-	0	1	1	5	-	0	2	1	1						
Mich.	3	4	16	68	125	-	1	32	14	16	-	0	1	-	2						
Ohio	4	9	176	441	353	1	1	11	10	12	-	0	2	1	2						
Wis.	-	0	21	-	351	N	0	0	N	N	-	0	1	-	-						
W.N. CENTRAL	20	12	142	251	303	4	4	13	49	102	2	4	33	44	83						
Iowa	-	1	8	29	83	-	0	3	8	11	-	0	4	-	5						
Kans.	-	2	5	26	80	-	0	7	-	61	-	0	2	-	6						
Minn.	14	0	131	63	40	1	0	6	19	6	-	0	4	-	1						
Mo.	2	2	18	102	40	3	0	3	10	8	2	3	25	44	65						
Nebr.	4	1	12	27	14	-	0	0	-	-	-	0	2	-	4						
N. Dak.	-	0	5	1	3	-	0	8	10	7	-	0	0	-	-						
S. Dak.	-	0	2	3	43	-	0	2	2	9	-	0	1	-	2						
S. ATLANTIC	8	13	50	243	433	58	39	61	879	1,017	6	10	110	62	232						
Del.	-	0	2	4	3	-	0	0	-	-	-	0	2	3	9						
D.C.	-	0	1	2	7	-	0	0	-	-	-	0	2	2	2						
Fla.	7	3	9	77	103	-	0	25	53	128	-	0	3	3	3						
Ga.	-	0	3	4	20	37	6	17	150	103	1	0	6	9	24						
Md.	-	1	6	28	58	8	9	18	183	172	1	1	6	14	18						
N.C.	-	0	38	59	148	10	9	16	213	220	-	0	96	11	131						
S.C.	-	1	22	25	42	-	0	0	-	46	-	0	7	4	17						
Va.	1	2	11	42	45	-	12	27	226	311	4	1	10	15	27						
W. Va.	-	0	12	2	7	3	0	11	54	37	-	0	3	1	1						
E.S. CENTRAL	1	7	31	84	114	1	1	7	64	9	4	4	16	33	93						
Ala.	-	1	6	18	32	-	0	0	-	-	-	1	10	10	25						
Ky.	-	0	4	12	11	-	0	3	14	9	-	0	2	-	2						
Miss.	-	3	29	34	25	1	0	1	2	-	-	0	3	1	5						
Tenn.	1	1	4	20	46	-	0	6	48	-	4	1	10	22	61						
W.S. CENTRAL	2	18	192	217	390	6	13	40	48	521	7	2	153	29	29						
Ark.	-	2	17	24	88	6	1	6	32	11	-	0	15	1	1						
La.	-	0	2	2	11	-	0	0	-	-	-	0	2	2	1						
Okla.	2	0	26	10	2	-	0	32	16	45	7	0	132	20	20						
Tex.	-	15	175	181	289	-	10	34	-	465	-	1	8	6	7						
MOUNTAIN	7	19	37	384	538	-	2	8	22	14	1	0	4	5	12						
Ariz.	-	3	8	82	142	N	0	0	N	N	1	0	1	3	2						
Colo.	2	4	13	63	136	-	0	0	-	-	-	0	2	-	-						
Idaho	-	0	4	18	21	-	0	4	-	-	-	0	1	-	2						
Mont.	-	0	11	56	30	-	0	3	-	1	-	0	1	1	-						
Nev.	-	0	7	14	21	-	0	2	1	1	-	0	0	-	-						
N. Mex.	-	1	7	21	27	-	0	3	14	4	-	0	1	1	1						
Utah	5	6	27	126	146	-	0	2	1	4	-	0	0	-	-						
Wyo.	-	0	2	4	15	-	0	4	6	4	-	0	2	-	7						
