
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending June 2, 2007 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2007
Lyme disease cummulative for 2006
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2007
Malaria cummulative for 2006
Meningococcal diseases, invasive †, all serogroups current week
Meningococcal diseases, invasive †, all serogroups previous 52 weeks median 
Meningococcal diseases, invasive †, all serogroups previous 52 weeks maximum 
Meningococcal diseases, invasive †, all serogroups cummulative for 2007
Meningococcal diseases, invasive †, all serogroups cummulative for 2006

tab delimited data:
test
UNITED STATES	44	236	1,149	2,333	2,842	9	24	80	314	483	7	19	84	475	591						
NEW ENGLAND	3	37	381	154	428	-	1	10	12	30	-	1	3	20	25						
Conn.	-	10	227	62	73	-	0	3	-	1	-	0	2	4	6						
Maine	-	1	38	18	35	-	0	1	3	2	-	0	3	3	2						
Mass.	-	1	112	2	238	-	0	4	8	23	-	0	3	10	15						
N.H.	3	5	70	61	71	-	0	3	1	3	-	0	1	-	1						
R.I.	-	0	93	-	1	-	0	1	-	-	-	0	1	1	-						
Vt.	-	1	15	11	10	-	0	0	-	1	-	0	1	2	1						
MID. ATLANTIC	12	127	560	1,111	1,532	-	5	18	68	116	1	2	8	57	93						
N.J.	-	26	192	102	553	-	1	7	-	35	-	0	2	1	11						
N.Y. (Upstate)	-	46	426	309	436	-	1	7	18	9	-	1	2	15	18						
N.Y. City	-	3	23	6	27	-	3	9	41	60	-	1	4	17	34						
Pa.	12	40	223	694	516	-	1	4	9	12	1	0	5	24	30						
E.N. CENTRAL	1	6	162	28	338	1	3	10	37	57	-	3	8	63	88						
Ill.	-	1	16	4	17	-	1	6	10	23	-	0	3	13	25						
Ind.	1	0	3	3	2	1	0	2	2	6	-	0	4	14	11						
Mich.	-	1	5	8	4	-	0	2	7	8	-	0	3	13	15						
Ohio	-	0	5	3	15	-	0	2	11	14	-	1	3	17	25						
Wis.	-	4	154	10	300	-	0	3	7	6	-	0	2	6	12						
W.N. CENTRAL	4	5	195	64	87	-	1	12	19	21	1	1	5	31	35						
Iowa	-	1	8	8	30	-	0	1	2	1	-	0	3	7	9						
Kans.	-	0	2	6	3	-	0	2	1	-	-	0	1	1	1						
Minn.	4	2	188	45	50	-	0	12	11	14	-	0	3	9	8						
Mo.	-	0	3	5	-	-	0	1	2	3	-	0	3	8	11						
Nebr.	-	0	2	-	4	-	0	1	2	1	-	0	1	2	5						
N. Dak.	-	0	7	-	-	-	0	1	-	1	-	0	3	2	1						
S. Dak.	-	0	1	-	-	-	0	1	1	1	1	0	1	2	-						
S. ATLANTIC	21	45	134	893	425	7	5	14	81	123	3	3	11	70	97						
Del.	2	9	28	205	156	-	0	1	2	3	1	0	1	1	3						
D.C.	-	0	7	13	7	-	0	2	3	-	-	0	1	-	-						
Fla.	2	0	3	15	8	1	1	4	18	19	1	1	7	26	38						
Ga.	-	0	1	1	1	1	1	5	9	46	-	0	3	8	10						
Md.	7	23	106	491	226	-	1	4	20	22	1	0	2	15	6						
N.C.	2	0	4	8	9	4	0	4	11	11	-	0	6	6	15						
S.C.	-	0	2	5	3	1	0	2	3	4	-	0	2	7	11						
Va.	8	8	36	151	15	-	1	4	14	17	-	0	2	7	11						
W. Va.	-	0	14	4	-	-	0	1	1	1	-	0	2	-	3						
E.S. CENTRAL	-	1	4	11	2	-	0	3	14	9	-	1	4	28	21						
Ala.	-	0	3	2	1	-	0	2	3	4	-	0	2	6	4						
Ky.	-	0	2	-	-	-	0	1	3	1	-	0	2	5	5						
Miss.	-	0	1	-	-	-	0	1	1	2	-	0	4	6	3						
Tenn.	-	0	3	9	1	-	0	2	7	2	-	0	2	11	9						
W.S. CENTRAL	-	1	6	18	5	-	1	7	13	29	-	1	13	42	57						
Ark.	-	0	0	-	-	-	0	2	-	1	-	0	2	5	6						
La.	-	0	1	2	-	-	0	2	11	1	-	0	4	11	26						
Okla.	-	0	0	-	-	-	0	3	1	2	-	0	4	11	8						
Tex.	-	1	6	16	5	-	1	6	1	25	-	0	9	15	17						
MOUNTAIN	-	0	3	8	4	1	1	6	22	24	1	1	5	41	36						
Ariz.	-	0	1	-	3	1	0	3	5	7	-	0	3	11	10						
Colo.	-	0	0	-	-	-	0	2	9	8	-	0	2	14	13						
Idaho	-	0	2	2	-	-	0	1	-	-	1	0	1	3	1						
Mont.	-	0	1	1	-	-	0	1	2	1	-	0	1	1	2						
Nev.	-	0	2	5	-	-	0	1	1	-	-	0	1	3	3						
N. Mex.	-	0	1	-	1	-	0	1	-	1	-	0	1	1	1						
Utah	-	0	1	-	-	-	0	2	5	7	-	0	2	7	4						
Wyo.	-	0	1	-	-	-	0	0	-	-	-	0	2	1	2						
PACIFIC	3	2	16	46	21	-	3	45	48	74	1	4	48	123	139						
Alaska	-	0	1	2	-	-	0	4	2	8	-	0	1	1	2						
Calif.	2	2	8	43	21	-	2	6	33	58	-	3	10	90	110						
Hawaii	N	0	0	N	N	-	0	1	2	2	-	0	1	2	4						
Oreg.	1	0	1	1	-	-	0	3	8	6	1	0	3	16	23						
Wash.	-	0	8	-	-	-	0	43	3	-	-	0	43	14	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	-	-						
