
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending March 31, 2012 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	1	9	90	19	16	5	16	59	38	27	-	1	8	4	6						
NEW ENGLAND	-	0	1	2	-	4	3	28	11	19	-	0	1	-	-						
Conn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	1	-	-	2	0	3	3	1	-	0	0	-	-						
Mass.	-	0	0	-	-	-	1	18	-	2	-	0	0	-	-						
N.H.	-	0	1	-	-	-	0	5	1	-	-	0	1	-	-						
R.I.	-	0	1	2	-	2	0	15	7	16	-	0	1	-	-						
Vt.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
MID. ATLANTIC	1	1	5	2	2	-	6	52	20	3	-	0	2	1	1						
N.J.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N.Y. (Upstate)	1	0	4	1	-	-	3	52	15	2	-	0	2	1	1						
N.Y. City	-	0	2	1	2	-	1	5	5	1	-	0	0	-	-						
Pa.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
E.N. CENTRAL	-	0	5	-	2	-	0	2	1	1	-	0	6	-	3						
Ill.	-	0	4	-	1	-	0	2	1	-	-	0	0	-	2						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	4	-	1						
Mich.	-	0	2	-	-	-	0	0	-	-	-	0	2	-	-						
Ohio	-	0	1	-	1	-	0	1	-	-	-	0	1	-	-						
Wis.	-	0	0	-	-	-	0	1	-	1	-	0	1	-	-						
W.N. CENTRAL	-	1	16	1	2	-	0	6	-	-	-	0	6	-	-						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	2	-	-	-	0	1	-	-	-	0	1	-	-						
Minn.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
Mo.	-	1	16	1	2	-	0	5	-	-	-	0	6	-	-						
Nebr.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
N. Dak.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
S. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
S. ATLANTIC	-	4	33	13	10	-	1	8	3	3	-	0	2	2	-						
Del.	-	0	2	-	1	-	0	1	-	-	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	3	2	-	0	3	-	-	-	0	0	-	-						
Ga.	-	0	3	6	1	-	0	2	2	-	-	0	1	1	-						
Md.	-	0	3	1	4	-	0	2	-	1	-	0	1	1	-						
N.C.	-	0	17	1	2	-	0	6	-	2	-	0	0	-	-						
S.C.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
Va.	-	1	13	2	-	-	0	3	1	-	-	0	1	-	-						
W. Va.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	-	1	8	1	-	-	0	2	2	1	-	0	3	-	-						
Ala.	-	0	2	-	-	-	0	1	2	1	N	0	0	N	N						
Ky.	-	0	3	-	-	-	0	0	-	-	-	0	0	-	-						
Miss.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
Tenn.	-	0	5	1	-	-	0	1	-	-	-	0	3	-	-						
W.S. CENTRAL	-	0	30	-	-	1	0	3	1	-	-	0	0	-	-						
Ark.	-	0	13	-	-	-	0	3	-	-	-	0	0	-	-						
La.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Okla.	-	0	25	-	-	-	0	1	-	-	-	0	0	-	-						
Tex.	-	0	1	-	-	1	0	2	1	-	-	0	0	-	-						
MOUNTAIN	-	0	0	-	-	-	0	0	-	-	-	0	1	-	2						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	2						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
PACIFIC	-	0	0	-	-	-	0	2	-	-	-	0	2	1	-						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	0	-	-	-	0	0	-	-	-	0	2	1	-						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	2	-	-	-	0	0	-	-						
Wash.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Please refer to the MMWR publication for weekly updates to the footnote for this condition.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


