
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending March 2, 2002 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	44	12	1	1	-	-	3,600	4,087													
NEW ENGLAND	-	-	1	-	-	-	209	250													
Maine	-	-	-	-	-	-	33	9													
N.H.	-	-	-	-	-	-	7	14													
Vt.	-	-	-	-	-	-	9	13													
Mass.	-	-	1	-	-	-	112	169													
R.I.	-	-	-	-	-	-	5	11													
Conn.	-	-	-	-	-	-	43	34													
MID. ATLANTIC	4	1	-	1	-	-	299	643													
Upstate N.Y.	-	-	-	1	-	-	96	90													
N.Y. City	-	-	-	-	-	-	84	156													
N.J.	-	-	-	-	-	-	37	233													
Pa.	4	1	-	-	-	-	82	164													
E.N. CENTRAL	3	2	-	-	-	-	625	555													
Ohio	3	-	-	-	-	-	238	164													
Ind.	-	1	-	-	-	-	39	29													
Ill.	-	1	-	-	-	-	197	173													
Mich.	-	-	-	-	-	-	100	103													
Wis.	-	-	-	-	-	-	51	86													
W.N. CENTRAL	1	2	-	-	-	-	268	223													
Minn.	-	-	-	-	-	-	48	75													
Iowa	-	-	-	-	-	-	45	27													
Mo.	1	2	-	-	-	-	131	56													
N. Dak.	-	-	-	-	-	-	-	1													
S. Dak.	-	-	-	-	-	-	15	14													
Nebr.	-	-	-	-	-	-	-	16													
Kans.	-	-	-	-	-	-	29	34													
S. ATLANTIC	34	5	-	-	-	-	1,075	958													
Del.	-	-	-	-	-	-	9	12													
Md.	6	1	-	-	-	-	86	105													
D.C.	-	-	-	-	-	-	9	13													
Va.	1	-	-	-	-	-	81	89													
W. Va.	-	-	-	-	-	-	5	3													
N.C.	23	4	-	-	-	-	162	170													
S.C.	3	-	-	-	-	-	63	75													
Ga.	-	-	-	-	-	-	321	301													
Fla.	1	-	-	-	-	-	339	190													
E.S. CENTRAL	2	2	-	-	-	-	211	221													
Ky.	-	-	-	-	-	-	27	37													
Tenn.	2	1	-	-	-	-	68	47													
Ala.	-	1	-	-	-	-	76	91													
Miss.	-	-	-	-	-	-	40	46													
W.S. CENTRAL	-	-	-	-	-	-	84	431													
Ark.	-	-	-	-	-	-	40	32													
La.	-	-	-	-	-	-	1	76													
Okla.	-	-	-	-	-	-	41	17													
Tex.	-	-	-	-	-	-	2	306													
MOUNTAIN	-	-	-	-	-	-	264	247													
Mont.	-	-	-	-	-	-	3	8													
Idaho	-	-	-	-	-	-	14	7													
Wyo.	-	-	-	-	-	-	7	11													
Colo.	-	-	-	-	-	-	80	62													
N. Mex.	-	-	-	-	-	-	36	28													
Ariz.	-	-	-	-	-	-	64	89													
Utah	-	-	-	-	-	-	25	27													
Nev.	-	-	-	-	-	-	35	15													
PACIFIC	-	-	-	-	-	-	565	559													
Wash.	-	-	-	-	-	-	22	29													
Oreg.	-	-	-	-	-	-	50	9													
Calif.	-	-	-	-	-	-	446	455													
Alaska	-	-	-	-	-	-	12	7													
Hawaii	-	-	-	-	-	-	35	59													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	9	126													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	1	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


