
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending June 25, 2011 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	6	6	109	117	248	20	15	145	88	746	-	1	13	28	38						
NEW ENGLAND	-	0	2	2	3	-	1	8	11	47	-	0	0	-	2						
Conn.	-	0	0	-	-	-	0	6	-	14	-	0	0	-	-						
Maine	-	0	1	1	2	-	0	2	6	11	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N.H.	-	0	1	1	1	-	0	3	5	8	-	0	0	-	2						
R.I.	-	0	1	-	-	-	0	6	-	13	-	0	0	-	-						
Vt.	-	0	0	-	-	-	0	1	-	1	-	0	0	-	-						
MID. ATLANTIC	2	1	8	12	41	18	4	17	45	74	-	0	2	1	6						
N.J.	-	0	6	-	32	-	0	6	-	36	-	0	0	-	1						
N.Y. (Upstate)	2	0	7	8	6	18	3	14	37	36	-	0	2	1	4						
N.Y. City	-	0	2	4	2	-	0	3	8	2	-	0	0	-	-						
Pa.	-	0	1	-	1	-	0	1	-	-	-	0	1	-	1						
E.N. CENTRAL	-	0	4	8	19	-	1	45	3	248	-	0	6	13	18						
Ill.	-	0	2	5	8	-	0	2	-	1	-	0	1	2	3						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	3	9	7						
Mich.	-	0	1	1	-	-	0	1	-	1	-	0	1	1	-						
Ohio	-	0	3	2	1	-	0	1	1	-	-	0	0	-	-						
Wis.	-	0	1	-	10	-	1	45	2	246	-	0	3	1	8						
W.N. CENTRAL	-	1	13	28	54	-	2	77	6	346	-	0	11	9	2						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	2	2	2	-	0	1	-	-	-	0	0	-	-						
Minn.	-	0	12	-	-	-	1	75	1	343	-	0	11	-	-						
Mo.	-	0	13	26	52	-	0	2	5	3	-	0	3	8	2						
Nebr.	-	0	1	-	-	-	0	0	-	-	-	0	1	1	-						
N. Dak.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
S. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
S. ATLANTIC	2	3	18	51	90	2	1	5	18	26	-	0	1	1	1						
Del.	-	0	2	7	9	-	0	1	1	2	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	10	4	-	0	1	3	1	-	0	0	-	-						
Ga.	-	0	3	5	14	-	0	1	5	1	-	0	1	1	1						
Md.	1	0	3	7	9	1	0	2	1	8	-	0	1	-	-						
N.C.	-	0	13	7	31	-	0	4	6	10	-	0	0	-	-						
S.C.	-	0	1	-	2	-	0	1	-	-	-	0	0	-	-						
Va.	1	1	8	15	20	1	0	2	2	4	-	0	1	-	-						
W. Va.	-	0	1	-	1	-	0	0	-	-	-	0	0	-	-						
E.S. CENTRAL	2	0	11	16	31	-	0	2	5	5	-	0	1	1	7						
Ala.	-	0	3	-	4	-	0	2	2	1	N	0	0	N	N						
Ky.	-	0	2	3	4	-	0	0	-	-	-	0	0	-	1						
Miss.	-	0	1	-	1	-	0	1	-	1	-	0	0	-	1						
Tenn.	2	0	7	13	22	-	0	2	3	3	-	0	1	1	5						
W.S. CENTRAL	-	0	87	-	9	-	0	9	-	-	-	0	1	-	-						
Ark.	-	0	5	-	-	-	0	2	-	-	-	0	0	-	-						
La.	-	0	0	-	1	-	0	0	-	-	-	0	0	-	-						
Okla.	-	0	82	-	7	-	0	7	-	-	-	0	0	-	-						
Tex.	-	0	1	-	1	-	0	1	-	-	-	0	1	-	-						
MOUNTAIN	-	0	0	-	-	-	0	0	-	-	-	0	1	2	-						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	2	-						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
PACIFIC	-	0	1	-	1	-	0	0	-	-	-	0	1	1	2						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	1	-	1	-	0	0	-	-	-	0	1	1	2						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Wash.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2010 and 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Please refer to the MMWR publication for weekly updates to the footnote for this condition.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


