
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending February 5, 2000 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Malaria cummulative for 2000
Malaria cummulative for 1999
Rabies, Animal cummulative for 2000
Rabies, Animal cummulative for 1999
Salmonellosis, NETSS cummulative for 2000
Salmonellosis, NETSS cummulative for 1999
Salmonellosis, PHLIS cummulative for 2000
Salmonellosis, PHLIS cummulative for 1999

tab delimited data:
test
UNITED STATES	46	110	210	380	1,476	2,216	502	2,346													
NEW ENGLAND	-	2	35	62	91	121	64	132													
Maine	-	-	7	5	9	16	-	8													
N.H.	-	-	-	4	10	-	2	5													
Vt.	-	-	2	10	1	7	1	8													
Mass.	-	2	16	20	52	73	39	68													
R.I.	-	-	-	7	1	3	1	14													
Conn.	-	-	10	16	18	22	21	29													
MID. ATLANTIC	5	38	48	71	72	343	4	291													
Upstate N.Y.	4	6	42	40	30	50	4	86													
N.Y. City	1	17	U	U	38	115	-	117													
N.J.	-	12	6	18	-	98	-	85													
Pa.	-	3	-	13	4	80	-	3													
E.N. CENTRAL	3	12	-	1	202	396	88	355													
Ohio	2	1	-	-	82	84	41	67													
Ind.	-	-	-	-	15	13	-	24													
Ill.	-	6	-	-	66	120	-	125													
Mich.	1	2	-	1	35	101	33	98													
Wis.	-	3	-	-	4	78	14	41													
W.N. CENTRAL	-	6	15	55	67	98	65	151													
Minn.	-	-	11	9	21	21	20	48													
Iowa	-	2	3	6	11	15	8	18													
Mo.	-	4	1	2	28	34	17	45													
N. Dak.	-	-	-	10	-	1	1	4													
S. Dak.	-	-	-	19	-	2	4	8													
Nebr.	-	-	-	1	7	11	2	14													
Kans.	-	-	-	8	-	14	13	14													
S. ATLANTIC	18	27	91	139	260	348	87	421													
Del.	-	-	5	3	8	10	2	8													
Md.	13	11	17	40	59	63	21	52													
D.C.	-	5	-	-	-	11	U	U													
Va.	3	2	31	29	28	47	-	56													
W. Va.	-	1	-	7	-	4	7	8													
N.C.	2	1	21	35	73	102	30	90													
S.C.	-	-	2	8	41	18	27	36													
Ga.	-	2	-	-	-	27	-	125													
Fla.	-	5	15	17	51	66	-	46													
E.S. CENTRAL	2	2	2	11	82	180	-	86													
Ky.	1	-	2	2	10	34	U	U													
Tenn.	-	1	-	8	17	47	-	57													
Ala.	1	1	-	1	35	54	-	23													
Miss.	-	-	-	-	20	45	-	6													
W.S. CENTRAL	-	1	-	8	52	93	70	259													
Ark.	-	-	-	-	13	23	6	24													
La.	-	-	-	-	-	-	18	44													
Okla.	-	-	-	8	-	21	-	3													
Tex.	-	1	-	-	39	49	46	188													
MOUNTAIN	5	3	11	11	175	178	84	167													
Mont.	-	1	5	1	5	1	-	-													
Idaho	-	-	-	-	13	4	-	8													
Wyo.	-	-	4	5	1	2	-	4													
Colo.	1	-	-	1	21	45	10	44													
N. Mex.	-	1	-	-	13	20	5	20													
Ariz.	2	1	2	4	69	63	37	51													
Utah	2	-	-	-	38	21	32	25													
Nev.	-	-	-	-	15	22	-	15													
PACIFIC	13	19	8	22	475	459	40	484													
Wash.	-	1	-	-	7	7	2	61													
Oreg.	1	2	-	-	31	25	36	47													
Calif.	12	15	8	22	408	387	-	337													
Alaska	-	-	-	-	7	6	2	3													
Hawaii	-	1	-	-	22	34	-	36													
Guam	-	-	-	-	-	9	U	U													
P.R.	-	-	2	4	-	37	U	U													
V.I.	-	U	-	U	-	U	U	U													
Amer. Samoa	-	U	-	U	-	U	U	U													
C.N.M.I.	-	U	-	U	-	U	U	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


