
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending July 19, 2003 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	16,521	19,074	10,394	8,852	3,421	3,041	1,408	1,654	275	196											
NEW ENGLAND	938	1,048	149	151	285	235	40	72	6	1											
Maine	62	73	6	3	19	17	-	-	-	-											
N.H.	74	66	5	5	19	26	-	-	N	N											
Vt.	32	37	5	-	16	9	6	3	3	1											
Mass.	534	599	92	105	131	81	N	N	N	N											
R.I.	43	72	5	6	5	13	10	6	3	-											
Conn.	193	201	36	32	95	89	24	63	U	U											
MID. ATLANTIC	1,936	2,670	1,164	742	579	516	89	79	64	55											
Upstate N.Y.	469	714	175	104	267	209	46	70	50	45											
N.Y. City	509	664	188	238	79	124	U	U	U	U											
N.J.	211	565	161	279	42	105	N	N	N	N											
Pa.	747	727	640	121	191	78	43	9	14	10											
E.N. CENTRAL	2,470	2,941	977	933	801	652	306	139	120	68											
Ohio	733	707	204	364	230	147	201	18	71	-											
Ind.	288	233	76	43	77	38	105	119	29	28											
Ill.	799	1,051	481	354	178	197	-	2	-	-											
Mich.	379	478	149	83	270	196	N	N	N	N											
Wis.	271	472	67	89	46	74	N	N	20	40											
W.N. CENTRAL	1,189	1,202	417	647	226	175	121	321	40	37											
Minn.	283	278	48	128	111	90	-	220	34	33											
Iowa	181	200	25	66	N	N	N	N	N	N											
Mo.	434	409	208	90	47	37	9	5	2	1											
N. Dak.	24	24	3	16	9	-	3	1	4	3											
S. Dak.	45	50	9	150	17	9	1	1	-	-											
Nebr.	74	75	86	141	21	14	-	25	N	N											
Kans.	148	166	38	56	21	25	108	69	N	N											
S. ATLANTIC	4,357	4,325	4,286	2,865	632	492	707	771	8	16											
Del.	35	36	136	12	6	1	1	3	N	N											
Md.	408	405	315	514	190	75	-	-	-	13											
D.C.	16	41	32	37	10	5	2	-	4	1											
Va.	457	428	230	515	80	51	N	N	N	N											
W. Va.	58	58	-	4	29	13	49	34	4	2											
N.C.	534	545	515	155	75	94	N	N	U	U											
S.C.	219	274	246	64	26	29	74	134	N	N											
Ga.	815	782	1,184	692	78	93	183	193	N	N											
Fla.	1,815	1,756	1,628	872	138	131	398	407	N	N											
E.S. CENTRAL	1,095	1,231	509	734	131	70	93	97	-	-											
Ky.	209	165	62	79	31	12	12	12	N	N											
Tenn.	343	307	168	34	100	58	81	85	N	N											
Ala.	296	323	177	374	-	-	-	-	N	N											
Miss.	247	436	102	247	-	-	-	-	-	-											
W.S. CENTRAL	1,067	1,908	1,301	1,380	114	195	30	143	33	16											
Ark.	289	352	55	110	4	5	7	5	-	-											
La.	154	393	118	285	1	1	23	138	10	4											
Okla.	199	194	489	256	57	33	N	N	23	2											
Tex.	425	969	639	729	52	156	N	N	-	10											
MOUNTAIN	1,064	1,081	510	303	328	382	19	32	4	3											
Mont.	49	52	2	2	2	-	-	-	-	-											
Idaho	98	64	12	2	14	5	N	N	N	N											
Wyo.	50	33	1	3	1	7	4	10	-	-											
Colo.	255	298	82	63	89	78	-	-	-	-											
N. Mex.	93	146	99	56	83	71	15	22	-	-											
Ariz.	326	280	257	142	129	196	-	-	N	N											
Utah	109	87	29	18	9	25	-	-	4	3											
Nev.	84	121	28	17	1	-	-	-	-	-											
PACIFIC	2,405	2,668	1,081	1,097	325	324	3	-	-	-											
Wash.	271	250	84	71	38	18	-	-	N	N											
Oreg.	209	202	56	49	N	N	N	N	N	N											
Calif.	1,803	2,030	929	941	243	271	N	N	N	N											
Alaska	50	39	4	2	-	-	-	-	N	N											
Hawaii	72	147	8	34	44	35	3	-	-	-											
Guam	-	27	-	18	-	-	-	3	-	-											
P.R.	133	225	1	19	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


