
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending February 9, 2008 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	71	83	168	443	554	21	35	104	133	196											
NEW ENGLAND	1	5	28	4	38	-	1	7	2	27											
Conn.	-	0	22	-	2	-	0	2	-	4											
Maine	-	0	3	1	3	-	0	1	-	-											
Mass.	-	2	12	-	24	-	1	4	-	18											
N.H.	-	0	4	2	4	-	0	2	2	2											
R.I.	-	0	1	-	-	-	0	1	-	2											
Vt.	1	0	1	1	5	-	0	1	-	1											
MID. ATLANTIC	16	16	40	93	107	2	5	38	13	32											
N.J.	-	2	12	3	20	-	1	5	1	8											
N.Y. (Upstate)	8	6	20	42	21	2	2	13	12	15											
N.Y. City	-	4	13	10	30	-	1	35	-	9											
Pa.	8	4	11	38	36	N	0	0	N	N											
E.N. CENTRAL	10	15	34	82	139	1	4	17	22	35											
Ill.	-	4	11	9	48	-	1	6	-	5											
Ind.	-	2	10	12	10	-	0	11	2	2											
Mich.	1	3	10	23	27	-	1	5	7	15											
Ohio	9	4	14	38	47	-	1	5	12	9											
Wis.	-	0	5	-	7	1	0	2	1	4											
W.N. CENTRAL	4	5	32	25	28	6	3	15	16	7											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	2	0	3	8	7	-	0	1	2	-											
Minn.	-	0	29	-	-	6	1	14	6	-											
Mo.	1	2	4	11	16	-	0	2	6	5											
Nebr.	1	0	3	4	1	-	0	3	2	1											
N. Dak.	-	0	3	-	2	-	0	1	-	1											
S. Dak.	-	0	2	2	2	-	0	0	-	-											
S. ATLANTIC	25	23	49	133	108	2	6	14	21	35											
Del.	-	0	1	-	1	-	0	0	-	-											
D.C.	-	0	3	-	-	-	0	0	-	-											
Fla.	6	6	16	40	25	-	1	5	4	2											
Ga.	3	4	12	33	22	-	0	5	-	13											
Md.	6	4	9	28	25	1	1	5	11	11											
N.C.	7	1	22	9	13	-	0	0	-	-											
S.C.	1	1	7	9	10	1	1	4	6	2											
Va.	2	3	12	13	10	-	0	3	-	7											
W. Va.	-	0	3	1	2	-	0	1	-	-											
E.S. CENTRAL	2	4	13	12	27	1	2	11	3	14											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	2	7	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	-	2											
Tenn.	2	3	13	10	20	1	2	9	3	12											
W.S. CENTRAL	9	6	33	36	28	6	5	34	22	21											
Ark.	-	0	2	-	4	1	0	1	2	2											
La.	-	0	4	1	3	-	0	4	-	8											
Okla.	6	1	5	14	11	3	1	4	10	4											
Tex.	3	5	28	21	10	2	2	30	10	7											
MOUNTAIN	4	9	21	49	67	3	4	12	28	22											
Ariz.	3	4	10	31	29	3	2	8	22	15											
Colo.	-	3	8	8	14	-	1	4	3	4											
Idaho	1	0	2	3	2	-	0	1	1	-											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	-	1	-	0	1	1	-											
N. Mex.	-	1	4	-	8	-	0	4	-	2											
Utah	-	1	6	7	12	-	0	2	1	1											
Wyo.	-	0	1	-	1	-	0	0	-	-											
PACIFIC	-	3	7	9	12	-	0	4	6	3											
Alaska	-	0	3	1	2	-	0	4	6	3											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	5	8	10	-	0	1	-	-											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	4	-	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


