
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 26, 2003 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	294	420	41	16	21	5	4,353	5,616	94,039	111,872											
NEW ENGLAND	20	33	4	1	1	1	331	527	2,215	2,603											
Maine	3	2	-	-	-	-	37	58	57	25											
N.H.	5	2	-	-	-	-	14	17	36	40											
Vt.	-	1	-	-	-	-	23	35	28	34											
Mass.	6	18	-	1	1	1	156	270	875	1,125											
R.I.	1	3	-	-	-	-	33	36	314	302											
Conn.	5	7	4	-	-	-	68	111	905	1,077											
MID. ATLANTIC	17	33	1	-	6	2	790	1,251	10,169	13,315											
Upstate N.Y.	10	24	1	-	5	-	250	324	2,241	2,593											
N.Y. City	3	1	-	-	-	-	347	504	3,295	3,971											
N.J.	4	8	-	-	-	-	56	140	1,721	2,582											
Pa.	N	N	-	-	1	2	137	283	2,912	4,169											
E.N. CENTRAL	70	124	8	2	3	-	685	969	19,650	23,455											
Ohio	18	20	8	2	3	-	256	266	6,206	6,710											
Ind.	8	8	-	-	-	-	-	-	2,036	2,383											
Ill.	15	39	-	-	-	-	136	288	5,786	7,891											
Mich.	16	25	-	-	-	-	196	274	4,084	4,631											
Wis.	13	32	-	-	-	-	97	141	1,538	1,840											
W.N. CENTRAL	41	58	4	4	5	-	414	517	4,852	5,748											
Minn.	14	18	3	3	-	-	133	186	757	1,014											
Iowa	3	13	-	-	-	-	61	77	246	376											
Mo.	15	14	N	N	N	N	119	141	2,518	2,742											
N. Dak.	1	-	-	-	1	-	9	6	13	20											
S. Dak.	2	1	-	-	-	-	15	20	46	80											
Nebr.	5	7	1	1	-	-	44	42	447	518											
Kans.	1	5	-	-	4	-	33	45	825	998											
S. ATLANTIC	37	33	11	5	-	-	811	818	23,771	27,905											
Del.	-	2	N	N	N	N	14	16	406	558											
Md.	1	1	-	-	-	-	36	33	2,541	2,837											
D.C.	1	-	-	-	-	-	13	14	551	933											
Va.	3	6	-	-	-	-	79	53	2,755	3,409											
W. Va.	1	1	-	-	-	-	8	9	273	326											
N.C.	7	8	1	-	-	-	N	N	4,133	4,748											
S.C.	-	-	-	-	-	-	28	12	2,569	2,587											
Ga.	11	10	2	4	-	-	345	243	4,827	5,414											
Fla.	13	5	8	1	-	-	288	438	5,716	7,093											
E.S. CENTRAL	13	17	-	-	-	-	95	100	8,173	9,893											
Ky.	2	3	-	-	-	-	N	N	1,145	1,126											
Tenn.	7	10	-	-	-	-	39	44	2,499	3,041											
Ala.	3	1	-	-	-	-	56	56	2,570	3,514											
Miss.	1	3	-	-	-	-	-	-	1,959	2,212											
W.S. CENTRAL	19	12	7	-	4	1	66	35	13,224	15,795											
Ark.	2	1	-	-	-	-	38	35	1,154	1,445											
La.	-	-	-	-	-	-	3	-	3,140	3,699											
Okla.	2	2	-	-	-	-	25	-	1,287	1,510											
Tex.	15	9	7	-	4	1	-	-	7,643	9,141											
MOUNTAIN	29	36	5	2	2	1	360	381	3,095	3,685											
Mont.	-	8	-	-	-	-	13	25	29	38											
Idaho	9	1	3	-	-	-	46	19	30	28											
Wyo.	-	1	-	1	-	-	5	6	17	20											
Colo.	8	6	1	-	2	1	99	129	726	1,221											
N. Mex.	-	3	1	1	-	-	14	47	342	488											
Ariz.	8	5	N	N	N	N	71	48	1,308	1,225											
Utah	4	6	-	-	-	-	83	66	122	59											
Nev.	-	6	-	-	-	-	29	41	521	606											
PACIFIC	48	74	1	2	-	-	801	1,018	8,890	9,473											
Wash.	15	7	-	-	-	-	57	117	933	960											
Oreg.	8	24	1	2	-	-	91	126	307	287											
Calif.	25	33	-	-	-	-	602	715	7,172	7,841											
Alaska	-	3	-	-	-	-	27	23	174	204											
Hawaii	-	7	-	-	-	-	24	37	304	181											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	10	1	35	4											
V.I.	-	-	-	-	-	-	-	-	-	18											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


