
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending September 20, 2003 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	26,922	29,856	15,268	13,637	4,145	3,612	1,604	1,837	325	242											
NEW ENGLAND	1,524	1,622	223	248	333	274	40	88	6	2											
Maine	99	105	6	4	22	20	-	-	-	-											
N.H.	94	99	5	8	21	31	-	-	N	N											
Vt.	50	62	6	1	18	9	6	4	3	1											
Mass.	900	920	150	160	159	94	N	N	N	N											
R.I.	89	121	11	12	11	14	10	11	3	1											
Conn.	292	315	45	63	102	106	24	73	U	U											
MID. ATLANTIC	3,108	4,046	1,630	1,230	755	580	98	88	75	60											
Upstate N.Y.	809	1,083	306	205	302	232	54	75	58	49											
N.Y. City	818	1,032	271	348	101	133	U	U	U	U											
N.J.	358	797	206	452	130	124	N	N	N	N											
Pa.	1,123	1,134	847	225	222	91	44	13	17	11											
E.N. CENTRAL	3,954	4,179	1,288	1,544	895	771	333	166	133	91											
Ohio	1,061	971	252	458	254	170	219	33	77	4											
Ind.	445	399	120	78	94	41	114	131	34	44											
Ill.	1,248	1,424	621	744	181	223	-	2	-	-											
Mich.	599	671	196	125	304	244	N	N	N	N											
Wis.	601	714	99	139	62	93	N	N	22	43											
W.N. CENTRAL	1,812	1,818	586	787	267	199	128	333	44	41											
Minn.	393	418	73	161	135	100	-	220	38	37											
Iowa	270	300	52	99	N	N	N	N	N	N											
Mo.	723	614	291	121	56	39	9	5	2	1											
N. Dak.	28	24	3	16	11	-	3	1	4	3											
S. Dak.	82	83	13	151	19	12	1	1	-	-											
Nebr.	107	130	90	169	21	18	-	25	N	N											
Kans.	209	249	64	70	25	30	115	81	N	N											
S. ATLANTIC	7,209	7,434	5,549	4,299	734	592	842	854	16	25											
Del.	61	65	147	122	6	2	1	3	N	N											
Md.	614	702	490	836	218	92	-	-	-	19											
D.C.	35	54	58	45	12	6	2	-	6	3											
Va.	765	795	312	695	90	64	N	N	N	N											
W. Va.	96	98	-	9	31	16	57	36	10	3											
N.C.	893	999	788	258	91	107	N	N	U	U											
S.C.	472	521	305	85	32	31	117	149	N	N											
Ga.	1,348	1,385	1,344	970	89	113	197	214	N	N											
Fla.	2,925	2,815	2,105	1,279	165	161	468	452	N	N											
E.S. CENTRAL	1,785	2,182	644	987	162	84	107	114	-	-											
Ky.	308	245	80	102	37	17	14	13	N	N											
Tenn.	544	549	239	66	125	67	93	101	N	N											
Ala.	364	565	190	522	-	-	-	-	N	N											
Miss.	569	823	135	297	-	-	-	-	-	-											
W.S. CENTRAL	2,430	3,196	2,802	2,110	168	240	33	154	47	19											
Ark.	541	683	77	151	5	6	8	6	-	-											
La.	258	565	144	347	1	1	25	148	10	6											
Okla.	334	368	625	369	66	37	N	N	27	2											
Tex.	1,297	1,580	1,956	1,243	96	196	N	N	10	11											
MOUNTAIN	1,598	1,615	832	561	367	428	20	40	4	4											
Mont.	78	74	2	3	2	-	-	-	-	-											
Idaho	135	104	24	7	18	7	N	N	N	N											
Wyo.	68	50	5	7	2	7	4	10	-	-											
Colo.	371	458	197	131	110	90	-	-	-	-											
N. Mex.	163	221	147	114	89	83	16	30	-	-											
Ariz.	500	422	373	237	135	213	-	-	N	N											
Utah	165	126	38	21	9	28	-	-	4	4											
Nev.	118	160	46	41	2	-	-	-	-	-											
PACIFIC	3,502	3,764	1,714	1,871	464	444	3	-	-	-											
Wash.	371	358	114	113	38	46	-	-	N	N											
Oreg.	301	267	184	75	N	N	N	N	N	N											
Calif.	2,622	2,890	1,373	1,634	340	343	N	N	N	N											
Alaska	54	46	7	3	-	-	-	-	N	N											
Hawaii	154	203	36	46	86	55	3	-	-	-											
Guam	-	37	-	26	-	-	-	4	-	-											
P.R.	169	373	3	27	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


