
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending February 11, 2006 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2006
Shiga toxin-producing E. coli(STEC)† cummulative for 2005
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2006
Shigellosis cummulative for 2005
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcal disease, invasive, group A cummulative for 2005

tab delimited data:
test
UNITED STATES	6	48	155	63	139	68	274	453	772	1,006	50	80	151	446	504						
NEW ENGLAND	-	4	14	3	14	1	5	15	24	20	2	3	8	13	20						
Conn.	-	1	4	-	6	-	1	4	3	1	U	0	0	U	U						
Maine	-	0	5	-	-	-	0	1	-	-	-	0	2	1	1						
Mass.	-	2	8	3	7	1	3	9	20	17	-	2	6	7	16						
N.H.	-	0	2	-	-	-	0	4	1	1	2	0	1	4	1						
R.I.	-	0	2	-	-	-	0	6	-	-	-	0	3	-	-						
Vt.	-	0	2	-	1	-	0	4	-	1	-	0	2	1	2						
MID. ATLANTIC	-	6	24	-	15	10	21	65	43	112	14	16	38	83	107						
N.J.	-	1	6	-	4	-	5	14	-	33	-	3	9	-	25						
N.Y. (Upstate)	-	2	16	-	6	9	5	33	27	16	7	4	19	27	30						
N.Y. City	-	0	2	-	1	-	7	22	13	57	-	3	9	12	17						
Pa.	-	2	8	-	4	1	2	48	3	6	7	5	12	44	35						
E.N. CENTRAL	1	8	30	13	32	4	16	78	43	78	6	15	41	85	108						
Ill.	-	1	7	-	9	-	5	24	4	23	-	3	10	9	29						
Ind.	1	1	7	5	1	2	1	56	5	1	1	1	11	14	11						
Mich.	-	1	8	2	6	1	4	14	17	36	1	5	15	26	42						
Ohio	-	2	14	6	10	1	2	11	12	9	4	4	14	35	17						
Wis.	-	2	15	-	6	-	3	9	5	9	-	1	8	1	9						
W.N. CENTRAL	2	7	39	15	23	12	37	64	116	80	2	5	19	26	20						
Iowa	-	1	10	3	5	-	1	9	2	10	N	0	0	N	N						
Kans.	-	1	4	-	2	1	4	20	12	3	1	1	5	15	2						
Minn.	2	2	23	12	2	2	2	6	9	1	-	1	15	-	-						
Mo.	-	1	7	-	8	9	22	45	80	45	1	1	6	6	9						
Nebr.	-	1	4	-	4	-	1	9	7	14	-	0	4	4	4						
N. Dak.	-	0	2	-	-	-	0	2	1	1	-	0	3	1	2						
S. Dak.	-	0	5	-	2	-	1	17	5	6	-	0	2	-	3						
S. ATLANTIC	2	7	39	10	28	28	44	117	223	127	14	18	32	134	100						
