
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending August 13, 2005 (WEEK 32)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	2,889	3,123	1,549	1,492	544	506	4,798	4,723	159	247											
NEW ENGLAND	105	213	79	97	44	72	124	128	-	1											
Maine	8	7	N	N	-	3	1	2	-	-											
N.H.	9	15	-	-	3	N	9	3	-	-											
Vt.	9	8	10	6	4	1	-	-	-	-											
Mass.	72	97	56	24	37	40	85	79	-	-											
R.I.	7	17	13	14	-	5	5	18	-	1											
Conn.	-	69	U	53	U	23	24	26	-	-											
MID. ATLANTIC	643	537	147	108	105	77	617	622	18	27											
Upstate N.Y.	202	179	57	47	48	52	50	55	3	1											
N.Y. City	108	81	U	U	19	U	388	375	5	12											
N.J.	130	115	N	N	17	7	86	104	10	13											
Pa.	203	162	90	61	21	18	93	88	-	1											
E.N. CENTRAL	579	726	410	344	150	121	497	542	24	30											
Ohio	142	171	255	240	60	56	137	140	2	2											
Ind.	69	75	145	104	38	26	41	37	1	1											
Ill.	115	199	10	-	47	1	243	224	8	5											
Mich.	225	216	-	N	-	N	54	120	11	22											
Wis.	28	65	N	N	5	38	22	21	2	-											
W.N. CENTRAL	196	219	35	16	63	60	149	110	1	3											
Minn.	72	111	-	-	39	39	41	17	-	1											
Iowa	N	N	N	N	-	N	1	5	-	-											
Mo.	56	45	29	12	5	9	90	64	1	1											
N. Dak.	6	10	1	-	2	2	-	-	-	-											
S. Dak.	16	9	3	4	-	-	-	-	-	-											
Nebr.	13	15	2	-	6	6	3	6	-	-											
Kans.	33	29	N	N	11	4	14	18	-	1											
S. ATLANTIC	602	620	614	762	62	36	1,215	1,170	27	41											
Del.	1	3	1	4	-	N	8	4	-	1											
Md.	137	99	-	-	40	24	212	220	9	6											
D.C.	7	5	15	7	2	4	70	35	-	1											
Va.	57	54	N	N	-	N	79	65	3	2											
W. Va.	17	17	85	82	20	8	2	3	-	-											
N.C.	85	85	N	N	U	U	161	110	8	6											
S.C.	24	47	-	77	-	N	37	73	2	10											
Ga.	111	154	108	183	-	N	198	212	-	2											
Fla.	163	156	405	409	-	N	448	448	5	13											
E.S. CENTRAL	125	163	123	102	5	10	261	258	16	19											
Ky.	27	51	23	22	N	N	24	27	-	1											
Tenn.	98	112	100	78	-	N	124	85	12	7											
Ala.	-	-	-	-	-	N	88	114	3	9											
Miss.	-	-	-	2	5	10	25	32	1	2											
W.S. CENTRAL	132	244	92	44	71	101	780	737	44	49											
Ark.	12	14	12	6	13	7	29	32	-	3											
La.	6	2	80	38	21	22	159	181	6	3											
Okla.	81	46	N	N	18	29	26	19	1	2											
Tex.	33	182	N	N	19	43	566	505	37	41											
MOUNTAIN	440	338	49	18	36	29	244	243	15	30											
Mont.	-	-	-	-	-	-	5	1	-	-											
Idaho	1	7	N	N	-	N	20	13	1	2											
Wyo.	2	6	21	6	-	-	-	1	-	-											
Colo.	165	65	N	N	35	29	28	46	-	-											
N. Mex.	32	74	-	N	-	-	30	60	2	2											
Ariz.	182	156	N	N	-	N	89	99	12	26											
Utah	57	28	27	10	1	-	4	6	-	-											
Nev.	1	2	1	2	-	-	68	17	-	-											
PACIFIC	67	63	-	1	8	-	911	913	14	47											
Wash.	N	N	N	N	N	N	86	66	-	-											
Oreg.	N	N	N	N	6	N	17	21	-	-											
Calif.	-	-	N	N	N	N	799	822	14	47											
Alaska	-	-	-	-	-	N	5	-	-	-											
Hawaii	67	63	-	1	2	-	4	4	-	-											
Guam	-	-	-	-	-	-	-	1	-	-											
P.R.	N	N	N	N	-	N	115	81	7	3											
V.I.	-	-	-	-	-	-	-	4	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


