
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 16, 1999 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	21	35	263	580	96	282	-	1	-	-	1	-									
NEW ENGLAND	-	3	3	16	-	2	-	-	-	-	-	-									
Maine	-	-	1	5	-	-	-	-	-	-	-	-									
N.H.	-	1	-	1	-	-	-	-	-	-	-	-									
Vt.	-	-	-	1	-	-	-	-	-	-	-	-									
Mass.	-	2	-	2	-	-	U	-	U	-	-	-									
R.I.	-	-	-	-	-	-	-	-	-	-	-	-									
Conn.	-	-	2	7	-	2	-	-	-	-	-	-									
MID. ATLANTIC	3	3	2	29	3	37	-	-	-	-	-	-									
Upstate N.Y.	2	1	1	3	-	4	-	-	-	-	-	-									
N.Y. City	-	1	-	14	-	7	-	-	-	-	-	-									
N.J.	1	1	-	7	-	15	-	-	-	-	-	-									
Pa.	-	-	1	5	3	11	-	-	-	-	-	-									
E.N. CENTRAL	7	2	75	150	6	115	-	-	-	-	-	-									
Ohio	6	2	28	24	5	5	-	-	-	-	-	-									
Ind.	-	-	-	16	-	62	-	-	-	-	-	-									
Ill.	1	-	-	40	-	10	-	-	-	-	-	-									
Mich.	-	-	47	63	1	30	U	-	U	-	-	-									
Wis.	-	-	-	7	-	8	-	-	-	-	-	-									
W.N. CENTRAL	-	-	-	38	1	13	-	-	-	-	-	-									
Minn.	-	-	-	-	-	-	-	-	-	-	-	-									
Iowa	-	-	-	15	-	1	-	-	-	-	-	-									
Mo.	-	-	-	20	-	11	-	-	-	-	-	-									
N. Dak.	-	-	-	-	-	-	-	-	-	-	-	-									
S. Dak.	-	-	-	-	-	-	-	-	-	-	-	-									
Nebr.	-	-	-	1	1	-	U	-	U	-	-	-									
Kans.	-	-	-	2	-	1	U	-	U	-	-	-									
S. ATLANTIC	8	7	22	14	22	9	-	-	-	-	-	-									
Del.	-	-	-	-	-	-	-	-	-	-	-	-									
Md.	7	6	7	7	5	8	-	-	-	-	-	-									
D.C.	1	-	2	-	-	-	-	-	-	-	-	-									
Va.	-	-	-	-	-	-	-	-	-	-	-	-									
W. Va.	-	-	-	-	-	-	U	-	U	-	-	-									
N.C.	-	-	4	1	16	-	-	-	-	-	-	-									
S.C.	-	-	-	-	-	-	-	-	-	-	-	-									
Ga.	-	1	7	6	-	1	U	-	U	-	-	-									
Fla.	-	-	2	-	1	-	-	-	-	-	-	-									
E.S. CENTRAL	-	2	5	17	2	10	-	-	-	-	-	-									
Ky.	-	-	-	1	-	-	U	-	U	-	-	-									
Tenn.	-	-	-	6	-	7	-	-	-	-	-	-									
Ala.	-	2	4	4	2	3	-	-	-	-	-	-									
Miss.	-	-	1	6	-	-	-	-	-	-	-	-									
W.S. CENTRAL	2	1	4	17	1	5	-	-	-	-	-	-									
Ark.	-	-	2	1	1	1	-	-	-	-	-	-									
La.	-	-	-	-	-	-	-	-	-	-	-	-									
Okla.	1	-	2	5	-	-	-	-	-	-	-	-									
Tex.	1	1	-	11	-	4	U	-	U	-	-	-									
MOUNTAIN	1	9	29	147	14	32	-	1	-	-	1	-									
Mont.	-	-	-	2	-	-	-	-	-	-	-	-									
Idaho	-	-	1	2	3	3	-	-	-	-	-	-									
Wyo.	-	-	-	-	-	-	U	-	U	-	-	-									
Colo.	-	1	14	12	6	3	-	1	-	-	1	-									
N. Mex.	1	-	3	7	5	11	-	-	-	-	-	-									
Ariz.	-	3	8	97	-	8	U	-	U	-	-	-									
Utah	-	-	3	7	-	2	-	-	-	-	-	-									
Nev.	-	5	-	20	-	5	U	-	U	-	-	-									
PACIFIC	-	8	123	152	47	59	-	-	-	-	-	-									
Wash.	-	-	2	-	-	-	-	-	-	-	-	-									
Oreg.	-	6	-	10	-	4	-	-	-	-	-	-									
Calif.	-	2	121	140	46	55	-	-	-	-	-	-									
Alaska	-	-	-	-	1	-	-	-	-	-	-	-									
Hawaii	-	-	-	2	-	-	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	1	-	-	-	4	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	-	-	1	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


