
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending September 8, 2012 (WEEK 36)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2012
Rabies, animal cummulative for 2011
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2012
Salmonellosis cummulative for 2011
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2012
Shiga toxin-producing E. coli(STEC)† cummulative for 2011

tab delimited data:
test
UNITED STATES	30	66	119	2,230	3,118	657	959	1,597	29,894	34,152	73	104	173	3,184	4,047						
NEW ENGLAND	3	7	16	271	235	6	37	73	1,320	1,586	1	3	9	131	163						
Conn.	-	3	8	123	137	-	7	18	312	363	-	1	5	35	41						
Maine	1	1	6	68	48	4	3	11	117	96	-	0	3	11	22						
Mass.	-	0	0	-	-	-	16	54	679	801	-	1	5	56	63						
N.H.	-	0	3	21	17	-	2	8	91	136	-	0	4	16	19						
R.I.	1	0	6	21	16	-	2	8	63	139	-	0	2	1	4						
Vt.	1	1	7	38	17	2	1	8	58	51	1	0	2	12	14						
MID. ATLANTIC	13	12	29	358	582	43	91	187	3,070	4,064	3	10	18	327	471						
N.J.	-	0	0	-	-	-	16	36	422	898	-	1	8	37	101						
N.Y. (Upstate)	13	7	20	314	255	28	25	67	873	934	1	4	12	131	151						
N.Y. City	-	0	1	-	10	-	19	38	716	821	-	1	5	46	62						
Pa.	-	2	15	44	317	15	28	55	1,059	1,411	2	3	10	113	157						
E.N. CENTRAL	5	3	13	132	155	41	80	186	3,111	3,764	18	13	32	465	721						
Ill.	-	1	6	58	44	-	27	69	1,062	1,266	-	2	10	64	171						
Ind.	-	0	3	5	26	-	13	36	431	465	-	2	8	84	97						
Mich.	-	0	5	35	50	8	16	42	564	587	2	3	10	101	106						
Ohio	5	0	7	34	35	33	22	53	924	849	16	3	20	157	124						
Wis.	N	0	0	N	N	-	5	21	130	597	-	2	17	59	223						
W.N. CENTRAL	1	2	15	103	144	38	51	102	1,910	2,141	7	17	44	501	714						
Iowa	-	0	3	13	21	2	8	30	425	338	-	2	12	111	155						
Kans.	-	1	4	46	24	2	9	27	338	305	-	2	8	50	74						
Minn.	-	0	4	-	40	-	0	25	-	528	-	0	13	-	205						
Mo.	1	0	3	24	19	29	16	47	772	638	5	5	31	222	165						
Nebr.	-	0	3	-	29	5	4	23	233	169	2	1	8	65	78						
N. Dak.	-	0	13	20	11	-	1	19	35	30	-	0	4	22	6						
S. Dak.	-	0	0	-	-	-	2	9	107	133	-	1	3	31	31						
S. ATLANTIC	-	19	45	690	852	296	296	643	8,949	9,320	7	11	31	420	419						
Del.	-	0	0	-	-	-	2	8	98	128	-	0	1	9	13						
D.C.	-	0	0	-	-	-	1	7	23	54	-	0	1	4	4						
Fla.	-	0	34	70	120	189	110	209	3,591	3,490	3	3	10	159	76						
Ga.	-	0	0	-	-	44	43	101	1,561	1,773	-	2	6	85	88						
Md.	-	5	16	221	229	21	17	34	612	715	2	1	5	48	48						
N.C.	-	0	0	-	-	21	43	230	1,419	1,335	-	1	26	41	88						
S.C.	N	0	0	N	N	16	25	64	859	1,015	-	0	7	18	14						
Va.	-	10	23	352	431	5	23	57	711	732	2	2	7	53	85						
W. Va.	-	1	6	47	72	-	1	52	75	78	-	0	2	3	3						
