
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 8, 2004 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	8,910	15,303	266,346	295,075	1,548	1,170	790	637	5	-											
NEW ENGLAND	311	499	9,275	9,547	-	-	43	42	-	-											
Maine	5	23	564	653	N	N	8	2	-	-											
N.H.	11	12	562	541	-	-	12	5	-	-											
Vt.	7	6	357	362	-	-	6	7	-	-											
Mass.	84	226	4,571	3,616	-	-	11	21	-	-											
R.I.	32	38	1,165	1,123	-	-	1	5	-	-											
Conn.	172	194	2,056	3,252	N	N	5	2	-	-											
MID. ATLANTIC	1,283	3,326	36,010	35,783	-	-	128	100	-	-											
Upstate N.Y.	134	182	7,458	6,289	N	N	30	23	-	-											
N.Y. City	380	1,627	10,555	12,274	-	-	29	37	-	-											
N.J.	386	595	4,404	4,983	-	-	7	3	-	-											
Pa.	383	922	13,593	12,237	N	N	62	37	-	-											
E.N. CENTRAL	806	1,389	45,946	54,151	5	2	182	146	1	-											
Ohio	229	228	10,293	14,966	-	-	49	20	1	-											
Ind.	117	223	5,828	5,821	N	N	26	11	-	-											
Ill.	279	595	12,028	16,846	-	-	13	24	-	-											
Mich.	132	277	13,422	10,574	5	2	48	27	-	-											
Wis.	49	66	4,375	5,944	-	-	46	64	-	-											
W.N. CENTRAL	228	288	15,827	16,975	4	1	91	59	1	-											
Minn.	48	56	2,921	3,760	N	N	40	30	-	-											
Iowa	11	34	1,087	1,694	N	N	13	8	-	-											
Mo.	107	139	6,422	6,197	3	1	15	6	1	-											
N. Dak.	10	-	369	468	N	N	-	2	-	-											
S. Dak.	-	6	849	836	-	-	10	10	-	-											
Nebr.	6	22	1,683	1,568	1	-	3	2	-	-											
Kans.	46	31	2,496	2,452	N	N	10	1	-	-											
S. ATLANTIC	3,510	4,482	48,936	54,353	-	1	167	89	2	-											
Del.	42	80	1,025	2,164	N	N	-	1	-	-											
Md.	343	411	6,410	5,535	-	1	9	8	-	-											
D.C.	149	476	1,206	1,188	-	-	2	-	-	-											
Va.	141	421	7,430	6,085	-	-	21	9	-	-											
W. Va.	30	32	930	855	N	N	2	-	-	-											
N.C.	243	504	9,037	7,866	N	N	31	10	-	-											
S.C.	204	311	6,182	4,428	-	-	5	2	2	-											
Ga.	509	609	2,945	11,886	-	-	54	32	-	-											
Fla.	1,849	1,638	13,771	14,346	N	N	43	27	-	-											
E.S. CENTRAL	446	621	16,275	19,199	N	N	35	40	-	-											
Ky.	42	67	1,908	2,876	N	N	9	9	-	-											
Tenn.	187	269	7,279	6,535	N	N	12	12	-	-											
Ala.	127	144	3,622	5,220	-	-	9	16	-	-											
Miss.	90	141	3,466	4,568	N	N	5	3	-	-											
W.S. CENTRAL	1,307	1,632	34,662	36,651	1	-	22	14	1	-											
Ark.	43	47	2,668	2,376	1	-	8	2	-	-											
La.	281	192	8,215	6,436	N	N	-	1	1	-											
Okla.	37	74	3,429	3,631	N	N	7	3	-	-											
Tex.	946	1,319	20,350	24,208	-	-	7	8	-	-											
MOUNTAIN	257	586	13,517	17,919	965	822	39	28	-	-											
Mont.	-	8	423	784	N	N	4	4	-	-											
Idaho	2	10	981	915	N	N	4	6	-	-											
Wyo.	2	4	378	354	-	-	2	1	-	-											
Colo.	48	127	2,653	4,545	N	N	20	6	-	-											
N. Mex.	20	42	1,538	2,655	7	1	1	1	-	-											
Ariz.	109	274	5,271	5,407	928	805	6	2	-	-											
Utah	17	29	845	1,150	10	2	1	6	-	-											
Nev.	59	92	1,428	2,109	20	14	1	2	-	-											
PACIFIC	762	2,480	45,898	50,497	571	344	83	119	-	-											
Wash.	127	178	6,061	5,358	N	N	9	12	-	-											
Oreg.	53	108	1,979	2,647	-	-	11	13	-	-											
Calif.	543	2,152	36,100	39,347	571	344	62	94	-	-											
Alaska	8	9	1,332	1,270	-	-	-	-	-	-											
Hawaii	31	33	426	1,875	-	-	1	-	-	-											
Guam	1	1	-	-	-	-	-	-	-	-											
P.R.	143	437	553	760	N	N	N	N	-	-											
V.I.	2	13	20	117	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	32	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


