
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 11, 1997 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1997
Meningococcal Disease cummulative for 1996
Mumps current week
Mumps cummulative for 1997
Mumps cummulative for 1996
Pertussis current week
Pertussis cummulative for 1997
Pertussis cummulative for 1996
Rubella current week
Rubella cummulative for 1997
Rubella cummulative for 1996

tab delimited data:
test
UNITED STATES	56	137	-	1	16	36	123	31	-	-	9										
NEW ENGLAND	4	10	-	-	-	2	14	1	-	-	-										
Maine	-	3	-	-	-	-	3	-	-	-	-										
N.H.	-	-	U	-	-	U	2	-	U	-	-										
Vt.	-	1	-	-	-	2	9	1	-	-	-										
Mass.	4	-	-	-	-	-	-	-	-	-	-										
R.I.	-	-	-	-	-	-	-	-	-	-	-										
Conn.	-	6	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	-	7	-	-	2	-	-	1	-	-	-										
Upstate N.Y.	-	-	-	-	-	-	-	-	-	-	-										
N.Y. City	-	3	-	-	-	-	-	-	-	-	-										
N.J.	-	1	-	-	2	-	-	1	-	-	-										
Pa.	-	3	U	-	-	U	-	-	U	-	-										
E.N. CENTRAL	5	26	-	1	6	3	4	6	-	-	-										
Ohio	4	11	-	-	4	-	-	3	-	-	-										
Ind.	-	1	-	-	-	-	-	-	-	-	-										
Ill.	-	10	-	-	-	-	-	-	-	-	-										
Mich.	1	1	-	1	2	3	4	-	-	-	-										
Wis.	-	3	U	-	-	U	-	3	U	-	-										
W.N. CENTRAL	3	20	-	-	-	2	2	1	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	3	4	-	-	-	1	1	-	-	-	-										
Mo.	-	11	-	-	-	-	-	1	-	-	-										
N. Dak.	-	-	U	-	-	U	-	-	U	-	-										
S. Dak.	-	-	-	-	-	1	1	-	-	-	-										
Nebr.	-	2	U	-	-	U	-	-	U	-	-										
Kans.	-	3	-	-	-	-	-	-	-	-	-										
S. ATLANTIC	19	13	-	-	1	2	2	-	-	-	-										
Del.	1	-	-	-	-	-	-	-	-	-	-										
Md.	1	1	-	-	-	2	2	-	-	-	-										
D.C.	1	-	-	-	-	-	-	-	-	-	-										
Va.	-	-	-	-	-	-	-	-	-	-	-										
W. Va.	1	-	-	-	-	-	-	-	-	-	-										
N.C.	4	2	-	-	-	-	-	-	-	-	-										
S.C.	7	5	-	-	1	-	-	-	-	-	-										
Ga.	3	4	-	-	-	-	-	-	-	-	-										
Fla.	1	1	-	-	-	-	-	-	-	-	-										
E.S. CENTRAL	3	13	-	-	1	1	1	5	-	-	-										
Ky.	-	3	-	-	-	-	-	5	-	-	-										
Tenn.	-	3	-	-	-	-	-	-	-	-	-										
Ala.	3	6	-	-	1	1	1	-	-	-	-										
Miss.	-	1	U	-	-	U	-	-	U	-	N										
W.S. CENTRAL	1	8	-	-	-	-	-	-	-	-	-										
Ark.	1	2	-	-	-	-	-	-	-	-	-										
La.	-	-	-	-	-	-	-	-	-	-	-										
Okla.	-	1	-	-	-	-	-	-	-	-	-										
Tex.	-	5	-	-	-	-	-	-	-	-	-										
MOUNTAIN	4	5	-	-	1	10	75	8	-	-	-										
Mont.	1	-	-	-	-	-	-	-	-	-	-										
Idaho	-	-	-	-	-	4	66	-	-	-	-										
Wyo.	-	-	-	-	-	1	1	-	-	-	-										
Colo.	-	2	-	-	-	5	5	-	-	-	-										
N. Mex.	2	2	N	N	N	-	-	2	-	-	-										
Ariz.	1	-	-	-	-	-	3	-	-	-	-										
Utah	-	1	-	-	-	-	-	-	-	-	-										
Nev.	-	-	-	-	1	-	-	6	-	-	-										
PACIFIC	17	35	-	-	5	16	25	9	-	-	9										
Wash.	-	-	-	-	-	-	-	-	-	-	-										
Oreg.	10	8	-	-	-	-	2	9	-	-	-										
Calif.	7	27	-	-	4	16	23	-	-	-	9										
Alaska	-	-	-	-	-	-	-	-	-	-	-										
Hawaii	-	-	-	-	1	-	-	-	-	-	-										
Guam	-	1	-	-	1	-	-	-	-	-	-										
P.R.	-	-	-	-	-	-	-	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


