
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 31, 1998 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	206	290	1	19	15	42	215	294	7	10	2										
NEW ENGLAND	19	16	-	-	-	3	42	114	-	-	-										
Maine	1	1	-	-	-	-	-	4	-	-	-										
N.H.	1	2	-	-	-	-	5	17	-	-	-										
Vt.	1	-	-	-	-	-	7	42	-	-	-										
Mass.	9	9	-	-	-	3	30	51	-	-	-										
R.I.	1	-	-	-	-	-	-	-	-	-	-										
Conn.	6	4	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	18	19	-	1	1	11	11	2	7	8	-										
Upstate N.Y.	1	-	-	1	-	11	11	-	7	8	-										
N.Y. City	3	4	-	-	-	-	-	-	-	-	-										
N.J.	14	5	-	-	1	-	-	1	-	-	-										
Pa.	-	10	-	-	-	-	-	1	-	-	-										
E.N. CENTRAL	29	52	-	1	1	5	19	33	-	-	2										
Ohio	20	23	-	1	1	4	16	18	-	-	-										
Ind.	5	7	-	-	-	-	-	-	-	-	-										
Ill.	-	13	-	-	-	-	-	3	-	-	-										
Mich.	3	3	-	-	-	1	3	7	-	-	-										
Wis.	1	6	-	-	-	-	-	5	-	-	2										
W.N. CENTRAL	7	28	-	-	-	2	3	5	-	-	-										
Minn.	-	2	-	-	-	2	2	-	-	-	-										
Iowa	1	8	-	-	-	-	1	3	-	-	-										
Mo.	4	11	-	-	-	-	-	-	-	-	-										
N. Dak.	-	-	U	-	-	U	-	-	U	-	-										
S. Dak.	1	1	-	-	-	-	-	1	-	-	-										
Nebr.	-	1	-	-	-	-	-	1	-	-	-										
Kans.	1	5	-	-	-	-	-	-	-	-	-										
S. ATLANTIC	44	43	1	8	-	1	27	11	-	1	-										
Del.	-	2	-	-	-	-	-	-	-	-	-										
Md.	7	4	1	2	-	1	6	10	-	-	-										
D.C.	-	2	-	-	-	-	-	-	-	-	-										
Va.	4	2	-	-	-	-	-	-	-	-	-										
W. Va.	2	1	-	-	-	-	-	-	-	-	-										
N.C.	3	6	-	3	-	-	21	-	-	1	-										
S.C.	5	12	-	2	-	-	-	1	-	-	-										
Ga.	16	8	-	-	-	-	-	-	-	-	-										
Fla.	7	6	-	1	-	-	-	-	-	-	-										
E.S. CENTRAL	7	29	-	-	4	5	9	3	-	-	-										
Ky.	-	7	-	-	-	-	-	-	-	-	-										
Tenn.	7	8	-	-	1	2	2	-	-	-	-										
Ala.	-	9	-	-	1	3	7	1	-	-	-										
Miss.	-	5	-	-	2	-	-	2	-	-	-										
W.S. CENTRAL	11	4	-	2	-	2	6	1	-	1	-										
Ark.	2	2	-	-	-	1	5	-	-	-	-										
La.	4	-	-	-	-	-	-	-	-	-	-										
Okla.	5	1	-	-	-	-	-	-	-	-	-										
Tex.	-	1	-	2	-	1	1	1	-	1	-										
MOUNTAIN	18	20	-	1	3	11	86	96	-	-	-										
Mont.	1	1	-	-	-	1	1	-	-	-	-										
Idaho	-	1	-	-	-	5	43	69	-	-	-										
Wyo.	1	-	-	-	-	-	-	2	-	-	-										
Colo.	6	-	-	-	1	-	7	14	-	-	-										
N. Mex.	2	5	N	N	N	5	30	6	-	-	-										
Ariz.	7	7	-	1	-	-	-	4	-	-	-										
Utah	1	3	-	-	1	-	4	-	-	-	-										
Nev.	-	3	-	-	1	-	1	1	-	-	-										
PACIFIC	53	79	-	6	6	2	12	29	-	-	-										
Wash.	6	7	-	-	-	2	2	1	-	-	-										
Oreg.	20	25	N	N	N	-	3	2	-	-	-										
Calif.	27	47	-	1	3	-	7	25	-	-	-										
Alaska	-	-	-	2	-	-	-	1	-	-	-										
Hawaii	-	-	-	3	3	-	-	-	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	-	-	1	-	-	-	-	-	-										
V.I.	-	-	-	-	-	-	-	-	-	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


