
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 15, 1996 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	221	223	7	302	471	22	1,317	1,222	5	82	61										
NEW ENGLAND	8	4	-	-	8	4	207	187	-	11	14										
Maine	-	-	-	-	4	-	8	18	-	-	1										
N.H.	-	-	-	-	-	-	20	14	-	-	1										
Vt.	1	-	-	-	-	-	7	9	-	2	-										
Mass.	6	2	-	-	2	4	169	136	-	7	2										
R.I.	-	2	-	-	-	-	-	-	-	-	-										
Conn.	1	-	-	-	2	-	3	10	-	2	10										
MID. ATLANTIC	17	4	2	45	70	2	102	113	-	4	8										
Upstate N.Y.	-	-	1	12	16	1	57	60	-	3	1										
N.Y. City	7	-	-	11	8	-	14	15	-	1	6										
N.J.	-	4	-	-	9	-	-	6	-	-	1										
Pa.	10	-	1	22	37	1	31	32	-	-	-										
E.N. CENTRAL	9	8	-	68	77	3	158	133	-	3	-										
Ohio	2	1	-	27	23	1	73	45	-	-	-										
Ind.	-	-	-	5	5	2	14	15	-	-	-										
Ill.	3	-	-	16	23	-	51	28	-	1	-										
Mich.	3	5	-	20	26	-	15	33	-	2	-										
Wis.	1	2	-	-	-	-	5	12	-	-	-										
W.N. CENTRAL	17	1	-	4	28	-	62	76	-	1	-										
Minn.	14	-	-	1	2	-	42	27	-	-	-										
Iowa	-	-	-	-	8	-	2	2	-	1	-										
Mo.	2	1	-	1	15	-	12	19	-	-	-										
N. Dak.	-	-	U	2	-	U	-	6	U	-	-										
S. Dak.	-	-	-	-	-	-	1	7	-	-	-										
Nebr.	-	-	-	-	3	-	1	5	-	-	-										
Kans.	1	-	-	-	-	-	4	10	-	-	-										
S. ATLANTIC	5	5	3	43	68	5	151	107	2	14	16										
Del.	1	-	-	-	-	-	9	5	-	-	-										
Md.	2	-	1	13	23	1	54	16	-	-	-										
D.C.	-	-	-	-	-	-	-	2	-	1	-										
Va.	2	-	1	4	13	1	19	8	2	2	-										
W. Va.	-	-	-	-	-	-	2	-	-	-	-										
N.C.	-	-	1	9	16	-	29	50	-	-	-										
S.C.	-	-	-	5	7	3	9	11	-	1	-										
Ga.	-	2	-	2	1	-	7	-	-	-	-										
Fla.	-	3	-	10	8	-	22	15	-	10	16										
E.S. CENTRAL	-	-	-	15	6	-	44	36	2	2	-										
Ky.	-	-	-	-	-	-	23	7	-	-	-										
Tenn.	-	-	-	2	-	-	14	4	-	-	-										
Ala.	-	-	-	3	4	-	4	25	2	2	-										
Miss.	-	-	U	10	2	U	3	-	N	N	N										
W.S. CENTRAL	2	15	-	14	33	3	30	69	-	2	2										
Ark.	-	2	-	-	5	-	3	9	-	-	-										
La.	-	13	-	10	7	-	4	4	-	1	-										
Okla.	-	-	-	-	-	-	4	9	-	-	-										
Tex.	2	-	-	4	21	3	19	47	-	1	2										
MOUNTAIN	38	66	-	20	23	1	155	293	-	6	4										
Mont.	-	-	-	-	1	-	4	3	-	-	-										
Idaho	1	-	-	-	2	-	67	73	-	2	-										
Wyo.	-	-	-	-	-	-	-	1	-	-	-										
Colo.	6	26	-	2	-	1	21	45	-	2	-										
N. Mex.	-	29	N	N	N	-	29	39	-	-	-										
Ariz.	8	10	-	1	2	-	11	111	-	1	3										
Utah	18	-	-	2	10	-	6	10	-	-	1										
Nev.	5	1	-	15	8	-	17	11	-	1	-										
PACIFIC	125	120	2	93	158	4	408	208	1	39	17										
Wash.	45	17	1	10	10	4	161	37	-	1	-										
Oreg.	2	1	N	N	N	-	27	15	-	1	1										
Calif.	18	100	1	67	132	-	209	137	-	34	13										
Alaska	58	-	-	2	12	-	2	-	-	-	-										
Hawaii	2	2	-	14	4	-	9	19	1	3	3										
Guam	-	-	U	3	3	U	-	2	U	-	1										
P.R.	1	9	-	1	1	-	1	8	-	-	-										
V.I.	-	-	U	-	2	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


