
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending July 24, 2010 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral Acute), Type A current week
Hepatitis (Viral Acute), Type A previous 52 weeks median 
Hepatitis (Viral Acute), Type A previous 52 weeks maximum 
Hepatitis (Viral Acute), Type A cummulative for 2010
Hepatitis (Viral Acute), Type A cummulative for 2009
Hepatitis (Viral Acute), Type B current week
Hepatitis (Viral Acute), Type B previous 52 weeks median 
Hepatitis (Viral Acute), Type B previous 52 weeks maximum 
Hepatitis (Viral Acute), Type B cummulative for 2010
Hepatitis (Viral Acute), Type B cummulative for 2009
Hepatitis (Viral Acute), Type C current week
Hepatitis (Viral Acute), Type C previous 52 weeks median 
Hepatitis (Viral Acute), Type C previous 52 weeks maximum 
Hepatitis (Viral Acute), Type C cummulative for 2010
Hepatitis (Viral Acute), Type C cummulative for 2009

tab delimited data:
test
UNITED STATES	14	31	69	760	1,104	36	58	204	1,542	1,868	12	14	44	413	426						
NEW ENGLAND	-	2	5	57	56	-	1	5	30	32	-	1	5	18	33						
Conn.	-	0	2	15	12	-	0	2	7	8	-	0	4	13	25						
Maine	-	0	1	4	1	-	0	2	9	7	-	0	1	-	-						
Mass.	-	1	4	33	33	-	0	2	7	14	-	0	1	5	7						
N.H.	-	0	1	-	5	-	0	2	5	3	-	0	0	-	-						
R.I.	-	0	4	5	3	-	0	0	-	-	-	0	0	-	U						
Vt.	-	0	0	-	2	-	0	1	2	-	-	0	0	-	1						
MID. ATLANTIC	1	4	10	100	156	4	5	10	160	216	3	2	5	59	55						
N.J.	-	0	4	10	43	-	1	5	38	65	-	0	2	5	3						
N.Y. (Upstate)	1	1	3	30	28	3	1	6	30	37	2	1	3	35	29						
N.Y. City	-	1	5	31	46	-	1	4	47	39	-	0	1	-	2						
Pa.	-	1	6	29	39	1	1	5	45	75	1	0	3	19	21						
E.N. CENTRAL	-	4	10	92	178	1	8	15	236	268	1	2	6	82	62						
Ill.	-	1	6	18	79	-	2	6	49	64	-	0	1	1	3						
Ind.	-	0	2	8	13	-	1	5	30	44	-	0	2	15	13						
Mich.	-	1	4	29	41	-	2	6	62	85	1	1	6	59	21						
Ohio	-	0	4	17	26	1	2	6	63	60	-	0	1	5	22						
Wis.	-	0	3	20	19	-	1	3	32	15	-	0	1	2	3						
W.N. CENTRAL	-	1	10	27	71	1	3	15	73	72	1	0	11	15	7						
Iowa	-	0	3	4	22	-	0	3	10	20	-	0	4	1	3						
Kans.	-	0	2	8	7	-	0	2	4	4	-	0	0	-	1						
Minn.	-	0	8	1	13	-	0	13	2	12	-	0	9	3	1						
Mo.	-	0	3	12	11	1	1	5	47	25	1	0	1	9	-						
Nebr.	-	0	2	2	16	-	0	2	9	10	-	0	1	2	2						
N. Dak.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	2	-	0	1	1	1	-	0	1	-	-						
S. ATLANTIC	6	7	13	171	232	14	16	40	429	514	4	3	7	75	99						
Del.	-	0	1	5	3	-	1	2	17	18	U	0	0	U	U						
D.C.	-	0	1	1	1	-	0	2	2	7	-	0	1	2	-						
Fla.	5	3	8	70	104	10	5	11	170	174	3	1	4	29	23						
Ga.	1	1	3	22	28	2	3	7	85	80	-	0	2	6	26						
Md.	-	0	4	12	26	1	1	6	32	48	1	0	2	14	13						
N.C.	-	0	4	11	25	-	1	4	4	68	-	0	4	9	13						
S.C.	-	1	4	22	29	-	1	4	31	27	-	0	0	-	1						
Va.	-	1	6	27	16	1	2	14	56	48	-	0	2	9	7						
W. Va.	-	0	2	1	-	-	0	14	32	44	-	0	3	6	16						
E.S. CENTRAL	-	1	3	20	25	1	7	13	170	190	-	2	7	73	56						
Ala.	-	0	1	5	6	-	1	5	35	57	-	0	2	3	5						
Ky.	-	0	2	9	4	1	2	6	56	45	-	1	5	50	35						
Miss.	-	0	1	-	7	-	0	3	16	17	-	0	0	-	U						
Tenn.	-	0	2	6	8	-	2	6	63	71	-	0	4	20	16						
W.S. CENTRAL	-	3	19	76	105	7	9	109	226	308	-	1	14	30	31						
Ark.	-	0	3	-	5	-	1	4	28	39	-	0	1	-	1						
La.	-	0	2	6	2	-	1	5	23	35	-	0	1	3	5						
Okla.	-	0	3	-	1	1	1	19	40	50	-	0	12	14	4						
Tex.	-	2	18	70	97	6	5	87	135	184	-	0	3	13	21						
MOUNTAIN	-	3	8	85	86	2	2	6	59	84	-	1	4	22	32						
Ariz.	-	1	5	45	35	-	0	2	20	33	-	0	0	-	U						
Colo.	-	1	4	14	28	-	0	2	3	16	-	0	1	2	20						
Idaho	-	0	2	5	2	-	0	1	4	5	-	0	2	7	2						
Mont.	-	0	1	4	4	-	0	1	1	-	-	0	0	-	1						
Nev.	-	0	2	7	7	2	1	3	24	17	-	0	1	2	2						
N. Mex.	-	0	1	3	6	-	0	1	2	5	-	0	2	6	5						
Utah	-	0	2	4	3	-	0	1	5	4	-	0	1	5	2						
Wyo.	-	0	3	3	1	-	0	0	-	4	-	0	0	-	-						
PACIFIC	7	5	16	132	195	6	6	20	159	184	3	1	6	39	51						
Alaska	-	0	1	1	2	-	0	1	1	2	-	0	2	-	U						
Calif.	6	4	15	104	147	3	4	16	106	133	-	0	4	19	25						
Hawaii	-	0	2	1	8	-	0	1	-	4	-	0	0	-	U						
Oreg.	1	0	2	14	10	-	1	4	28	24	-	0	3	8	14						
Wash.	-	0	2	12	28	3	1	4	24	21	3	0	6	12	12						
Amer. Samoa	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	6	12	4	-	0	6	24	40	-	0	6	22	30						
P.R.	-	0	2	3	20	-	0	5	8	21	-	0	0	-	-						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2009 and 2010 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


