
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending June 9, 2007 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2007
Lyme disease cummulative for 2006
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2007
Malaria cummulative for 2006
Meningococcal diseases, invasive †, all serogroups current week
Meningococcal diseases, invasive †, all serogroups previous 52 weeks median 
Meningococcal diseases, invasive †, all serogroups previous 52 weeks maximum 
Meningococcal diseases, invasive †, all serogroups cummulative for 2007
Meningococcal diseases, invasive †, all serogroups cummulative for 2006

tab delimited data:
test
UNITED STATES	169	226	1,177	2,869	3,309	9	24	80	334	507	8	19	84	495	607						
NEW ENGLAND	56	36	409	231	543	1	1	7	13	25	-	1	3	20	18						
Conn.	51	10	227	113	95	1	0	3	1	4	-	0	2	4	6						
Maine	1	2	38	24	36	-	0	1	3	3	-	0	3	3	2						
Mass.	-	3	145	2	304	-	0	2	8	14	-	0	2	10	8						
N.H.	1	5	70	76	96	-	0	3	1	3	-	0	1	-	1						
R.I.	-	0	93	-	1	-	0	1	-	-	-	0	1	1	-						
Vt.	3	1	15	16	11	-	0	0	-	1	-	0	1	2	1						
MID. ATLANTIC	87	108	560	1,518	1,715	3	5	18	80	125	1	2	8	58	100						
N.J.	2	25	192	402	648	-	0	7	-	39	-	0	2	1	11						
N.Y. (Upstate)	69	46	426	379	453	3	1	7	21	10	1	1	2	16	19						
N.Y. City	-	2	23	6	32	-	3	9	49	63	-	0	4	17	38						
Pa.	16	39	223	731	582	-	1	4	10	13	-	0	5	24	32						
E.N. CENTRAL	-	6	162	34	437	2	2	10	39	59	2	3	9	70	92						
Ill.	-	1	16	4	24	-	1	6	10	23	-	0	3	18	25						
Ind.	-	0	3	4	3	2	0	2	4	6	-	0	4	14	12						
Mich.	-	1	5	8	5	-	0	2	7	8	-	0	3	13	16						
Ohio	-	0	5	4	15	-	0	2	11	16	2	1	3	19	27						
Wis.	-	4	154	14	390	-	0	3	7	6	-	0	2	6	12						
W.N. CENTRAL	4	4	195	71	94	-	1	12	19	21	1	1	5	32	35						
Iowa	-	1	8	10	33	-	0	1	2	1	-	0	3	7	9						
Kans.	-	0	2	6	3	-	0	2	1	-	-	0	1	1	1						
Minn.	3	2	188	48	52	-	0	12	11	14	-	0	3	9	8						
Mo.	-	0	3	5	-	-	0	1	2	3	1	0	3	9	11						
Nebr.	1	0	2	2	5	-	0	1	2	1	-	0	1	2	5						
N. Dak.	-	0	7	-	-	-	0	1	-	1	-	0	3	2	1						
S. Dak.	-	0	1	-	1	-	0	1	1	1	-	0	1	2	-						
S. ATLANTIC	22	45	134	930	488	2	5	14	84	130	-	3	11	71	101						
Del.	7	9	28	223	175	-	0	1	2	4	-	0	1	1	4						
D.C.	-	0	7	13	7	-	0	2	3	-	-	0	1	-	-						
Fla.	-	1	3	15	8	-	1	4	18	21	-	1	7	26	40						
Ga.	-	0	1	1	2	-	1	5	9	47	-	0	3	8	10						
Md.	14	23	106	510	258	2	1	4	22	24	-	0	2	15	6						
N.C.	-	0	4	8	9	-	0	4	11	11	-	0	6	6	15						
S.C.	1	0	2	6	3	-	0	2	4	4	-	0	2	7	11						
Va.	-	9	36	150	26	-	1	4	14	18	-	0	2	8	12						
W. Va.	-	0	14	4	-	-	0	1	1	1	-	0	2	-	3						
E.S. CENTRAL	-	1	4	12	2	1	0	3	15	12	-	1	4	29	21						
Ala.	-	0	3	3	1	-	0	2	3	6	-	0	2	6	4						
Ky.	-	0	2	-	-	-	0	1	3	1	-	0	2	5	5						
Miss.	-	0	1	-	-	-	0	1	1	3	-	0	4	7	3						
Tenn.	-	0	3	9	1	1	0	2	8	2	-	0	2	11	9						
W.S. CENTRAL	-	1	6	18	5	-	1	7	14	30	2	2	13	49	58						
Ark.	-	0	0	-	-	-	0	2	-	1	-	0	2	6	6						
La.	-	0	1	2	-	-	0	2	12	1	-	0	4	14	26						
Okla.	-	0	0	-	-	-	0	3	1	2	-	0	4	11	8						
Tex.	-	1	6	16	5	-	1	6	1	26	2	0	9	18	18						
MOUNTAIN	-	0	3	9	4	-	1	6	22	26	1	1	5	42	37						
Ariz.	-	0	1	-	3	-	0	3	5	7	1	0	3	12	10						
Colo.	-	0	0	-	-	-	0	2	9	10	-	0	2	14	14						
Idaho	-	0	2	3	-	-	0	1	-	-	-	0	1	3	1						
Mont.	-	0	1	1	-	-	0	1	2	1	-	0	1	1	2						
Nev.	-	0	2	5	-	-	0	1	1	-	-	0	1	3	3						
N. Mex.	-	0	1	-	1	-	0	1	-	1	-	0	1	1	1						
Utah	-	0	1	-	-	-	0	2	5	7	-	0	2	7	4						
Wyo.	-	0	1	-	-	-	0	0	-	-	-	0	2	1	2						
PACIFIC	-	2	16	46	21	-	3	45	48	79	1	4	48	124	145						
Alaska	-	0	1	2	-	-	0	4	2	8	-	0	1	1	2						
Calif.	-	2	8	43	21	-	2	6	33	63	-	3	10	90	115						
Hawaii	N	0	0	N	N	-	0	1	2	2	-	0	1	2	4						
Oreg.	-	0	1	1	-	-	0	3	8	6	1	0	3	17	24						
Wash.	-	0	8	-	-	-	0	43	3	-	-	0	43	14	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	-	-						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	N	0	0	N	N	-	0	1	1	-	-	0	1	5	4						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Data for meningococcal disease, invasive caused by serogroups A, C, Y, & W-135; serogroup B; other serogroup; and 
unknown serogroup are available in Table I.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


