
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 20, 1999 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	115	150	1,603	2,399	548	1,049	-	7	-	2	9	2									
NEW ENGLAND	11	12	22	61	8	17	-	-	-	-	-	1									
Maine	1	-	2	8	-	-	-	-	-	-	-	-									
N.H.	1	1	2	3	2	2	-	-	-	-	-	-									
Vt.	2	-	-	2	-	-	-	-	-	-	-	-									
Mass.	7	11	7	16	4	9	-	-	-	-	-	1									
R.I.	-	-	-	4	2	-	-	-	-	-	-	-									
Conn.	-	-	11	28	-	6	U	-	U	-	-	-									
MID. ATLANTIC	17	19	70	178	52	160	-	-	-	-	-	1									
Upstate N.Y.	11	6	16	41	15	31	-	-	-	-	-	-									
N.Y. City	-	6	11	74	6	44	-	-	-	-	-	-									
N.J.	6	7	24	31	8	27	-	-	-	-	-	1									
Pa.	-	-	19	32	23	58	-	-	-	-	-	-									
E.N. CENTRAL	14	26	470	443	61	265	-	-	-	-	-	-									
Ohio	12	12	93	58	16	11	-	-	-	-	-	-									
Ind.	1	2	29	58	4	121	-	-	-	-	-	-									
Ill.	1	11	31	116	-	37	-	-	-	-	-	-									
Mich.	-	-	316	184	41	77	-	-	-	-	-	-									
Wis.	-	1	1	27	-	19	-	-	-	-	-	-									
W.N. CENTRAL	3	1	28	233	12	61	-	-	-	-	-	-									
Minn.	-	-	2	5	1	2	-	-	-	-	-	-									
Iowa	1	-	7	77	4	10	-	-	-	-	-	-									
Mo.	-	-	3	127	-	42	-	-	-	-	-	-									
N. Dak.	-	-	-	-	-	-	-	-	-	-	-	-									
S. Dak.	1	-	-	1	-	1	-	-	-	-	-	-									
Nebr.	-	-	13	3	6	1	-	-	-	-	-	-									
Kans.	1	1	3	20	1	5	-	-	-	-	-	-									
S. ATLANTIC	37	23	186	156	98	90	-	-	-	-	-	-									
Del.	-	-	-	-	-	-	-	-	-	-	-	-									
Md.	19	8	49	52	24	21	-	-	-	-	-	-									
D.C.	-	-	9	6	2	1	-	-	-	-	-	-									
Va.	2	3	12	20	7	7	-	-	-	-	-	-									
W. Va.	1	1	-	-	-	-	-	-	-	-	-	-									
N.C.	2	3	20	13	31	40	-	-	-	-	-	-									
S.C.	2	-	1	6	10	-	-	-	-	-	-	-									
Ga.	-	7	46	27	4	11	-	-	-	-	-	-									
Fla.	11	1	49	32	20	10	-	-	-	-	-	-									
E.S. CENTRAL	9	12	62	68	43	60	-	-	-	-	-	-									
Ky.	-	2	-	2	-	3	U	-	U	-	-	-									
Tenn.	5	5	42	39	32	44	-	-	-	-	-	-									
Ala.	4	5	19	14	11	13	-	-	-	-	-	-									
Miss.	-	-	1	13	-	-	U	-	U	-	-	-									
W.S. CENTRAL	9	7	73	170	19	72	-	-	-	2	2	-									
Ark.	-	-	3	3	6	14	-	-	-	-	-	-									
La.	3	3	6	3	4	3	-	-	-	-	-	-									
Okla.	4	3	26	55	1	3	-	-	-	-	-	-									
Tex.	2	1	38	109	8	52	-	-	-	2	2	-									
MOUNTAIN	9	31	123	411	58	106	-	1	-	-	1	-									
Mont.	1	-	2	6	1	1	-	-	-	-	-	-									
Idaho	1	-	4	26	4	4	-	-	-	-	-	-									
Wyo.	-	-	-	3	-	1	U	-	U	-	-	-									
Colo.	1	3	51	43	15	12	-	1	-	-	1	-									
N. Mex.	2	-	5	27	27	38	-	-	-	-	-	-									
Ariz.	-	16	50	246	6	29	U	-	U	-	-	-									
Utah	4	2	11	25	5	8	-	-	-	-	-	-									
Nev.	U	10	U	35	U	13	U	U	U	U	U	-									
PACIFIC	6	19	569	679	197	218	-	6	-	-	6	-									
Wash.	-	-	20	46	2	14	-	-	-	-	-	-									
Oreg.	5	9	27	49	4	19	-	6	-	-	6	-									
Calif.	-	8	519	575	189	180	-	-	-	-	-	-									
Alaska	1	-	2	-	2	1	-	-	-	-	-	-									
Hawaii	-	2	1	9	-	4	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	1	8	6	9	69	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	-	-	7	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


