
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending March 15, 2003 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	4,075	5,683	3,193	2,809	982	996	542	472	75	39											
NEW ENGLAND	192	280	61	52	56	48	2	1	1	1											
Maine	9	40	2	2	4	7	-	-	-	-											
N.H.	12	9	-	3	5	12	-	-	N	N											
Vt.	3	12	-	-	6	1	2	1	1	1											
Mass.	116	155	37	39	41	28	N	N	N	N											
R.I.	10	5	2	-	-	-	-	-	-	-											
Conn.	42	59	20	8	-	-	-	-	-	-											
MID. ATLANTIC	330	743	177	176	135	165	16	24	18	11											
Upstate N.Y.	99	129	47	21	91	70	15	24	15	11											
N.Y. City	125	200	54	73	15	34	U	U	U	U											
N.J.	27	211	45	39	10	43	N	N	N	N											
Pa.	79	203	31	43	19	18	1	-	3	-											
E.N. CENTRAL	582	975	228	386	236	249	105	38	36	20											
Ohio	215	266	59	194	84	48	81	-	32	-											
Ind.	46	48	25	11	15	7	24	36	4	6											
Ill.	169	405	82	115	41	91	-	2	-	-											
Mich.	102	140	47	36	95	67	N	N	N	N											
Wis.	50	116	15	30	1	36	N	N	-	14											
W.N. CENTRAL	288	397	157	269	84	61	70	94	9	6											
Minn.	81	77	15	31	31	21	-	36	9	5											
Iowa	67	55	7	25	-	-	N	N	N	N											
Mo.	76	175	52	32	20	19	3	1	-	1											
N. Dak.	6	5	-	-	3	-	3	-	-	-											
S. Dak.	15	18	8	100	8	3	-	1	-	-											
Nebr.	14	18	63	59	11	6	12	18	N	N											
Kans.	29	49	12	22	11	12	52	38	N	N											
S. ATLANTIC	1,285	1,457	1,595	1,036	173	171	302	249	2	1											
Del.	4	12	66	3	2	-	-	3	N	N											
Md.	121	103	134	116	68	22	-	-	-	-											
D.C.	-	15	-	13	-	3	-	16	-	1											
Va.	78	92	47	205	2	14	N	N	N	N											
W. Va.	5	6	-	2	5	-	16	6	2	-											
N.C.	237	197	158	60	22	43	N	N	U	U											
S.C.	60	65	34	9	3	12	20	52	N	N											
Ga.	310	357	612	390	16	50	99	101	N	N											
Fla.	470	610	544	238	55	27	167	71	N	N											
E.S. CENTRAL	287	286	165	198	31	31	23	45	-	-											
Ky.	55	33	32	41	5	5	1	6	N	N											
Tenn.	86	87	46	14	26	26	22	39	N	N											
Ala.	96	94	62	64	-	-	-	-	N	N											
Miss.	50	72	25	79	-	-	-	-	-	-											
W.S. CENTRAL	182	346	368	186	48	63	15	7	9	-											
Ark.	51	56	8	26	1	-	3	2	-	-											
La.	38	48	40	22	1	1	12	5	7	-											
Okla.	36	48	132	42	22	11	N	N	2	-											
Tex.	57	194	188	96	24	51	N	N	-	-											
MOUNTAIN	332	334	210	88	155	69	8	14	-	-											
Mont.	16	7	-	-	-	-	-	-	-	-											
Idaho	24	18	3	2	8	1	N	N	N	N											
Wyo.	4	13	1	1	-	3	1	7	-	-											
Colo.	98	95	31	23	55	28	-	-	-	-											
N. Mex.	26	50	29	12	34	32	7	7	-	-											
Ariz.	119	82	131	36	53	-	-	-	N	N											
Utah	27	26	6	7	5	5	-	-	-	-											
Nev.	18	43	9	7	-	-	-	-	-	-											
PACIFIC	597	865	232	418	64	139	1	-	-	-											
Wash.	69	29	26	12	-	26	-	-	N	N											
Oreg.	58	55	14	27	N	N	N	N	N	N											
Calif.	422	723	178	366	43	98	N	N	N	N											
Alaska	20	15	3	1	-	-	-	-	N	N											
Hawaii	28	43	11	12	21	15	1	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	3	-	-	-	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


