
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 26, 2002 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 2002
Legionellosis cummulative for 2001
Listeriosis cummulative for 2002
Listeriosis cummulative for 2001
Lyme Disease cummulative for 2002
Lyme Disease cummulative for 2001
Malaria cummulative for 2002
Malaria cummulative for 2001
Measles Total cummulative for 2002
Measles Total cummulative for 2001

tab delimited data:
test
UNITED STATES	32	48	14	24	222	200	35	76	-	11											
NEW ENGLAND	-	1	2	2	9	15	4	8	-	1											
Maine	-	-	1	-	-	-	-	-	-	-											
N.H.	-	-	-	-	6	-	3	-	-	-											
Vt.	-	1	-	-	-	-	-	-	-	-											
Mass.	-	-	-	2	3	15	-	5	-	1											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	-	1	-	-	-	1	3	-	-											
MID. ATLANTIC	3	5	2	4	167	120	2	18	-	-											
Upstate N.Y.	-	1	2	1	135	29	1	1	-	-											
N.Y. City	-	-	-	1	-	3	1	11	-	-											
N.J.	-	2	-	2	-	51	-	4	-	-											
Pa.	3	2	-	-	32	37	-	2	-	-											
E.N. CENTRAL	21	24	3	4	2	19	5	15	-	-											
Ohio	15	10	2	-	2	8	3	2	-	-											
Ind.	-	1	-	-	-	-	-	1	-	-											
Ill.	-	4	-	1	-	2	-	5	-	-											
Mich.	6	3	1	2	-	-	2	7	-	-											
Wis.	-	6	-	1	U	9	-	-	-	-											
W.N. CENTRAL	-	4	-	1	3	-	3	2	-	-											
Minn.	-	-	-	-	1	-	-	-	-	-											
Iowa	-	1	-	-	-	-	1	-	-	-											
Mo.	-	1	-	-	2	-	2	2	-	-											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	-											
Nebr.	-	1	-	-	-	-	-	-	-	-											
Kans.	-	1	-	1	-	-	-	-	-	-											
S. ATLANTIC	5	3	1	2	33	31	9	13	-	-											
Del.	1	-	-	-	-	3	-	-	-	-											
Md.	2	2	-	1	28	25	5	6	-	-											
D.C.	-	-	-	-	2	1	1	1	-	-											
Va.	-	1	-	1	-	1	-	4	-	-											
W. Va.	N	N	-	-	-	-	-	-	-	-											
N.C.	-	-	-	-	-	1	2	1	-	-											
S.C.	-	-	-	-	-	-	-	-	-	-											
Ga.	-	-	-	-	-	-	-	-	-	-											
Fla.	2	-	1	-	3	-	1	1	-	-											
E.S. CENTRAL	-	2	-	1	-	1	2	-	-	-											
Ky.	-	1	-	1	-	1	-	-	-	-											
Tenn.	-	-	-	-	-	-	1	-	-	-											
Ala.	-	1	-	-	-	-	1	-	-	-											
Miss.	-	-	-	-	-	-	-	-	-	-											
W.S. CENTRAL	-	1	-	-	1	9	-	2	-	-											
Ark.	-	-	-	-	-	-	-	-	-	-											
La.	-	1	-	-	-	-	-	1	-	-											
Okla.	-	-	-	-	-	-	-	-	-	-											
Tex.	-	-	-	-	1	9	-	1	-	-											
MOUNTAIN	2	2	2	-	2	-	-	2	-	-											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	-	-	-	-	-	-	-	1	-	-											
Wyo.	-	-	-	-	-	-	-	-	-	-											
Colo.	1	2	1	-	1	-	-	1	-	-											
N. Mex.	-	-	-	-	1	-	-	-	-	-											
Ariz.	-	-	1	-	-	-	-	-	-	-											
Utah	1	-	-	-	-	-	-	-	-	-											
Nev.	-	-	-	-	-	-	-	-	-	-											
PACIFIC	1	6	4	10	5	5	10	16	-	10											
Wash.	-	-	-	-	-	-	-	-	-	7											
Oreg.	N	N	-	1	-	-	-	2	-	2											
Calif.	1	6	4	9	5	5	8	14	-	-											
Alaska	-	-	-	-	-	-	-	-	-	-											
Hawaii	-	-	-	-	N	N	2	-	-	1											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	2	-	-	N	N	-	-	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


