
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending August 2, 2008 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2008
Syphillis, primary & secondary cummulative for 2007

tab delimited data:
test
UNITED STATES	7	51	264	1,614	1,674	3	9	43	277	326	120	232	351	6,657	6,229						
NEW ENGLAND	-	1	41	30	86	-	0	8	5	12	3	6	14	182	151						
Conn.	-	0	37	-	51	-	0	7	-	4	2	0	6	16	20						
Maine	-	0	2	13	9	-	0	1	1	1	-	0	2	8	4						
Mass.	-	0	0	-	-	-	0	0	-	2	-	4	11	134	85						
N.H.	-	0	0	-	-	-	0	0	-	-	-	0	2	10	19						
R.I.	-	0	3	7	15	-	0	1	2	3	1	0	5	13	21						
Vt.	-	0	2	10	11	-	0	1	2	2	-	0	5	1	2						
MID. ATLANTIC	1	3	10	140	95	-	0	2	17	22	26	32	45	1,009	935						
N.J.	-	0	0	-	-	-	0	0	-	-	8	4	10	123	117						
N.Y. (Upstate)	-	1	4	38	30	-	0	2	6	8	3	3	13	87	82						
N.Y. City	-	0	5	41	-	-	0	0	-	-	14	17	30	629	574						
Pa.	1	1	8	61	65	-	0	2	11	14	1	5	12	170	162						
E.N. CENTRAL	-	13	50	448	449	1	2	14	74	73	12	19	31	572	505						
Ill.	-	2	15	57	85	-	0	6	14	25	-	7	19	162	266						
Ind.	-	3	28	139	98	-	0	11	17	14	1	2	6	79	28						
Mich.	-	0	2	10	1	-	0	1	2	1	4	2	17	129	68						
Ohio	-	7	15	242	265	1	1	4	41	33	6	4	13	172	105						
Wis.	-	0	0	-	-	-	0	0	-	-	1	1	4	30	38						
W.N. CENTRAL	-	3	106	112	114	-	0	9	8	25	2	8	15	229	188						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	11	12						
Kans.	-	1	5	51	61	-	0	1	3	4	2	0	5	19	10						
Minn.	-	0	105	-	1	-	0	9	-	17	-	1	5	56	40						
Mo.	-	1	8	61	43	-	0	1	2	-	-	5	10	136	120						
Nebr.	-	0	0	-	2	-	0	0	-	-	-	0	2	7	3						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	2	-	7	-	0	1	3	4	-	0	3	-	3						
S. ATLANTIC	6	20	41	673	709	2	4	10	127	155	19	51	215	1,376	1,356						
Del.	-	0	1	3	5	-	0	0	-	2	-	0	4	10	7						
D.C.	-	0	3	12	12	-	0	0	-	1	-	2	11	66	111						
Fla.	6	11	26	375	394	2	2	6	80	80	7	19	34	531	442						
Ga.	-	7	19	221	250	-	1	6	41	64	-	10	175	218	229						
Md.	-	0	0	-	1	-	0	0	-	-	3	6	14	188	180						
N.C.	N	0	0	N	N	N	0	0	N	N	2	6	18	161	200						
S.C.	-	0	0	-	-	-	0	0	-	-	-	2	5	50	58						
