
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending August 8, 2009 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	64	102	239	3,663	3,786	12	36	122	1,100	1,147											
NEW ENGLAND	10	5	28	219	282	1	1	12	40	57											
Conn.	9	0	21	62	78	-	0	11	-	-											
Maine	-	0	2	13	20	1	0	1	3	1											
Mass.	1	3	10	91	134	-	1	4	28	42											
N.H.	-	1	4	31	18	-	0	2	7	7											
R.I.	-	0	2	9	20	-	0	2	-	7											
Vt.	-	0	3	13	12	-	0	1	2	-											
MID. ATLANTIC	5	19	43	732	781	3	4	33	165	149											
N.J.	-	3	6	92	142	-	1	4	28	44											
N.Y. (Upstate)	2	7	25	243	247	3	2	17	79	68											
N.Y. City	-	4	12	139	141	-	0	31	58	37											
Pa.	3	6	18	258	251	N	0	2	N	N											
E.N. CENTRAL	5	17	42	752	743	-	6	18	168	209											
Ill.	-	5	12	182	199	-	1	5	19	60											
Ind.	-	3	23	185	96	-	0	13	32	21											
Mich.	-	3	11	109	127	-	1	5	45	55											
Ohio	3	4	13	173	205	-	1	6	48	37											
Wis.	2	2	10	103	116	-	1	4	24	36											
W.N. CENTRAL	15	6	37	306	281	4	2	11	97	57											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	1	5	37	32	N	0	1	N	N											
Minn.	14	0	34	139	136	4	0	10	54	14											
Mo.	1	2	8	67	64	-	1	4	29	26											
Nebr.	-	1	3	32	25	-	0	1	5	6											
N. Dak.	-	0	4	11	8	-	0	3	4	5											
S. Dak.	-	0	3	20	16	-	0	2	5	6											
S. ATLANTIC	16	22	47	798	760	-	6	16	205	220											
Del.	-	0	1	9	6	-	0	0	-	-											
D.C.	-	0	2	-	8	N	0	0	N	N											
Fla.	5	6	12	190	170	-	1	6	48	41											
Ga.	3	5	13	188	174	-	2	6	49	59											
Md.	3	3	12	128	136	-	1	4	46	43											
N.C.	2	2	12	81	96	N	0	0	N	N											
S.C.	-	2	5	49	43	-	1	6	32	37											
Va.	-	3	9	120	98	-	0	4	18	35											
W. Va.	3	1	4	33	29	-	0	3	12	5											
E.S. CENTRAL	3	4	10	138	128	-	1	6	42	59											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	2	1	5	25	28	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	-	8											
Tenn.	1	3	9	113	100	-	1	6	42	51											
W.S. CENTRAL	9	9	79	299	322	3	6	46	187	177											
Ark.	1	0	2	14	7	-	0	4	19	10											
La.	-	0	3	9	13	-	0	3	13	10											
Okla.	5	3	20	103	74	1	1	7	36	48											
Tex.	3	6	59	173	228	2	4	34	119	109											
MOUNTAIN	1	10	22	314	397	1	4	16	161	185											
Ariz.	-	3	7	102	140	-	2	10	82	85											
Colo.	1	3	9	104	100	1	1	4	31	41											
Idaho	-	0	2	4	12	-	0	2	6	3											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	5	6	-	0	1	-	3											
N. Mex.	-	2	7	58	97	-	0	4	15	25											
Utah	-	1	6	40	36	-	0	5	27	27											
Wyo.	-	0	1	1	6	-	0	1	-	1											
PACIFIC	-	4	10	105	92	-	1	6	35	34											
Alaska	-	1	3	28	23	-	0	5	29	22											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	3	8	77	69	-	0	2	6	12											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	30	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


