
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending February 18, 2006 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	35	105	160	297	717	3	34	98	162	63	302	856	1,449	2,801	3,047						
NEW ENGLAND	2	13	33	42	79	-	0	1	-	-	1	40	76	122	132						
Conn.	-	3	13	8	11	-	0	0	-	-	-	9	25	25	26						
Maine	2	1	4	6	5	N	0	0	N	N	-	3	8	2	8						
Mass.	-	5	22	22	54	-	0	1	-	-	-	20	38	81	80						
N.H.	-	0	3	1	2	-	0	1	-	-	1	2	12	8	9						
R.I.	-	0	4	1	-	-	0	1	-	-	-	0	15	4	-						
Vt.	-	1	7	4	7	-	0	0	-	-	-	1	10	2	9						
MID. ATLANTIC	5	18	40	66	66	-	2	8	1	3	26	95	183	267	350						
N.J.	N	0	0	N	N	-	0	6	-	1	-	16	45	2	72						
N.Y. (Upstate)	5	12	24	45	25	-	0	2	-	-	21	22	146	58	58						
N.Y. City	-	0	3	-	4	-	0	2	1	1	1	24	43	79	108						
Pa.	-	7	22	21	37	-	1	6	-	1	4	30	61	128	112						
E.N. CENTRAL	-	3	19	2	6	1	0	3	1	1	36	93	243	282	364						
Ill.	-	1	4	-	1	-	0	1	-	-	-	29	160	13	102						
Ind.	-	0	3	-	1	-	0	1	-	-	-	10	71	30	11						
Mich.	-	0	4	1	2	-	0	1	-	-	6	17	35	64	81						
Ohio	-	0	13	1	2	1	0	3	1	1	30	23	52	131	89						
Wis.	-	0	3	-	-	-	0	1	-	-	-	15	45	44	81						
