
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 23, 2013 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia trachomatis infection current week
Chlamydia trachomatis infection previous 52 weeks median 
Chlamydia trachomatis infection previous 52 weeks maximum 
Chlamydia trachomatis infection cummulative for 2013
Chlamydia trachomatis infection cummulative for 2012
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2013
Coccidioidomycosis cummulative for 2012
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2013
Cryptosporidiosis cummulative for 2012

tab delimited data:
test
UNITED STATES	9,350	26,570	30,123	163,506	214,150	6	264	555	194	3,142	46	128	282	573	833						
NEW ENGLAND	396	944	1,347	6,464	7,118	-	0	1	1	-	1	7	19	15	44						
Conn.	-	245	567	1,406	1,731	N	0	0	N	N	-	1	3	3	5						
Maine	37	60	101	462	499	N	0	0	N	N	1	1	4	3	7						
Mass.	357	472	706	3,419	3,391	-	0	0	-	-	-	2	8	6	21						
N.H.	-	60	83	350	505	-	0	1	1	-	-	0	4	1	6						
R.I.	-	81	161	538	857	-	0	1	-	-	-	0	3	-	-						
Vt.	2	28	98	289	135	N	0	0	N	N	-	1	6	2	5						
MID. ATLANTIC	1,776	3,499	4,472	26,727	27,005	-	0	1	-	2	5	12	41	68	80						
N.J.	168	540	633	3,758	4,379	N	0	0	N	N	-	0	4	-	8						
N.Y. (Upstate)	755	722	1,647	4,850	4,625	N	0	0	N	N	2	3	18	18	14						
N.Y. City	1	1,126	1,263	7,387	9,434	N	0	0	N	N	-	2	8	7	14						
Pa.	852	1,073	1,990	10,732	8,567	-	0	1	-	2	3	7	21	43	44						
E.N. CENTRAL	1,222	4,134	4,501	20,544	34,265	-	1	4	4	9	6	28	110	112	205						
Ill.	-	1,137	1,514	1,843	10,289	N	0	0	N	N	-	3	8	3	18						
Ind.	186	563	838	3,390	4,568	N	0	0	N	N	-	3	8	7	22						
Mich.	480	916	1,304	5,958	7,412	-	0	2	2	5	2	5	40	26	46						
Ohio	312	1,029	1,190	5,913	8,321	-	0	2	-	4	4	10	28	45	67						
Wis.	244	469	552	3,440	3,675	-	0	1	2	-	-	9	43	31	52						
W.N. CENTRAL	130	1,546	1,785	7,312	13,127	-	2	8	-	12	-	17	42	54	97						
Iowa	18	210	255	1,221	1,983	N	0	0	N	N	-	5	22	9	40						
Kans.	-	210	256	1,202	1,857	N	0	0	N	N	-	2	5	1	16						
Minn.	-	345	436	-	2,864	-	2	7	-	11	-	0	0	-	-						
Mo.	75	545	657	3,248	4,333	-	0	1	-	1	-	4	12	27	17						
Nebr.	12	118	180	850	1,080	-	0	1	-	-	-	2	10	9	7						
N. Dak.	1	49	73	233	432	-	0	0	-	-	-	0	3	3	4						
S. Dak.	24	76	106	558	578	N	0	0	N	N	-	2	6	5	13						
S. ATLANTIC	2,595	5,224	6,439	35,570	43,417	-	0	1	-	1	21	19	59	167	161						
Del.	31	85	322	986	585	-	0	1	-	-	-	0	2	1	6						
D.C.	-	134	241	1,037	1,081	-	0	0	-	-	N	0	0	N	N						
Fla.	956	1,509	1,758	11,198	11,888	N	0	0	N	N	6	9	24	45	65						
Ga.	748	918	1,179	6,337	8,747	N	0	0	N	N	9	4	15	35	37						
Md.	285	455	1,231	2,209	2,720	-	0	1	-	1	-	1	5	9	18						
N.C.	-	865	1,771	4,383	7,370	N	0	0	N	N	3	0	29	41	-						
S.C.	-	525	908	3,261	4,495	N	0	0	N	N	2	1	4	16	15						
Va.	510	656	936	5,433	5,772	N	0	0	N	N	1	3	6	17	19						
W. Va.	65	89	149	726	759	N	0	0	N	N	-	0	3	3	1						
E.S. CENTRAL	528	1,918	2,559	8,779	16,995	-	0	0	-	-	4	4	14	25	41						
Ala.	-	563	862	-	4,571	N	0	0	N	N	3	2	6	14	18						
Ky.	327	340	787	2,641	2,397	N	0	0	N	N	-	1	4	3	4						
Miss.	-	411	766	2,327	4,619	N	0	0	N	N	-	0	4	2	7						
Tenn.	201	622	784	3,811	5,408	N	0	0	N	N	1	1	5	6	12						
W.S. CENTRAL	188	3,299	4,395	20,273	24,321	-	0	1	1	-	4	9	27	51	59						
Ark.	-	329	394	2,232	2,607	N	0	0	N	N	-	0	5	1	3						
La.	-	468	1,317	2,045	845	-	0	1	1	-	1	2	7	29	12						
Okla.	188	87	911	1,417	1,269	N	0	0	N	N	-	1	6	4	10						
Tex.	-	2,442	3,647	14,579	19,600	N	0	0	N	N	3	4	24	17	34						
MOUNTAIN	806	1,777	2,071	10,033	13,941	1	181	441	14	2,115	1	12	45	27	69						
Ariz.	-	574	872	969	4,582	1	178	439	5	2,081	-	1	4	1	2						
Colo.	381	420	556	3,168	3,307	N	0	0	N	N	-	1	7	3	8						
Idaho	-	84	158	534	756	N	0	0	N	N	1	3	25	7	12						
Mont.	57	74	109	536	585	-	0	1	-	-	-	1	4	3	9						
Nev.	193	215	325	1,487	1,244	-	1	7	6	17	-	0	2	1	2						
N. Mex.	173	228	463	2,467	1,877	-	0	3	-	8	-	1	5	3	19						
Utah	2	150	179	742	1,294	-	1	4	2	7	-	2	21	8	13						
Wyo.	-	33	63	130	296	-	0	1	1	2	-	0	4	1	4						
PACIFIC	1,709	4,183	4,936	27,804	33,961	5	72	122	174	1,003	4	13	25	54	77						
Alaska	38	105	150	842	911	N	0	0	N	N	-	0	1	-	-						
Calif.	1,048	3,235	4,059	21,895	26,309	5	72	122	174	1,002	2	7	15	34	51						
