
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending May 25, 2013 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2013
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2013
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2013
Syphillis, primary & secondary cummulative for 2012

tab delimited data:
test
UNITED STATES	134	261	950	7,705	7,546	14	22	55	496	582	76	307	391	5,316	5,947						
NEW ENGLAND	2	11	55	313	339	-	1	4	15	32	3	8	16	173	204						
Conn.	-	5	21	169	162	-	0	2	6	10	-	0	4	7	28						
Maine	2	2	8	63	56	-	0	1	3	1	-	0	5	2	9						
Mass.	-	0	4	8	21	-	0	3	5	16	2	6	16	135	127						
N.H.	-	1	5	39	46	-	0	1	1	4	-	0	4	11	14						
R.I.	-	0	29	1	26	-	0	0	-	1	1	0	4	16	23						
Vt.	-	1	6	33	28	-	0	0	-	-	-	0	2	2	3						
MID. ATLANTIC	-	39	196	883	1,110	-	2	13	39	51	14	39	59	734	715						
N.J.	-	5	27	8	308	-	0	3	-	17	-	4	10	55	83						
N.Y. (Upstate)	-	18	145	493	454	-	1	9	25	24	8	5	32	110	73						
N.Y. City	-	13	36	382	348	-	0	3	14	10	-	20	32	378	367						
Pa.	N	-	-	N	N	N	0	0	N	N	6	9	19	191	192						
E.N. CENTRAL	41	56	132	1,632	1,573	4	4	9	86	119	2	31	61	491	708						
Ill.	N	0	0	N	N	-	1	3	19	23	-	11	25	148	331						
Ind.	-	13	50	307	347	-	1	3	13	14	2	4	10	85	81						
Mich.	3	13	30	368	327	-	0	3	22	24	-	5	14	103	113						
