
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending September 26, 2009 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	21	101	239	3,988	4,258	15	36	122	1,227	1,288											
NEW ENGLAND	1	5	28	237	304	1	1	12	45	61											
Conn.	-	0	21	63	86	-	0	11	-	-											
Maine	-	0	2	13	21	-	0	1	3	1											
Mass.	1	3	10	103	141	-	1	4	30	45											
N.H.	-	1	4	34	20	-	0	2	8	8											
R.I.	-	0	2	11	23	-	0	2	1	7											
Vt.	-	0	3	13	13	1	0	1	3	-											
MID. ATLANTIC	5	19	43	810	869	3	5	33	186	160											
N.J.	-	3	7	115	157	-	1	4	32	47											
N.Y. (Upstate)	3	7	25	265	271	3	2	17	88	71											
N.Y. City	-	4	12	155	160	-	0	31	66	42											
Pa.	2	6	18	275	281	N	0	2	N	N											
E.N. CENTRAL	1	17	42	749	804	2	6	18	188	234											
Ill.	-	5	12	211	214	-	1	5	23	66											
Ind.	-	2	23	120	109	-	0	13	26	26											
Mich.	-	3	11	121	140	-	1	5	49	59											
Ohio	1	4	13	187	219	2	1	6	56	44											
Wis.	-	2	11	110	122	-	1	4	34	39											
W.N. CENTRAL	1	6	37	323	316	1	2	11	109	70											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	5	37	34	N	0	1	N	N											
Minn.	-	0	34	146	150	-	0	10	61	20											
Mo.	1	2	8	72	74	1	0	4	30	31											
Nebr.	-	1	3	36	31	-	0	1	8	7											
N. Dak.	-	0	4	11	8	-	0	3	4	6											
S. Dak.	-	0	3	21	19	-	0	2	6	6											
S. ATLANTIC	11	22	49	911	873	2	6	16	227	252											
Del.	-	0	1	10	6	-	0	0	-	-											
D.C.	-	0	3	11	12	N	0	0	N	N											
Fla.	5	6	12	226	198	1	1	6	54	47											
Ga.	3	5	13	217	195	1	2	6	58	69											
Md.	-	3	12	140	149	-	1	4	51	47											
N.C.	1	2	12	84	110	N	0	0	N	N											
S.C.	-	1	5	57	57	-	1	6	34	44											
Va.	2	3	9	132	113	-	0	4	18	38											
W. Va.	-	1	4	34	33	-	0	3	12	7											
E.S. CENTRAL	1	3	10	152	150	2	2	7	68	65											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	1	5	30	32	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	14	8											
Tenn.	-	3	9	122	118	2	1	6	54	57											
W.S. CENTRAL	-	9	79	343	383	3	5	46	207	204											
Ark.	-	0	2	14	9	-	0	4	22	11											
La.	-	0	3	11	15	-	0	3	13	11											
Okla.	-	3	20	111	88	3	1	7	46	51											
Tex.	-	5	59	207	271	-	3	34	126	131											
MOUNTAIN	1	10	22	343	443	1	4	16	171	203											
Ariz.	1	3	7	118	157	1	2	10	92	92											
Colo.	-	3	7	108	111	-	0	4	30	48											
Idaho	-	0	2	8	13	-	0	2	7	3											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	5	8	-	0	1	-	3											
N. Mex.	-	2	7	62	104	-	0	4	15	27											
Utah	-	1	6	41	44	-	0	5	27	28											
Wyo.	-	0	1	1	6	-	0	0	-	2											
PACIFIC	-	3	9	120	116	-	0	4	26	39											
Alaska	-	1	4	26	29	-	0	3	20	24											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	3	8	94	87	-	0	2	6	15											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	30	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


