
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending July 17, 2010 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral Acute), Type A current week
Hepatitis (Viral Acute), Type A previous 52 weeks median 
Hepatitis (Viral Acute), Type A previous 52 weeks maximum 
Hepatitis (Viral Acute), Type A cummulative for 2010
Hepatitis (Viral Acute), Type A cummulative for 2009
Hepatitis (Viral Acute), Type B current week
Hepatitis (Viral Acute), Type B previous 52 weeks median 
Hepatitis (Viral Acute), Type B previous 52 weeks maximum 
Hepatitis (Viral Acute), Type B cummulative for 2010
Hepatitis (Viral Acute), Type B cummulative for 2009
Hepatitis (Viral Acute), Type C current week
Hepatitis (Viral Acute), Type C previous 52 weeks median 
Hepatitis (Viral Acute), Type C previous 52 weeks maximum 
Hepatitis (Viral Acute), Type C cummulative for 2010
Hepatitis (Viral Acute), Type C cummulative for 2009

tab delimited data:
test
UNITED STATES	11	31	69	734	1,065	30	58	204	1,474	1,801	4	14	44	396	416						
NEW ENGLAND	-	2	5	56	56	-	1	5	30	32	-	1	5	18	32						
Conn.	-	0	2	14	12	-	0	2	7	8	-	1	4	13	24						
Maine	-	0	1	4	1	-	0	2	9	7	-	0	1	-	-						
Mass.	-	1	4	33	33	-	0	2	7	14	-	0	1	5	7						
N.H.	-	0	1	-	5	-	0	2	5	3	-	0	0	-	-						
R.I.	-	0	4	5	3	-	0	0	-	U	-	0	0	-	U						
Vt.	-	0	0	-	2	-	0	1	2	-	-	0	0	-	1						
MID. ATLANTIC	4	4	10	98	147	2	5	10	144	207	-	2	5	55	53						
N.J.	-	0	4	10	41	-	1	4	32	63	-	0	2	5	3						
N.Y. (Upstate)	2	1	3	29	25	-	1	6	27	35	-	1	3	32	27						
N.Y. City	-	1	5	30	44	-	1	4	44	39	-	0	1	-	2						
Pa.	2	1	6	29	37	2	1	5	41	70	-	0	3	18	21						
E.N. CENTRAL	-	4	10	90	173	3	8	15	232	260	-	2	6	80	61						
Ill.	-	1	6	17	77	-	2	6	49	60	-	0	1	1	3						
Ind.	-	0	2	8	13	-	1	5	29	44	-	0	2	14	13						
Mich.	-	1	4	28	40	2	2	6	62	83	-	1	6	58	20						
Ohio	-	0	4	17	26	1	2	6	62	59	-	0	3	5	22						
Wis.	-	0	3	20	17	-	1	3	30	14	-	0	1	2	3						
W.N. CENTRAL	1	1	10	25	66	2	3	15	71	67	1	0	11	13	6						
Iowa	-	0	3	4	21	-	0	3	10	18	-	0	4	1	3						
Kans.	1	0	2	8	6	-	0	2	4	4	-	0	0	-	1						
Minn.	-	0	8	1	12	-	0	13	2	10	-	0	9	3	-						
Mo.	-	0	3	11	11	2	1	5	45	24	-	0	1	7	-						
Nebr.	-	0	3	1	14	-	0	2	9	10	1	0	1	2	2						
N. Dak.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	2	-	0	1	1	1	-	0	1	-	-						
S. ATLANTIC	3	7	13	162	228	7	16	40	409	497	1	3	7	71	95						
Del.	-	0	1	5	3	-	1	2	16	18	U	0	0	U	U						
D.C.	-	0	1	1	1	-	0	2	2	7	-	0	1	2	-						
Fla.	1	3	8	65	104	4	5	11	160	168	1	1	4	26	20						
Ga.	1	1	3	19	27	1	3	7	82	75	-	0	2	6	25						
Md.	-	0	4	12	25	2	1	6	31	46	-	0	2	13	13						
N.C.	-	0	4	11	25	-	1	4	4	66	-	0	4	9	13						
S.C.	-	1	4	22	27	-	1	4	27	25	-	0	0	-	1						
Va.	1	1	6	26	16	-	2	14	55	48	-	0	2	9	7						
W. Va.	-	0	2	1	-	-	0	19	32	44	-	0	3	6	16						
E.S. CENTRAL	-	1	3	20	25	5	7	13	165	183	1	2	7	70	56						
Ala.	-	0	1	5	6	-	1	5	32	53	-	0	2	2	5						
Ky.	-	0	2	9	4	2	2	6	55	44	-	1	5	48	35						
Miss.	-	0	1	-	7	-	0	3	16	16	-	0	0	-	U						
Tenn.	-	0	2	6	8	3	2	6	62	70	1	0	4	20	16						
W.S. CENTRAL	1	3	19	76	104	6	9	109	215	296	-	1	14	30	31						
Ark.	-	0	3	-	5	-	1	4	27	39	-	0	1	-	1						
La.	-	0	2	6	2	-	1	5	21	33	-	0	1	3	5						
Okla.	-	0	3	-	1	3	1	19	39	50	-	0	12	14	4						
Tex.	1	2	18	70	96	3	5	87	128	174	-	0	3	13	21						
MOUNTAIN	1	3	8	83	80	1	2	6	56	81	-	1	4	21	32						
Ariz.	-	1	5	43	33	-	0	2	20	33	-	0	0	-	U						
