
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 8, 2000 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2000
AIDS § cummulative for 1999
Chlamydia† cummulative for 2000
Chlamydia† cummulative for 1999
Cryptosporidiosis cummulative for 2000
Cryptosporidiosis cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 1999

tab delimited data:
test
UNITED STATES	10,143	11,376	134,665	175,255	302	395	352	298	201	251											
NEW ENGLAND	666	529	5,739	5,690	15	19	32	43	28	38											
Maine	11	5	286	191	3	1	3	4	2	-											
N.H.	8	19	284	288	-	2	4	3	4	3											
Vt.	1	4	152	132	8	1	1	3	2	-											
Mass.	446	354	2,688	2,499	2	12	10	20	7	19											
R.I.	21	30	624	596	2	-	-	1	-	1											
Conn.	179	117	1,705	1,984	-	3	14	12	13	15											
MID. ATLANTIC	2,471	2,834	7,096	21,080	25	76	35	15	39	7											
Upstate N.Y.	131	359	N	N	18	26	35	10	32	1											
N.Y. City	1,441	1,443	464	10,053	4	39	-	2	-	-											
N.J.	563	593	1,107	3,371	-	4	-	3	2	6											
Pa.	336	439	5,525	7,656	3	7	N	N	5	-											
E.N. CENTRAL	921	842	23,677	28,073	49	65	52	55	10	41											
Ohio	139	148	6,179	8,685	14	9	15	23	5	12											
Ind.	88	124	3,192	3,234	3	5	10	10	1	8											
Ill.	542	402	6,759	7,286	-	7	16	11	-	8											
Mich.	114	125	5,831	5,868	9	10	11	11	2	7											
Wis.	38	43	1,716	3,000	23	34	N	N	2	6											
W.N. CENTRAL	203	246	6,916	9,990	23	26	76	71	48	61											
Minn.	44	39	1,658	2,073	4	11	18	12	22	16											
Iowa	15	30	991	857	3	3	15	8	4	2											
Mo.	90	99	1,287	3,655	8	5	34	6	12	5											
N. Dak.	-	3	61	243	1	-	2	2	2	2											
S. Dak.	2	5	469	521	3	2	1	1	1	1											
Nebr.	13	17	763	998	2	3	2	28	4	35											
Kans.	39	53	1,687	1,643	2	2	4	14	3	-											
S. ATLANTIC	2,848	3,163	26,955	35,461	53	64	33	27	16	18											
Del.	45	40	812	797	1	-	-	1	-	-											
Md.	271	344	2,734	3,620	5	5	5	1	1	-											
D.C.	186	118	854	N	-	3	-	-	U	U											
Va.	221	177	3,854	3,774	2	1	6	6	5	4											
W. Va.	15	19	450	588	-	-	2	-	1	1											
N.C.	128	197	5,495	5,686	4	1	8	7	2	6											
S.C.	232	313	669	5,642	-	-	2	1	-	1											
Ga.	300	349	5,015	7,311	32	42	3	1	3	U											
Fla.	1,450	1,606	7,072	8,043	9	12	7	10	4	6											
E.S. CENTRAL	415	490	12,324	12,715	11	4	21	23	13	12											
Ky.	56	70	2,166	2,088	-	1	7	6	3	5											
Tenn.	172	211	3,303	3,882	1	2	7	9	8	3											
Ala.	120	109	4,602	3,543	7	1	1	4	-	3											
Miss.	67	100	2,253	3,202	3	-	6	4	2	1											
W.S. CENTRAL	824	1,174	21,111	23,098	9	25	15	9	18	18											
Ark.	42	45	1,080	1,527	1	-	4	2	1	2											
La.	143	119	4,451	3,234	-	15	-	3	9	3											
Okla.	42	36	2,016	2,094	1	1	4	3	3	2											
Tex.	597	974	13,564	16,243	7	9	7	1	5	11											
MOUNTAIN	342	397	7,124	9,246	24	25	32	17	11	18											
Mont.	5	4	328	309	1	2	8	-	-	-											
Idaho	6	5	64	501	3	2	4	-	-	3											
Wyo.	2	2	206	217	1	-	3	2	2	3											
Colo.	70	74	911	2,105	6	3	10	5	5	3											
N. Mex.	40	13	748	1,345	1	11	-	1	-	-											
Ariz.	115	186	3,438	3,407	3	7	5	4	3	3											
Utah	41	37	699	483	8	N	1	5	1	5											
Nev.	63	76	730	879	1	-	1	-	-	1											
PACIFIC	1,453	1,701	23,723	29,902	93	91	56	38	18	38											
Wash.	148	88	3,400	3,306	N	N	5	5	7	16											
Oreg.	35	45	1,196	1,611	2	7	7	13	8	10											
Calif.	1,230	1,541	17,807	23,570	91	84	41	20	-	12											
Alaska	5	6	651	553	-	-	-	-	-	-											
Hawaii	35	21	669	862	-	-	3	-	3	-											
Guam	13	1	-	126	-	-	N	N	U	U											
P.R.	187	413	142	U	-	-	-	4	U	U											
V.I.	16	10	-	U	-	U	-	U	U	U											
Amer. Samoa	-	-	-	U	-	U	-	U	U	U											
C.N.M.I.	-	-	-	U	-	U	-	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


