
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending January 31, 2004 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2003
Syphilis (Congenital) cummulative for 2004
Syphilis (Congenital) cummulative for 2003
Tuberculosis cummulative for 2004
Tuberculosis cummulative for 2003
Typhoid Fever cummulative for 2004
Typhoid Fever cummulative for 2003
Varicella (Chicken Pox) cummulative for 2004
Varicella (Chicken Pox) cummulative for 2003

tab delimited data:
test
UNITED STATES	336	496	11	42	308	397	6	12	757	1,294											
NEW ENGLAND	8	7	-	-	4	10	-	-	89	303											
Maine	-	-	-	-	-	-	-	-	5	199											
N.H.	-	1	-	-	-	-	-	-	-	-											
Vt.	-	-	-	-	-	-	-	-	84	77											
Mass.	4	4	-	-	3	1	-	-	-	27											
R.I.	1	-	-	-	-	2	-	-	-	-											
Conn.	3	2	-	-	1	7	-	-	-	-											
MID. ATLANTIC	37	55	2	6	86	87	-	2	4	1											
Upstate N.Y.	1	1	2	1	-	1	-	-	-	-											
N.Y. City	26	27	-	1	86	59	-	1	-	-											
N.J.	4	17	-	4	-	11	-	1	-	-											
Pa.	6	10	-	-	-	16	-	-	4	1											
E.N. CENTRAL	32	70	5	8	79	21	1	2	402	600											
Ohio	12	12	-	1	8	5	1	-	63	91											
Ind.	6	2	-	1	13	7	-	1	-	-											
Ill.	3	31	-	5	54	9	-	-	-	-											
Mich.	8	24	5	1	-	-	-	1	307	431											
Wis.	3	1	-	-	4	-	-	-	32	78											
W.N. CENTRAL	7	19	-	-	62	10	-	-	15	1											
Minn.	-	6	-	-	8	2	-	-	-	-											
Iowa	-	-	-	-	-	-	-	-	N	N											
Mo.	7	8	-	-	-	1	-	-	-	-											
N. Dak.	-	-	-	-	-	-	-	-	7	1											
S. Dak.	-	-	-	-	-	1	-	-	8	-											
Nebr.	-	-	-	-	-	-	-	-	-	-											
Kans.	-	5	-	-	54	6	-	-	-	-											
S. ATLANTIC	99	115	1	9	2	95	-	2	151	234											
Del.	1	-	-	-	-	-	-	-	-	-											
Md.	21	19	-	2	-	2	-	2	-	-											
D.C.	9	3	-	-	-	-	-	-	-	-											
Va.	1	5	-	-	-	3	-	-	-	50											
W. Va.	-	-	-	-	1	1	-	-	144	180											
N.C.	7	14	-	-	-	2	-	-	-	-											
S.C.	2	8	-	3	1	-	-	-	7	4											
Ga.	5	15	-	3	-	24	-	-	-	-											
Fla.	53	51	1	1	-	63	-	-	-	-											
E.S. CENTRAL	19	28	1	-	11	12	-	-	-	-											
Ky.	5	7	-	-	-	-	-	-	-	-											
Tenn.	8	9	1	-	-	3	-	-	-	-											
Ala.	5	12	-	-	11	9	-	-	-	-											
Miss.	1	-	-	-	-	-	-	-	-	-											
W.S. CENTRAL	70	55	2	4	6	97	-	-	-	148											
Ark.	4	7	-	-	2	1	-	-	-	-											
La.	14	8	-	-	-	-	-	-	-	2											
Okla.	3	2	-	-	4	1	-	-	-	-											
Tex.	49	38	2	4	-	95	-	-	-	146											
MOUNTAIN	27	22	-	7	6	5	1	-	96	7											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	3	-	-	-	-	-	-	-	-	-											
Wyo.	-	-	-	-	-	1	-	-	9	2											
Colo.	-	5	-	1	1	2	-	-	22	-											
N. Mex.	-	7	-	3	-	-	-	-	3	-											
Ariz.	24	8	-	3	1	2	-	-	-	-											
Utah	-	1	-	-	4	-	1	-	62	5											
Nev.	-	1	-	-	-	-	-	-	-	-											
PACIFIC	37	125	-	8	52	60	4	6	-	-											
Wash.	8	3	-	-	16	9	-	-	-	-											
Oreg.	-	4	-	-	2	4	-	1	-	-											
Calif.	29	117	-	8	26	33	3	5	-	-											
Alaska	-	-	-	-	2	3	-	-	-	-											
Hawaii	-	1	-	-	6	11	1	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	2	4	-	-	-	-	-	-	-	15											
V.I.	-	1	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


