
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending July 2, 2005 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,168	1,126	3	8	61	63	117	106													
NEW ENGLAND	87	108	-	1	7	7	4	1													
Maine	4	7	-	-	-	-	1	-													
N.H.	4	13	-	-	-	2	-	-													
Vt.	6	5	-	-	-	-	2	1													
Mass.	38	54	-	1	2	2	1	-													
R.I.	7	3	-	-	2	-	-	-													
Conn.	28	26	-	-	3	3	-	-													
MID. ATLANTIC	230	232	-	1	-	3	28	28													
Upstate N.Y.	64	78	-	1	-	3	5	4													
N.Y. City	42	49	-	-	-	-	9	9													
N.J.	44	42	-	-	-	-	7	2													
Pa.	80	63	-	-	-	-	7	13													
E.N. CENTRAL	151	209	1	-	1	8	9	30													
Ohio	80	66	-	-	-	2	7	10													
Ind.	39	30	-	-	1	4	1	1													
Ill.	13	67	-	-	-	-	1	15													
Mich.	12	14	1	-	-	2	-	3													
Wis.	7	32	-	-	-	-	-	1													
W.N. CENTRAL	62	59	-	2	3	3	9	5													
Minn.	21	27	-	1	3	3	-	-													
Iowa	-	1	-	1	-	-	-	-													
Mo.	30	20	-	-	-	-	7	4													
N. Dak.	1	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	5	2	-	-	-	-	1	-													
Kans.	5	6	-	-	-	-	-	1													
S. ATLANTIC	276	255	1	-	16	18	15	17													
Del.	-	-	-	-	-	-	-	-													
Md.	40	45	-	-	4	5	-	-													
D.C.	-	2	-	-	-	-	-	1													
Va.	26	21	-	-	-	-	-	1													
W. Va.	15	10	-	-	1	3	3	-													
N.C.	52	35	1	-	5	5	-	-													
S.C.	10	7	-	-	-	-	1	1													
Ga.	56	74	-	-	-	-	7	14													
Fla.	77	61	-	-	6	5	4	-													
E.S. CENTRAL	71	43	-	-	1	-	12	7													
Ky.	6	3	-	-	1	-	1	-													
Tenn.	49	29	-	-	-	-	7	5													
Ala.	16	11	-	-	-	-	4	2													
Miss.	-	-	-	-	-	-	-	-													
W.S. CENTRAL	71	44	1	1	4	5	7	1													
Ark.	4	1	-	-	-	-	1	-													
La.	26	9	1	-	2	-	6	1													
Okla.	41	33	-	-	2	5	-	-													
Tex.	-	1	-	1	-	-	-	-													
MOUNTAIN	161	123	-	3	16	14	26	12													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	5	-	-	-	-	1	2													
Wyo.	3	-	-	-	-	-	1	-													
Colo.	30	30	-	-	-	-	6	3													
N. Mex.	13	25	-	-	4	4	1	4													
Ariz.	88	44	-	-	10	6	9	1													
Utah	11	9	-	2	-	1	6	1													
Nev.	13	10	-	1	2	3	2	1													
PACIFIC	59	53	-	-	13	5	7	5													
Wash.	-	1	-	-	-	-	-	1													
Oreg.	24	26	-	-	-	-	5	2													
Calif.	26	17	-	-	13	5	1	1													
Alaska	4	5	-	-	-	-	1	1													
Hawaii	5	4	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


