
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending June 19, 1999 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis NETSS cummulative for 1999
Shigellosis NETSS cummulative for 1998
Shigellosis PHLIS cummulative for 1999
Shigellosis PHLIS cummulative for 1998
Syphilis (Primary and Secondary) cummulative for 1999
Syphilis (Primary and Secondary) cummulative for 1998
Tuberculosis cummulative for 1999
Tuberculosis cummulative for 1998

tab delimited data:
test
UNITED STATES	5,315	7,909	1,908	4,863	2,837	3,165	3,349	4,038													
NEW ENGLAND	144	202	113	181	28	36	169	207													
Maine	2	6	-	-	-	1	8	3													
N.H.	7	7	5	8	-	1	3	2													
Vt.	4	4	3	-	2	3	-	1													
Mass.	90	124	70	121	17	22	92	116													
R.I.	14	15	9	12	1	-	19	24													
Conn.	27	46	26	40	8	9	47	61													
MID. ATLANTIC	363	1,223	167	1,026	113	105	899	1,008													
Upstate N.Y.	96	220	30	64	15	16	131	134													
N.Y. City	98	400	81	439	50	23	596	610													
N.J.	103	387	56	356	13	50	172	264													
Pa.	66	216	-	167	35	16	U	U													
E.N. CENTRAL	797	1,190	332	609	560	489	158	199													
Ohio	249	276	14	66	41	72	U	U													
Ind.	39	78	10	22	157	86	U	U													
Ill.	312	620	218	501	267	204	U	U													
Mich.	149	119	73	4	95	89	123	149													
Wis.	48	97	17	16	U	38	35	50													
W.N. CENTRAL	459	406	270	180	52	74	229	182													
Minn.	76	75	53	78	5	5	88	60													
Iowa	7	28	8	26	5	-	26	2													
Mo.	322	46	191	36	34	56	82	78													
N. Dak.	2	4	-	2	-	-	2	3													
S. Dak.	8	19	4	15	-	1	3	13													
Nebr.	25	220	-	13	4	4	9	5													
Kans.	19	14	14	10	4	8	19	21													
S. ATLANTIC	1,030	1,436	226	483	920	1,216	637	734													
Del.	7	7	2	2	4	15	12	16													
Md.	58	90	15	29	187	342	U	U													
D.C.	25	10	-	-	14	36	19	53													
Va.	36	66	8	24	75	84	104	118													
W. Va.	5	7	2	5	2	2	19	24													
N.C.	107	124	51	78	236	340	187	193													
S.C.	47	71	17	29	123	148	124	138													
Ga.	95	373	27	115	136	133	172	192													
Fla.	650	688	104	201	143	116	U	U													
E.S. CENTRAL	551	393	217	236	532	547	223	369													
Ky.	100	76	-	38	46	58	31	89													
Tenn.	361	63	197	84	301	265	U	U													
Ala.	51	225	19	112	125	124	136	173													
Miss.	39	29	1	2	60	100	56	107													
W.S. CENTRAL	744	1,583	332	1,731	400	416	740	963													
Ark.	44	73	21	16	27	58	71	53													
La.	76	128	29	144	121	134	U	U													
Okla.	219	104	70	30	95	24	60	55													
Tex.	405	1,278	212	1,541	157	200	609	855													
MOUNTAIN	316	494	152	285	96	106	62	102													
Mont.	6	3	-	3	-	-	5	12													
Idaho	6	11	3	6	-	-	-	4													
Wyo.	2	1	1	-	-	1	1	2													
Colo.	50	62	37	47	1	7	U	U													
N. Mex.	40	114	13	44	-	12	23	27													
Ariz.	168	268	92	165	89	74	U	U													
Utah	24	16	-	13	2	3	18	28													
Nev.	20	19	6	7	4	9	15	29													
PACIFIC	911	982	99	132	136	176	232	274													
Wash.	47	52	51	55	35	9	74	115													
Oreg.	34	57	29	55	2	1	53	53													
Calif.	808	853	-	-	96	166	U	U													
Alaska	-	3	-	2	1	-	29	23													
Hawaii	22	17	19	20	2	-	76	83													
Guam	3	19	-	-	-	-	-	37													
P.R.	22	26	-	-	82	109	41	65													
V.I.	-	-	-	-	U	U	U	U													
Amer. Samoa	-	-	-	-	U	U	U	U													
C.N.M.I.	-	11	-	-	-	127	-	55													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


