
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending June 30, 2007 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2007
Varicella (chickenpox) cummulative for 2006
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2007
West Nile virus disease † Neuroinvasive cummulative for 2006
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2007
West Nile virus disease † Non-neuroinvasive § cummulative for 2006

tab delimited data:
test
UNITED STATES	137	786	2,813	22,796	29,628	-	1	178	3	41	-	1	417	3	44						
NEW ENGLAND	-	22	124	407	2,968	-	0	3	-	-	-	0	2	-	-						
Conn.	-	5	76	1	1,041	-	0	3	-	-	-	0	1	-	-						
Maine	-	0	7	-	167	-	0	0	-	-	-	0	0	-	-						
Mass.	-	0	34	-	1,071	-	0	1	-	-	-	0	1	-	-						
N.H.	-	7	17	168	225	-	0	0	-	-	-	0	0	-	-						
R.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Vt.	-	9	66	238	464	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	40	105	195	2,767	3,074	-	0	11	-	1	-	0	4	-	-						
N.J.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	5	-	-	-	0	1	-	-						
N.Y. City	-	0	0	-	-	-	0	4	-	-	-	0	2	-	-						
Pa.	40	105	195	2,767	3,074	-	0	2	-	1	-	0	1	-	-						
E.N. CENTRAL	56	227	568	6,632	9,992	-	0	42	-	2	-	0	33	-	3						
Ill.	-	2	11	83	81	-	0	24	-	1	-	0	22	-	-						
Ind.	-	0	0	-	-	-	0	5	-	1	-	0	12	-	1						
Mich.	37	93	258	2,666	2,973	-	0	10	-	-	-	0	4	-	1						
Ohio	19	107	449	3,208	6,210	-	0	11	-	-	-	0	3	-	-						
Wis.	-	17	72	675	728	-	0	2	-	-	-	0	2	-	1						
W.N. CENTRAL	5	32	136	1,174	1,192	-	0	37	-	7	-	0	78	2	13						
Iowa	N	0	0	N	N	-	0	3	-	1	-	0	4	1	2						
Kans.	-	9	52	424	232	-	0	3	-	1	-	0	3	-	1						
Minn.	-	0	0	-	-	-	0	7	-	-	-	0	7	-	-						
Mo.	5	17	78	611	903	-	0	14	-	3	-	0	2	-	-						
Nebr.	N	0	0	N	N	-	0	9	-	2	-	0	38	-	6						
N. Dak.	-	0	60	84	25	-	0	5	-	-	-	0	28	-	2						
S. Dak.	-	2	15	55	32	-	0	7	-	-	-	0	22	1	2						
S. ATLANTIC	36	95	239	2,961	2,794	-	0	2	-	1	-	0	7	-	-						
Del.	-	1	6	20	44	-	0	0	-	-	-	0	0	-	-						
D.C.	-	0	8	14	21	-	0	0	-	-	-	0	1	-	-						
Fla.	24	13	89	764	N	-	0	1	-	1	-	0	0	-	-						
Ga.	N	0	0	N	N	-	0	1	-	-	-	0	4	-	-						
Md.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
N.C.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
S.C.	-	18	72	647	773	-	0	1	-	-	-	0	0	-	-						
Va.	-	27	190	821	997	-	0	0	-	-	-	0	2	-	-						
W. Va.	12	25	50	695	959	-	0	1	-	-	-	0	0	-	-						
E.S. CENTRAL	-	1	571	307	25	-	0	15	3	4	-	0	17	1	3						
Ala.	-	1	571	305	25	-	0	2	-	-	-	0	0	-	-						
Ky.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
Miss.	-	0	2	2	-	-	0	10	3	4	-	0	16	1	3						
Tenn.	N	0	0	N	N	-	0	5	-	-	-	0	2	-	-						
W.S. CENTRAL	-	190	1,640	6,821	7,784	-	0	59	-	22	-	0	27	-	5						
Ark.	-	8	105	224	540	-	0	5	-	-	-	0	2	-	-						
La.	-	1	11	67	173	-	0	13	-	2	-	0	10	-	3						
Okla.	-	0	0	-	-	-	0	6	-	1	-	0	4	-	-						
Tex.	-	168	1,534	6,530	7,071	-	0	39	-	19	-	0	16	-	2						
MOUNTAIN	-	56	133	1,703	1,799	-	0	63	-	3	-	0	245	-	13						
Ariz.	-	0	0	-	-	-	0	10	-	-	-	0	14	-	1						
Colo.	-	22	62	631	936	-	0	11	-	2	-	0	51	-	3						
