
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 24, 2004 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	7,079	7,748	2,863	5,753	1,708	2,302	963	916	161	183											
NEW ENGLAND	340	371	63	94	76	236	8	37	3	1											
Maine	17	22	1	4	3	13	-	-	-	-											
N.H.	22	27	3	1	9	15	-	-	N	N											
Vt.	17	9	1	3	4	11	3	4	1	1											
Mass.	199	216	42	59	55	108	N	N	N	N											
R.I.	25	19	2	3	5	1	5	-	2	-											
Conn.	60	78	14	24	-	88	-	33	U	U											
MID. ATLANTIC	920	955	350	486	253	390	57	48	36	33											
Upstate N.Y.	224	167	155	82	95	137	25	23	26	22											
N.Y. City	259	301	95	131	31	52	U	U	U	U											
N.J.	161	167	58	118	45	87	N	N	N	N											
Pa.	276	320	42	155	82	114	32	25	10	11											
E.N. CENTRAL	1,001	1,111	229	442	288	564	221	166	58	72											
Ohio	274	324	52	81	102	121	169	115	36	43											
Ind.	97	77	44	32	33	41	52	51	15	7											
Ill.	252	390	76	219	26	153	-	-	-	-											
Mich.	194	152	32	73	115	162	N	N	N	N											
Wis.	184	168	25	37	12	87	N	N	7	22											
W.N. CENTRAL	492	423	105	204	135	148	90	82	20	17											
Minn.	117	112	13	27	63	64	-	-	17	14											
Iowa	88	89	29	12	N	N	N	N	N	N											
Mo.	148	113	28	71	29	31	5	4	3	1											
N. Dak.	12	10	1	3	4	7	-	3	-	2											
S. Dak.	21	20	6	8	8	14	1	-	-	-											
Nebr.	38	34	7	57	8	17	-	-	N	N											
Kans.	68	45	21	26	23	15	84	75	N	N											
S. ATLANTIC	1,717	1,821	907	1,917	400	405	480	464	4	5											
Del.	12	24	3	94	2	4	3	-	N	N											
Md.	124	182	31	175	73	123	-	2	-	-											
D.C.	11	10	13	17	2	3	2	-	3	-											
Va.	185	171	30	85	16	36	N	N	N	N											
W. Va.	29	17	-	-	11	16	45	23	1	5											
N.C.	225	302	121	221	45	36	N	N	U	U											
S.C.	84	92	132	63	23	12	31	73	N	N											
Ga.	349	247	198	408	151	87	168	123	N	N											
Fla.	698	776	379	854	77	88	231	243	N	N											
E.S. CENTRAL	388	432	162	284	79	66	52	56	1	-											
Ky.	71	80	24	35	27	13	14	5	N	N											
Tenn.	112	150	61	94	52	53	38	51	N	N											
Ala.	131	132	56	99	-	-	-	-	N	N											
Miss.	74	70	21	56	-	-	-	-	-	-											
W.S. CENTRAL	441	720	458	1,302	82	120	22	49	34	29											
Ark.	65	77	14	17	4	3	4	14	4	4											
La.	33	113	30	121	-	1	18	35	4	5											
Okla.	60	62	105	186	23	32	N	N	16	6											
Tex.	283	468	309	978	55	84	N	N	10	14											
MOUNTAIN	597	511	232	282	215	190	14	13	5	26											
Mont.	28	30	3	1	-	-	-	-	-	-											
Idaho	45	58	4	6	3	10	N	N	N	N											
Wyo.	16	8	1	1	5	-	4	2	-	-											
Colo.	149	143	48	47	68	57	-	-	3	24											
N. Mex.	44	47	35	55	33	52	5	11	-	-											
Ariz.	202	144	113	145	91	67	-	-	N	N											
Utah	62	48	12	14	14	4	3	-	2	2											
Nev.	51	33	16	13	1	-	2	-	-	-											
PACIFIC	1,183	1,404	357	742	180	183	19	1	-	-											
Wash.	79	125	19	58	20	-	-	-	N	N											
Oreg.	84	131	18	24	N	N	N	N	N	N											
Calif.	910	1,069	304	646	128	149	N	N	N	N											
Alaska	30	29	3	4	-	-	-	-	N	N											
Hawaii	80	50	13	10	32	34	19	1	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	34	156	1	2	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


