
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending October 9, 2010 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
Giardiasis current week
Giardiasis previous 52 weeks median 
Giardiasis previous 52 weeks maximum 
Giardiasis cummulative for 2010
Giardiasis cummulative for 2009
Gonorrhea current week
Gonorrhea previous 52 weeks median 
Gonorrhea previous 52 weeks maximum 
Gonorrhea cummulative for 2010
Gonorrhea cummulative for 2009
Haemophilus influenzae, invasive, All ages, all serotypes † current week
Haemophilus influenzae, invasive, All ages, all serotypes † previous 52 weeks median 
Haemophilus influenzae, invasive, All ages, all serotypes † previous 52 weeks maximum 
Haemophilus influenzae, invasive, All ages, all serotypes † cummulative for 2010
Haemophilus influenzae, invasive, All ages, all serotypes † cummulative for 2009

tab delimited data:
test
UNITED STATES	229	347	666	13,598	14,623	3,002	5,444	6,324	210,169	236,420	17	59	171	2,217	2,251						
NEW ENGLAND	3	31	53	1,147	1,382	65	100	196	4,035	3,784	-	3	21	123	151						
Conn.	-	5	13	224	238	-	44	169	1,706	1,803	-	0	15	25	42						
Maine	2	3	12	164	179	3	3	11	136	105	-	0	2	10	17						
Mass.	-	12	20	463	596	51	44	81	1,813	1,494	-	2	8	65	73						
N.H.	-	3	9	115	160	2	3	7	115	82	-	0	2	9	8						
R.I.	-	0	7	35	49	9	5	13	218	266	-	0	1	7	7						
Vt.	1	4	12	146	160	-	0	17	47	34	-	0	1	7	4						
MID. ATLANTIC	31	61	106	2,311	2,719	601	677	941	27,179	24,467	4	11	34	431	449						
N.J.	-	5	13	193	345	94	102	161	4,216	3,713	-	2	7	69	104						
N.Y. (Upstate)	20	22	84	869	1,034	110	104	422	4,311	4,439	3	3	20	114	109						
N.Y. City	4	16	32	677	667	264	228	394	9,455	8,539	-	2	6	85	55						
Pa.	7	14	24	572	673	133	218	333	9,197	7,776	1	4	9	163	181						
E.N. CENTRAL	31	53	78	2,215	2,307	292	935	1,260	35,819	50,088	-	10	20	378	351						
Ill.	-	12	23	451	499	5	181	380	6,104	15,939	-	3	9	115	134						
Ind.	-	5	13	191	234	-	90	218	3,979	5,904	-	1	6	68	64						
Mich.	6	13	23	528	525	206	245	472	10,151	11,715	-	0	4	26	18						
Ohio	24	16	23	654	643	41	317	372	12,026	12,448	-	2	6	92	79						
Wis.	1	9	25	391	406	40	93	155	3,559	4,082	-	2	5	77	56						
W.N. CENTRAL	14	25	165	1,124	1,263	64	273	357	10,535	11,717	-	3	24	130	131						
Iowa	2	5	11	227	244	2	32	51	1,290	1,313	-	0	1	1	-						
Kans.	-	4	10	172	122	1	38	83	1,488	2,025	-	0	2	12	13						
Minn.	-	0	135	136	250	-	39	62	1,482	1,823	-	0	17	25	46						
Mo.	8	8	25	330	410	61	124	172	5,013	5,109	-	1	6	65	46						
Nebr.	4	4	9	176	138	-	23	50	886	1,067	-	0	2	17	21						
N. Dak.	-	0	8	19	12	-	2	11	94	101	-	0	4	10	5						
S. Dak.	-	1	7	64	87	-	6	16	282	279	-	0	0	-	-						
S. ATLANTIC	57	75	143	2,940	2,838	623	1,268	1,651	49,967	58,828	10	14	27	604	618						
Del.	-	0	5	25	21	30	18	48	780	740	-	0	1	5	3						
D.C.	-	1	4	28	55	-	38	65	1,405	2,112	-	0	1	2	3						
Fla.	50	39	87	1,672	1,499	194	378	476	15,545	16,658	6	3	9	145	187						
Ga.	-	12	51	485	578	-	107	494	3,818	10,791	1	3	9	139	122						
Md.	-	5	11	207	220	124	131	237	5,194	4,738	2	1	6	53	74						
N.C.	N	0	0	N	N	33	259	596	10,524	11,093	-	2	9	105	75						
S.C.	2	2	9	117	85	106	153	233	6,334	6,619	-	2	7	68	60						
Va.	5	9	36	376	341	136	163	271	5,983	5,679	1	2	4	67	69						
W. Va.	-	1	5	30	39	-	8	20	384	398	-	0	5	20	25						
E.S. CENTRAL	-	5	15	189	331	243	477	698	18,415	21,013	2	3	12	135	138						
Ala.	-	4	8	136	158	89	144	217	5,826	5,941	-	0	3	21	34						
Ky.	N	0	0	N	N	23	76	156	3,021	2,867	-	0	2	26	19						
Miss.	N	0	0	N	N	76	111	216	4,119	5,850	-	0	2	10	7						
Tenn.	-	1	10	53	173	55	145	195	5,449	6,355	2	2	10	78	78						
W.S. CENTRAL	3	8	16	283	399	650	812	1,236	32,841	37,338	-	2	20	99	97						
Ark.	3	2	9	100	114	101	73	133	2,778	3,496	-	0	3	13	15						
La.	-	3	9	120	160	102	68	441	3,086	7,326	-	0	3	17	17						
Okla.	-	2	7	63	125	140	79	359	3,531	3,603	-	1	15	61	61						
Tex.	N	0	0	N	N	307	571	963	23,446	22,913	-	0	2	8	4						
MOUNTAIN	16	30	50	1,240	1,306	67	180	262	6,934	7,268	1	5	15	225	199						
Ariz.	2	3	6	122	161	24	63	109	2,334	2,416	-	2	10	83	65						
Colo.	14	13	27	538	387	23	53	94	2,052	2,180	-	1	5	65	57						
Idaho	-	4	9	162	153	2	2	6	87	81	-	0	2	13	3						
Mont.	-	2	11	78	111	-	2	6	85	61	-	0	1	2	1						
Nev.	-	1	11	77	94	18	28	94	1,313	1,405	-	0	2	6	16						
N. Mex.	-	2	5	69	103	-	19	41	798	832	1	1	5	34	26						
Utah	-	4	12	164	247	-	6	15	240	237	-	0	4	16	28						
Wyo.	-	1	5	30	50	-	1	4	25	56	-	0	2	6	3						
PACIFIC	74	53	133	2,149	2,078	397	590	810	24,444	21,917	-	2	9	92	117						
Alaska	-	2	6	77	94	-	23	37	972	753	-	0	2	19	14						
Calif.	54	33	61	1,343	1,348	328	484	692	20,229	18,050	-	0	4	12	39						
Hawaii	-	0	4	24	18	-	14	23	542	500	-	0	2	6	27						
Oreg.	8	9	24	388	321	-	18	43	722	829	-	1	5	51	34						
Wash.	12	8	75	317	297	69	49	66	1,979	1,785	-	0	4	4	3						
Amer. Samoa	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	1	2	3	-	0	4	23	19	-	0	0	-	-						
P.R.	-	1	8	57	135	-	5	14	208	190	-	0	1	1	4						
V.I.	-	0	0	-	-	-	2	7	78	98	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2010 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Data for H. influenzae (age <5 yrs serotype b, nonserotype b, and unknown serotype) are available in Table I.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


